runname,seed,steps,tokens,prefix_match,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.0,0.4898041502,0.6048618886,0.4898041502,0.5341901879000001
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.0094347054,0.43431946200000004,0.6059938089,0.43431946200000004,0.6048618886
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.044771821100000005,0.5337129238,0.6068117804000001,0.5337129238,0.6023347824
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.057834009500000005,0.5556325097,0.6066819457,0.5556325097,0.616771818
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.0682267808,0.5241037712000001,0.6088579245,0.5241037712000001,0.6140215526
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.0585808519,0.5096195401,0.605863724,0.5096195401,0.599271081
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.0660297608,0.5170324386,0.6060919235000001,0.5170324386,0.5849915506000001
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.1007376026,0.5280613843,0.605961563,0.5280613843,0.6050854891
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.09704469900000001,0.5446915121,0.6070943454000001,0.5446915121,0.6082203308
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.09466462660000001,0.5180335321,0.6063604183,0.5180335321,0.5973037240000001
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.0713789018,0.5349339080000001,0.605971951,0.5349339080000001,0.594922923
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.0030221586000000003,0.419416705,0.6035957962,0.419416705,0.5645044194000001
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.012956486500000001,0.40290155380000003,0.5933554676,0.40290155380000003,0.5968846775000001
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.0374875802,0.4286154358,0.610206755,0.4286154358,0.6008245313
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.0145009804,0.4066353666,0.5893902573,0.4066353666,0.42896039080000004
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.07073752650000001,0.4588074314,0.6077185164000001,0.4588074314,0.5247679981
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.0710422866,0.3985800278,0.5839911177,0.3985800278,0.6162262828
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.0602709328,0.3979330893,0.5828331056,0.3979330893,0.41905588720000003
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.0075870296000000005,0.4010898634,0.5612054755,0.4010898634,0.6003049287000001
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.0458802158,0.48397306440000004,0.6059487721,0.48397306440000004,0.5329605133
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.0377713463,0.4928298748,0.5990504875,0.4928298748,0.5409172267
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.0142813205,0.4303941734,0.6059449907000001,0.4303941734,0.5866071984
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.031971702000000005,0.4830118962,0.6060817898,0.4830118962,0.5409957396
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.017193616000000002,0.47155464560000004,0.6194172604,0.47155464560000004,0.5761766432000001
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.0517788989,0.4828966973,0.6086514189000001,0.4828966973,0.6087538085
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.0204733213,0.4420051497,0.6192935002000001,0.4420051497,0.5142378378
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.0470790263,0.5316754661,0.6080587257,0.5316754661,0.6015986675
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.14752726160000001,0.5780409121,0.6049604107000001,0.5780409121,0.6056128697000001
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.0619140512,0.5147251445000001,0.6059792163000001,0.5147251445000001,0.5946215476
baseline-ar-,42,0,0.0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.0,0.4898041502,0.6048618886,0.4898041502,0.5341901879000001
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.012308367300000001,0.5374591527,0.6046875586,0.5374591527,0.6035574645
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.0072743897,0.5593854738,0.6074897895,0.5593854738,0.6127477840000001
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.0068985240000000005,0.5626855259,0.6053908263000001,0.5626855259,0.6071204292
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.0025378277,0.5270279811,0.6079279372,0.5270279811,0.6058055867000001
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.0001094691,0.5592925505,0.604864806,0.5592925505,0.606525245
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.006083026,0.5889273618,0.6053275653,0.5889273618,0.6044120312
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.0107593363,0.5864383979000001,0.6051203733,0.5864383979000001,0.6019668506
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.0005973700000000001,0.5848317411,0.6051203733,0.5848317411,0.6036688508
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.00038314180000000004,0.5540537753,0.6050351622,0.5540537753,0.5982577233
