runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.24,0.23700000000000002,0.223,0.223
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.32,0.307,0.315,0.312
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.41100000000000003,0.352,0.353,0.39
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.40800000000000003,0.35100000000000003,0.363,0.378
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.403,0.35100000000000003,0.362,0.364
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.40800000000000003,0.35000000000000003,0.369,0.374
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.40800000000000003,0.355,0.364,0.368
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.41400000000000003,0.343,0.365,0.375
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.424,0.353,0.364,0.389
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.41000000000000003,0.352,0.357,0.383
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.41500000000000004,0.34500000000000003,0.363,0.384
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.34800000000000003,0.313,0.325,0.328
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.354,0.323,0.327,0.333
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.352,0.325,0.342,0.312
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.37,0.327,0.341,0.332
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.376,0.337,0.353,0.34700000000000003
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.368,0.333,0.34600000000000003,0.358
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.387,0.333,0.34700000000000003,0.363
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.29,0.276,0.291,0.276
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.384,0.338,0.34600000000000003,0.34900000000000003
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.384,0.337,0.34700000000000003,0.34900000000000003
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.387,0.336,0.357,0.355
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.397,0.335,0.35100000000000003,0.362
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.41400000000000003,0.35000000000000003,0.355,0.366
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.393,0.34,0.355,0.367
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.383,0.33,0.35000000000000003,0.382
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.401,0.341,0.354,0.384
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.419,0.34600000000000003,0.365,0.381
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.41200000000000003,0.34400000000000003,0.361,0.373
baseline-ar-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.24,0.23700000000000002,0.223,0.223
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.291,0.279,0.28300000000000003,0.289
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.387,0.334,0.34,0.361
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.392,0.337,0.34600000000000003,0.34500000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.388,0.333,0.34800000000000003,0.34700000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.39,0.341,0.34900000000000003,0.355
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.384,0.336,0.34500000000000003,0.354
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.391,0.337,0.34400000000000003,0.367
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.397,0.335,0.34900000000000003,0.363
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.386,0.328,0.343,0.354
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.394,0.337,0.343,0.371
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.303,0.293,0.312,0.296
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.304,0.296,0.306,0.297
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.34500000000000003,0.316,0.328,0.313
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.336,0.304,0.317,0.303
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.352,0.327,0.329,0.341
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.35100000000000003,0.326,0.338,0.333
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.34700000000000003,0.32,0.331,0.329
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.262,0.28,0.278,0.271
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.361,0.329,0.336,0.339
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.363,0.327,0.342,0.323
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.365,0.329,0.342,0.319
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.365,0.323,0.34400000000000003,0.328
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.374,0.331,0.335,0.356
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.358,0.337,0.336,0.35000000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.373,0.342,0.342,0.358
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.371,0.336,0.338,0.353
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.385,0.338,0.331,0.367
