runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.52,0.52,0.42666666670000003,0.4
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.52,0.52,0.48,0.5333333333
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.52,0.52,0.48,0.4666666667
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.52,0.52,0.48,0.4933333333
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.52,0.52,0.48,0.45333333330000003
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.52,0.52,0.48,0.5066666667
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.5333333333,0.52,0.48,0.48
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.52,0.52,0.48,0.4933333333
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.5066666667,0.52,0.48,0.4666666667
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.52,0.52,0.48,0.5066666667
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.5066666667,0.52,0.48,0.52
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.4933333333,0.52,0.48,0.5333333333
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.5066666667,0.52,0.48,0.52
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.52,0.52,0.48,0.5066666667
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.52,0.52,0.48,0.48
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.52,0.52,0.48,0.4666666667
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.5066666667,0.52,0.48,0.3866666667
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.52,0.52,0.48,0.45333333330000003
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.4933333333,0.52,0.48,0.52
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.52,0.52,0.48,0.4666666667
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.5066666667,0.52,0.48,0.4933333333
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.5066666667,0.52,0.48,0.48
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.52,0.52,0.48,0.3733333333
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.52,0.52,0.48,0.48
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.5066666667,0.52,0.48,0.48
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.52,0.52,0.48,0.4
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.5066666667,0.52,0.48,0.45333333330000003
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.52,0.52,0.48,0.44
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.5066666667,0.52,0.48,0.45333333330000003
baseline-ar-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.52,0.52,0.42666666670000003,0.4
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.52,0.52,0.48,0.48
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.48,0.52,0.48,0.48
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.5066666667,0.52,0.48,0.5066666667
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.48,0.52,0.48,0.48
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.4666666667,0.52,0.48,0.44
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.5066666667,0.52,0.48,0.48
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.42666666670000003,0.52,0.48,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.44,0.52,0.48,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.42666666670000003,0.52,0.48,0.42666666670000003
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.48,0.52,0.48,0.4
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.5466666667,0.52,0.48,0.48
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.52,0.52,0.48,0.5333333333
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.5066666667,0.52,0.48,0.52
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.6000000000000001,0.52,0.48,0.52
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.4933333333,0.52,0.48,0.56
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.56,0.52,0.48,0.5466666667
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.52,0.52,0.48,0.52
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.52,0.52,0.48,0.4666666667
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.56,0.52,0.48,0.52
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.4933333333,0.52,0.48,0.5333333333
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.45333333330000003,0.52,0.48,0.4933333333
