runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.28300000000000003,0.233,0.26,0.242
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.28800000000000003,0.279,0.28700000000000003,0.25
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.321,0.28500000000000003,0.277,0.274
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.325,0.28200000000000003,0.276,0.277
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.314,0.279,0.289,0.278
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.317,0.276,0.28200000000000003,0.28400000000000003
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.32,0.273,0.281,0.279
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.322,0.281,0.28200000000000003,0.289
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.318,0.277,0.275,0.278
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.321,0.275,0.278,0.28
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.321,0.28,0.271,0.278
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.295,0.276,0.272,0.265
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.297,0.267,0.276,0.257
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.297,0.279,0.27,0.262
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.295,0.28200000000000003,0.28600000000000003,0.262
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.304,0.277,0.269,0.252
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.317,0.29,0.28,0.262
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.327,0.28700000000000003,0.278,0.262
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.27,0.25,0.269,0.249
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.323,0.291,0.289,0.27
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.309,0.28600000000000003,0.281,0.28200000000000003
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.308,0.28600000000000003,0.278,0.263
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.31,0.279,0.28500000000000003,0.289
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.313,0.289,0.289,0.29
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.312,0.278,0.28400000000000003,0.28700000000000003
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.324,0.292,0.28700000000000003,0.28700000000000003
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.324,0.28,0.281,0.274
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.319,0.28200000000000003,0.28200000000000003,0.294
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.31,0.268,0.28200000000000003,0.28400000000000003
baseline-ar-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.28200000000000003,0.233,0.259,0.242
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.305,0.277,0.295,0.281
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.324,0.279,0.298,0.251
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.327,0.28,0.291,0.254
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.32,0.28500000000000003,0.289,0.255
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.318,0.281,0.28700000000000003,0.255
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.322,0.28300000000000003,0.29,0.262
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.313,0.279,0.28500000000000003,0.265
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.329,0.278,0.28300000000000003,0.264
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.323,0.277,0.281,0.259
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.319,0.28200000000000003,0.291,0.263
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.294,0.274,0.28,0.259
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.304,0.279,0.294,0.27
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.302,0.29,0.296,0.28700000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.318,0.279,0.294,0.278
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.316,0.27,0.28700000000000003,0.272
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.313,0.28,0.295,0.28300000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.32,0.28400000000000003,0.28700000000000003,0.275
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.278,0.28500000000000003,0.274,0.28400000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.307,0.27,0.28600000000000003,0.26
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.316,0.291,0.303,0.262
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.315,0.279,0.289,0.256
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.31,0.29,0.293,0.266
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.318,0.28,0.28700000000000003,0.266
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.321,0.28,0.292,0.248
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.317,0.28200000000000003,0.295,0.249
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.313,0.28300000000000003,0.28300000000000003,0.277
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.304,0.28600000000000003,0.278,0.25
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.311,0.278,0.28700000000000003,0.255
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.28200000000000003,0.233,0.259,0.242
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.277,0.277,0.28600000000000003,0.252
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.316,0.291,0.28600000000000003,0.249
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.31,0.28700000000000003,0.29,0.253
1p46G-gemma-orion-ar-29BT,6,11000,23.068672,0.312,0.291,0.28300000000000003,0.244
1p46G-gemma-orion-ar-29BT,6,11500,24.117248,0.322,0.291,0.28300000000000003,0.254
1p46G-gemma-orion-ar-29BT,6,12000,25.165824,0.322,0.291,0.28200000000000003,0.246
1p46G-gemma-orion-ar-29BT,6,12500,26.2144,0.319,0.28800000000000003,0.28700000000000003,0.258
1p46G-gemma-orion-ar-29BT,6,13000,27.262976,0.314,0.298,0.278,0.257
1p46G-gemma-orion-ar-29BT,6,13500,28.311552,0.313,0.291,0.278,0.256
1p46G-gemma-orion-ar-29BT,6,14000,29.360128,0.319,0.298,0.28300000000000003,0.253
1p46G-gemma-orion-ar-29BT,6,1500,3.145728,0.28200000000000003,0.279,0.277,0.265
1p46G-gemma-orion-ar-29BT,6,2000,4.194304,0.302,0.29,0.28600000000000003,0.278
1p46G-gemma-orion-ar-29BT,6,2500,5.24288,0.30000000000000004,0.281,0.28,0.269
1p46G-gemma-orion-ar-29BT,6,3000,6.291456,0.303,0.28400000000000003,0.292,0.274
1p46G-gemma-orion-ar-29BT,6,3500,7.340032,0.295,0.276,0.293,0.268
1p46G-gemma-orion-ar-29BT,6,4000,8.388608,0.294,0.28400000000000003,0.276,0.265
1p46G-gemma-orion-ar-29BT,6,4500,9.437184,0.313,0.272,0.276,0.261
1p46G-gemma-orion-ar-29BT,6,500,1.048576,0.267,0.257,0.266,0.268
1p46G-gemma-orion-ar-29BT,6,5000,10.48576,0.304,0.28,0.274,0.255
1p46G-gemma-orion-ar-29BT,6,5500,11.534336,0.309,0.281,0.28,0.268
1p46G-gemma-orion-ar-29BT,6,6000,12.582912,0.307,0.28600000000000003,0.28400000000000003,0.264
1p46G-gemma-orion-ar-29BT,6,6500,13.631488,0.314,0.28300000000000003,0.28400000000000003,0.252
1p46G-gemma-orion-ar-29BT,6,7000,14.680064,0.311,0.28400000000000003,0.277,0.254
1p46G-gemma-orion-ar-29BT,6,7500,15.72864,0.308,0.291,0.292,0.261
1p46G-gemma-orion-ar-29BT,6,8000,16.777216,0.306,0.276,0.28,0.251
1p46G-gemma-orion-ar-29BT,6,8500,17.825792,0.314,0.298,0.297,0.261
1p46G-gemma-orion-ar-29BT,6,9000,18.874368,0.316,0.296,0.28300000000000003,0.246
1p46G-gemma-orion-ar-29BT,6,9500,19.922944,0.321,0.294,0.28800000000000003,0.247
1p46G-gemma-commoncrawl-ar-29BT,3,0,0.0,0.271,0.216,0.23800000000000002,0.245
1p46G-gemma-commoncrawl-ar-29BT,3,1000,2.097152,0.28300000000000003,0.277,0.271,0.263
1p46G-gemma-commoncrawl-ar-29BT,3,10000,20.97152,0.321,0.28400000000000003,0.297,0.274
1p46G-gemma-commoncrawl-ar-29BT,3,10500,22.020096,0.322,0.294,0.292,0.28300000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,11000,23.068672,0.319,0.28400000000000003,0.292,0.271
1p46G-gemma-commoncrawl-ar-29BT,3,11500,24.117248,0.318,0.278,0.28700000000000003,0.269
1p46G-gemma-commoncrawl-ar-29BT,3,12000,25.165824,0.321,0.28,0.295,0.28
1p46G-gemma-commoncrawl-ar-29BT,3,12500,26.2144,0.32,0.28400000000000003,0.297,0.272
1p46G-gemma-commoncrawl-ar-29BT,3,13000,27.262976,0.313,0.28,0.298,0.269
1p46G-gemma-commoncrawl-ar-29BT,3,13500,28.311552,0.315,0.28300000000000003,0.30000000000000004,0.276
1p46G-gemma-commoncrawl-ar-29BT,3,14000,29.360128,0.322,0.279,0.297,0.274
1p46G-gemma-commoncrawl-ar-29BT,3,1500,3.145728,0.294,0.276,0.28500000000000003,0.281
1p46G-gemma-commoncrawl-ar-29BT,3,2000,4.194304,0.28400000000000003,0.267,0.277,0.268
1p46G-gemma-commoncrawl-ar-29BT,3,2500,5.24288,0.30000000000000004,0.268,0.28200000000000003,0.268
1p46G-gemma-commoncrawl-ar-29BT,3,3000,6.291456,0.316,0.279,0.291,0.264
1p46G-gemma-commoncrawl-ar-29BT,3,3500,7.340032,0.314,0.28300000000000003,0.292,0.266
1p46G-gemma-commoncrawl-ar-29BT,3,4000,8.388608,0.311,0.279,0.273,0.252
1p46G-gemma-commoncrawl-ar-29BT,3,4500,9.437184,0.303,0.28800000000000003,0.28200000000000003,0.271
1p46G-gemma-commoncrawl-ar-29BT,3,500,1.048576,0.275,0.26,0.265,0.254
1p46G-gemma-commoncrawl-ar-29BT,3,5000,10.48576,0.297,0.279,0.296,0.277
1p46G-gemma-commoncrawl-ar-29BT,3,5500,11.534336,0.306,0.28400000000000003,0.28300000000000003,0.28200000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,6000,12.582912,0.313,0.28400000000000003,0.28500000000000003,0.273
1p46G-gemma-commoncrawl-ar-29BT,3,6500,13.631488,0.302,0.28,0.294,0.28
1p46G-gemma-commoncrawl-ar-29BT,3,7000,14.680064,0.311,0.291,0.307,0.276
1p46G-gemma-commoncrawl-ar-29BT,3,7500,15.72864,0.313,0.291,0.297,0.273
1p46G-gemma-commoncrawl-ar-29BT,3,8000,16.777216,0.312,0.28,0.297,0.277
1p46G-gemma-commoncrawl-ar-29BT,3,8500,17.825792,0.314,0.28300000000000003,0.298,0.274
1p46G-gemma-commoncrawl-ar-29BT,3,9000,18.874368,0.307,0.28800000000000003,0.301,0.28800000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,9500,19.922944,0.309,0.28300000000000003,0.295,0.28300000000000003
1p46G-gemma-aquila-ar-29BT,6,0,0.0,0.28200000000000003,0.233,0.259,0.242
1p46G-gemma-aquila-ar-29BT,6,1000,2.097152,0.296,0.271,0.28300000000000003,0.269
1p46G-gemma-aquila-ar-29BT,6,10000,20.97152,0.304,0.276,0.28,0.266
1p46G-gemma-aquila-ar-29BT,6,10500,22.020096,0.297,0.274,0.28200000000000003,0.268
1p46G-gemma-aquila-ar-29BT,6,11000,23.068672,0.301,0.279,0.28400000000000003,0.276
1p46G-gemma-aquila-ar-29BT,6,11500,24.117248,0.293,0.28200000000000003,0.275,0.258
1p46G-gemma-aquila-ar-29BT,6,12000,25.165824,0.302,0.278,0.28200000000000003,0.265
1p46G-gemma-aquila-ar-29BT,6,12500,26.2144,0.29,0.273,0.28,0.265
1p46G-gemma-aquila-ar-29BT,6,13000,27.262976,0.296,0.278,0.279,0.278
1p46G-gemma-aquila-ar-29BT,6,13500,28.311552,0.292,0.279,0.28200000000000003,0.268
1p46G-gemma-aquila-ar-29BT,6,14000,29.360128,0.297,0.272,0.276,0.272
1p46G-gemma-aquila-ar-29BT,6,1500,3.145728,0.28700000000000003,0.259,0.28,0.272
1p46G-gemma-aquila-ar-29BT,6,2000,4.194304,0.28600000000000003,0.28,0.28,0.275
1p46G-gemma-aquila-ar-29BT,6,2500,5.24288,0.291,0.269,0.278,0.274
1p46G-gemma-aquila-ar-29BT,6,3000,6.291456,0.301,0.281,0.279,0.261
1p46G-gemma-aquila-ar-29BT,6,3500,7.340032,0.294,0.274,0.28600000000000003,0.274
1p46G-gemma-aquila-ar-29BT,6,4000,8.388608,0.295,0.277,0.269,0.265
1p46G-gemma-aquila-ar-29BT,6,4500,9.437184,0.289,0.272,0.278,0.27
1p46G-gemma-aquila-ar-29BT,6,500,1.048576,0.279,0.272,0.273,0.262
1p46G-gemma-aquila-ar-29BT,6,5000,10.48576,0.29,0.264,0.274,0.26
1p46G-gemma-aquila-ar-29BT,6,5500,11.534336,0.30000000000000004,0.28,0.278,0.28
1p46G-gemma-aquila-ar-29BT,6,6000,12.582912,0.298,0.275,0.28600000000000003,0.271
1p46G-gemma-aquila-ar-29BT,6,6500,13.631488,0.31,0.28400000000000003,0.272,0.266
1p46G-gemma-aquila-ar-29BT,6,7000,14.680064,0.297,0.28300000000000003,0.278,0.273
1p46G-gemma-aquila-ar-29BT,6,7500,15.72864,0.28500000000000003,0.276,0.275,0.248
1p46G-gemma-aquila-ar-29BT,6,8000,16.777216,0.302,0.281,0.278,0.271
1p46G-gemma-aquila-ar-29BT,6,8500,17.825792,0.298,0.279,0.276,0.258
1p46G-gemma-aquila-ar-29BT,6,9000,18.874368,0.299,0.273,0.28200000000000003,0.26
1p46G-gemma-aquila-ar-29BT,6,9500,19.922944,0.299,0.274,0.28500000000000003,0.271
1p46G-gemma-commoncrawl-ar-29BT,4,0,0.0,0.268,0.23500000000000001,0.229,0.23900000000000002
1p46G-gemma-commoncrawl-ar-29BT,4,1000,2.097152,0.30000000000000004,0.277,0.28200000000000003,0.263
1p46G-gemma-commoncrawl-ar-29BT,4,10000,20.97152,0.301,0.271,0.267,0.258
1p46G-gemma-commoncrawl-ar-29BT,4,10500,22.020096,0.301,0.273,0.263,0.265
1p46G-gemma-commoncrawl-ar-29BT,4,11000,23.068672,0.314,0.275,0.27,0.265
1p46G-gemma-commoncrawl-ar-29BT,4,11500,24.117248,0.309,0.278,0.274,0.26
1p46G-gemma-commoncrawl-ar-29BT,4,12000,25.165824,0.308,0.277,0.266,0.263
1p46G-gemma-commoncrawl-ar-29BT,4,12500,26.2144,0.323,0.274,0.268,0.266
1p46G-gemma-commoncrawl-ar-29BT,4,13000,27.262976,0.307,0.274,0.264,0.265
1p46G-gemma-commoncrawl-ar-29BT,4,13500,28.311552,0.305,0.28,0.263,0.269
1p46G-gemma-commoncrawl-ar-29BT,4,14000,29.360128,0.309,0.281,0.264,0.274
1p46G-gemma-commoncrawl-ar-29BT,4,1500,3.145728,0.298,0.279,0.27,0.277
1p46G-gemma-commoncrawl-ar-29BT,4,2000,4.194304,0.28700000000000003,0.262,0.265,0.269
1p46G-gemma-commoncrawl-ar-29BT,4,2500,5.24288,0.297,0.275,0.28200000000000003,0.268
1p46G-gemma-commoncrawl-ar-29BT,4,3000,6.291456,0.295,0.269,0.275,0.269
1p46G-gemma-commoncrawl-ar-29BT,4,3500,7.340032,0.314,0.275,0.271,0.277
1p46G-gemma-commoncrawl-ar-29BT,4,4000,8.388608,0.306,0.278,0.276,0.257
1p46G-gemma-commoncrawl-ar-29BT,4,4500,9.437184,0.309,0.271,0.271,0.275
1p46G-gemma-commoncrawl-ar-29BT,4,500,1.048576,0.28200000000000003,0.266,0.28,0.232
