runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.23531486240000002,0.2488206695,0.2460713034,0.2446117686
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.2420371255,0.2565212096,0.2560869489,0.2590970957
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.2559950051,0.2616195119,0.2637782904,0.2763071103
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.2520965633,0.2598877502,0.2632406074,0.28335113440000004
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.2503149489,0.2566912415,0.26010569570000003,0.2778013353
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.2536251406,0.26404215140000004,0.2590195643,0.2801632878
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.252161837,0.2613625674,0.26299267660000003,0.2781955977
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.25335032900000004,0.2609256264,0.2615737938,0.2778620287
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.2530001489,0.2603839511,0.2609698019,0.2774362787
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.2527492892,0.2611378133,0.2622269143,0.2759760471
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.2537463448,0.2609558752,0.26092387370000003,0.2789377764
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.24278042260000002,0.2515468703,0.2519653103,0.2634800372
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.2432780551,0.2541224769,0.2518127144,0.26092840970000003
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.24524182290000002,0.2571318829,0.2582976476,0.27320993
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.2415677819,0.2532523123,0.2529685684,0.2680311054
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.2425774894,0.2549171146,0.2533923865,0.26966321460000003
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.242685537,0.2537528285,0.2553613876,0.2675140659
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.2482125796,0.25769762890000003,0.2558297966,0.2721235958
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.2377390674,0.2549991581,0.2536877716,0.2557743971
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.2459589017,0.2555840527,0.2560191499,0.2696902625
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.24516242300000002,0.2552149392,0.2556230024,0.2764238355
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.2488824407,0.25782930860000003,0.2575360345,0.2784234323
