runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.223,0.246,0.24,0.257
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.271,0.305,0.291,0.326
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.299,0.317,0.31,0.352
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.305,0.317,0.315,0.36
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.305,0.323,0.32,0.36
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.305,0.324,0.318,0.354
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.308,0.321,0.316,0.369
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.31,0.317,0.313,0.356
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.308,0.318,0.313,0.364
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.307,0.322,0.314,0.362
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.306,0.318,0.315,0.366
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.259,0.298,0.28300000000000003,0.328
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.274,0.298,0.281,0.33
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.275,0.295,0.296,0.329
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.253,0.299,0.28400000000000003,0.337
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.278,0.30000000000000004,0.294,0.35000000000000003
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.279,0.302,0.295,0.343
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.278,0.31,0.28600000000000003,0.352
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.241,0.274,0.273,0.311
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.271,0.313,0.303,0.34400000000000003
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.29,0.307,0.297,0.337
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.29,0.312,0.298,0.34
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.293,0.316,0.292,0.356
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.291,0.319,0.306,0.358
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.281,0.319,0.305,0.35000000000000003
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.305,0.314,0.305,0.36
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.296,0.318,0.306,0.363
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.304,0.32,0.307,0.353
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.303,0.321,0.311,0.352
baseline-ar-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.223,0.246,0.24,0.257
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.256,0.296,0.278,0.321
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.28600000000000003,0.307,0.28700000000000003,0.355
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.293,0.304,0.294,0.35000000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.299,0.302,0.297,0.35100000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.29,0.301,0.299,0.34800000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.299,0.303,0.296,0.355
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.297,0.302,0.295,0.352
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.291,0.302,0.291,0.34900000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.294,0.305,0.302,0.35000000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.293,0.303,0.30000000000000004,0.34600000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.266,0.297,0.289,0.32
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.28300000000000003,0.291,0.28700000000000003,0.328
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.278,0.28600000000000003,0.293,0.329
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.28,0.295,0.28700000000000003,0.326
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.28300000000000003,0.295,0.299,0.327
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.276,0.294,0.299,0.337
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.269,0.30000000000000004,0.30000000000000004,0.33
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.24,0.28400000000000003,0.263,0.298
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.289,0.299,0.292,0.328
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.281,0.298,0.28600000000000003,0.35000000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.298,0.299,0.295,0.34900000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.28,0.297,0.302,0.339
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.293,0.297,0.291,0.34400000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.28800000000000003,0.30000000000000004,0.294,0.34400000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.291,0.305,0.294,0.357
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.294,0.31,0.294,0.36
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.28200000000000003,0.314,0.299,0.34800000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.289,0.307,0.294,0.35000000000000003
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.223,0.246,0.241,0.257
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.256,0.289,0.28,0.312
