runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.339,0.337,0.315,0.32
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.338,0.322,0.313,0.354
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.342,0.319,0.333,0.384
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.35100000000000003,0.342,0.312,0.371
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.329,0.341,0.318,0.372
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.337,0.332,0.315,0.362
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.331,0.322,0.319,0.356
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.315,0.356,0.314,0.371
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.34,0.34400000000000003,0.313,0.38
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.33,0.35000000000000003,0.317,0.388
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.336,0.342,0.318,0.371
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.398,0.35000000000000003,0.333,0.379
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.334,0.341,0.304,0.373
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.36,0.314,0.312,0.398
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.34400000000000003,0.34600000000000003,0.352,0.405
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.368,0.35000000000000003,0.379,0.417
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.319,0.317,0.32,0.359
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.342,0.35100000000000003,0.376,0.42
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.34,0.34800000000000003,0.343,0.358
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.356,0.334,0.327,0.41300000000000003
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.341,0.343,0.342,0.391
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.295,0.322,0.319,0.379
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.306,0.337,0.314,0.391
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.302,0.334,0.312,0.406
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.34600000000000003,0.353,0.328,0.353
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.323,0.337,0.316,0.37
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.361,0.338,0.329,0.374
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.35100000000000003,0.343,0.331,0.379
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.342,0.365,0.312,0.392
baseline-ar-,42,0,0.0,0.33333333330000003,0.33333333330000003,0.33333333330000003,0.33333333330000003
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.339,0.337,0.315,0.32
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.311,0.34900000000000003,0.321,0.342
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.46,0.367,0.372,0.497
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.418,0.391,0.337,0.483
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.47200000000000003,0.356,0.373,0.47300000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.47900000000000004,0.374,0.374,0.46900000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.49,0.355,0.40900000000000003,0.5
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.494,0.354,0.406,0.47000000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.494,0.357,0.389,0.52
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.51,0.359,0.375,0.445
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.523,0.358,0.401,0.439
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.394,0.34900000000000003,0.335,0.34500000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.334,0.342,0.297,0.326
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.34400000000000003,0.355,0.343,0.311
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.38,0.35000000000000003,0.336,0.318
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.374,0.34900000000000003,0.356,0.41100000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.352,0.353,0.302,0.418
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.40700000000000003,0.34900000000000003,0.34900000000000003,0.394
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.327,0.342,0.34900000000000003,0.338
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.448,0.34900000000000003,0.354,0.417
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.532,0.35000000000000003,0.391,0.509
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.43,0.34800000000000003,0.363,0.439
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.394,0.353,0.366,0.427
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.436,0.34900000000000003,0.382,0.451
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.375,0.35100000000000003,0.373,0.45
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.404,0.374,0.319,0.41600000000000004
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.419,0.357,0.377,0.444
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.468,0.354,0.402,0.47400000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.462,0.353,0.401,0.467
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.339,0.337,0.315,0.32
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.307,0.335,0.327,0.338
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.419,0.34700000000000003,0.331,0.45
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.40900000000000003,0.34700000000000003,0.336,0.405
1p46G-gemma-orion-ar-29BT,6,11000,23.068672,0.405,0.341,0.34,0.438
1p46G-gemma-orion-ar-29BT,6,11500,24.117248,0.371,0.34800000000000003,0.34,0.41200000000000003
1p46G-gemma-orion-ar-29BT,6,12000,25.165824,0.317,0.34800000000000003,0.311,0.378
1p46G-gemma-orion-ar-29BT,6,12500,26.2144,0.377,0.35100000000000003,0.332,0.365
1p46G-gemma-orion-ar-29BT,6,13000,27.262976,0.318,0.353,0.314,0.39
1p46G-gemma-orion-ar-29BT,6,13500,28.311552,0.355,0.358,0.318,0.376
1p46G-gemma-orion-ar-29BT,6,14000,29.360128,0.355,0.35000000000000003,0.323,0.41000000000000003
1p46G-gemma-orion-ar-29BT,6,1500,3.145728,0.364,0.365,0.324,0.371
1p46G-gemma-orion-ar-29BT,6,2000,4.194304,0.36,0.34900000000000003,0.34600000000000003,0.34600000000000003
1p46G-gemma-orion-ar-29BT,6,2500,5.24288,0.362,0.35000000000000003,0.353,0.41400000000000003
1p46G-gemma-orion-ar-29BT,6,3000,6.291456,0.431,0.34900000000000003,0.34400000000000003,0.403
1p46G-gemma-orion-ar-29BT,6,3500,7.340032,0.343,0.368,0.321,0.367
1p46G-gemma-orion-ar-29BT,6,4000,8.388608,0.365,0.34900000000000003,0.329,0.40800000000000003
1p46G-gemma-orion-ar-29BT,6,4500,9.437184,0.372,0.342,0.33,0.395
1p46G-gemma-orion-ar-29BT,6,500,1.048576,0.321,0.329,0.323,0.342
1p46G-gemma-orion-ar-29BT,6,5000,10.48576,0.371,0.341,0.33,0.392
1p46G-gemma-orion-ar-29BT,6,5500,11.534336,0.363,0.34500000000000003,0.313,0.334
1p46G-gemma-orion-ar-29BT,6,6000,12.582912,0.36,0.337,0.306,0.41000000000000003
1p46G-gemma-orion-ar-29BT,6,6500,13.631488,0.365,0.34500000000000003,0.335,0.357
1p46G-gemma-orion-ar-29BT,6,7000,14.680064,0.357,0.329,0.318,0.363
1p46G-gemma-orion-ar-29BT,6,7500,15.72864,0.41300000000000003,0.341,0.319,0.385
1p46G-gemma-orion-ar-29BT,6,8000,16.777216,0.401,0.35000000000000003,0.357,0.439
1p46G-gemma-orion-ar-29BT,6,8500,17.825792,0.354,0.354,0.337,0.393
1p46G-gemma-orion-ar-29BT,6,9000,18.874368,0.433,0.34600000000000003,0.338,0.361
1p46G-gemma-orion-ar-29BT,6,9500,19.922944,0.427,0.342,0.319,0.498
1p46G-gemma-commoncrawl-ar-29BT,3,0,0.0,0.339,0.319,0.329,0.35000000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,1000,2.097152,0.329,0.34500000000000003,0.266,0.267
1p46G-gemma-commoncrawl-ar-29BT,3,10000,20.97152,0.292,0.322,0.313,0.367
1p46G-gemma-commoncrawl-ar-29BT,3,10500,22.020096,0.32,0.324,0.31,0.368
1p46G-gemma-commoncrawl-ar-29BT,3,11000,23.068672,0.322,0.307,0.316,0.374
1p46G-gemma-commoncrawl-ar-29BT,3,11500,24.117248,0.326,0.331,0.322,0.37
1p46G-gemma-commoncrawl-ar-29BT,3,12000,25.165824,0.326,0.33,0.316,0.362
1p46G-gemma-commoncrawl-ar-29BT,3,12500,26.2144,0.306,0.316,0.311,0.359
1p46G-gemma-commoncrawl-ar-29BT,3,13000,27.262976,0.313,0.297,0.316,0.368
1p46G-gemma-commoncrawl-ar-29BT,3,13500,28.311552,0.303,0.312,0.313,0.366
1p46G-gemma-commoncrawl-ar-29BT,3,14000,29.360128,0.328,0.316,0.314,0.374
1p46G-gemma-commoncrawl-ar-29BT,3,1500,3.145728,0.315,0.333,0.289,0.306
1p46G-gemma-commoncrawl-ar-29BT,3,2000,4.194304,0.34400000000000003,0.305,0.318,0.353
1p46G-gemma-commoncrawl-ar-29BT,3,2500,5.24288,0.35100000000000003,0.363,0.327,0.362
1p46G-gemma-commoncrawl-ar-29BT,3,3000,6.291456,0.343,0.373,0.369,0.365
1p46G-gemma-commoncrawl-ar-29BT,3,3500,7.340032,0.34400000000000003,0.399,0.331,0.36
1p46G-gemma-commoncrawl-ar-29BT,3,4000,8.388608,0.355,0.359,0.383,0.375
1p46G-gemma-commoncrawl-ar-29BT,3,4500,9.437184,0.336,0.372,0.326,0.373
1p46G-gemma-commoncrawl-ar-29BT,3,500,1.048576,0.331,0.34800000000000003,0.35100000000000003,0.306
1p46G-gemma-commoncrawl-ar-29BT,3,5000,10.48576,0.329,0.352,0.366,0.366
1p46G-gemma-commoncrawl-ar-29BT,3,5500,11.534336,0.342,0.369,0.341,0.359
1p46G-gemma-commoncrawl-ar-29BT,3,6000,12.582912,0.267,0.356,0.312,0.372
1p46G-gemma-commoncrawl-ar-29BT,3,6500,13.631488,0.298,0.326,0.312,0.377
1p46G-gemma-commoncrawl-ar-29BT,3,7000,14.680064,0.326,0.352,0.333,0.368
1p46G-gemma-commoncrawl-ar-29BT,3,7500,15.72864,0.336,0.322,0.311,0.38
1p46G-gemma-commoncrawl-ar-29BT,3,8000,16.777216,0.31,0.325,0.313,0.359
1p46G-gemma-commoncrawl-ar-29BT,3,8500,17.825792,0.34400000000000003,0.32,0.321,0.35100000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,9000,18.874368,0.341,0.34,0.321,0.35100000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,9500,19.922944,0.322,0.304,0.318,0.368
1p46G-gemma-aquila-ar-29BT,6,0,0.0,0.339,0.337,0.315,0.32
1p46G-gemma-aquila-ar-29BT,6,1000,2.097152,0.337,0.34800000000000003,0.334,0.34
1p46G-gemma-aquila-ar-29BT,6,10000,20.97152,0.33,0.295,0.312,0.32
1p46G-gemma-aquila-ar-29BT,6,10500,22.020096,0.343,0.332,0.321,0.32
1p46G-gemma-aquila-ar-29BT,6,11000,23.068672,0.34700000000000003,0.308,0.311,0.376
1p46G-gemma-aquila-ar-29BT,6,11500,24.117248,0.332,0.322,0.313,0.377
1p46G-gemma-aquila-ar-29BT,6,12000,25.165824,0.361,0.323,0.306,0.356
1p46G-gemma-aquila-ar-29BT,6,12500,26.2144,0.366,0.296,0.302,0.325
1p46G-gemma-aquila-ar-29BT,6,13000,27.262976,0.379,0.307,0.308,0.363
1p46G-gemma-aquila-ar-29BT,6,13500,28.311552,0.34800000000000003,0.319,0.311,0.342
1p46G-gemma-aquila-ar-29BT,6,14000,29.360128,0.358,0.307,0.311,0.366
1p46G-gemma-aquila-ar-29BT,6,1500,3.145728,0.43,0.34900000000000003,0.341,0.44
1p46G-gemma-aquila-ar-29BT,6,2000,4.194304,0.356,0.34900000000000003,0.302,0.34700000000000003
1p46G-gemma-aquila-ar-29BT,6,2500,5.24288,0.365,0.34600000000000003,0.331,0.34500000000000003
1p46G-gemma-aquila-ar-29BT,6,3000,6.291456,0.332,0.335,0.322,0.34400000000000003
1p46G-gemma-aquila-ar-29BT,6,3500,7.340032,0.393,0.34800000000000003,0.319,0.357
1p46G-gemma-aquila-ar-29BT,6,4000,8.388608,0.336,0.326,0.302,0.357
1p46G-gemma-aquila-ar-29BT,6,4500,9.437184,0.403,0.34900000000000003,0.305,0.34500000000000003
1p46G-gemma-aquila-ar-29BT,6,500,1.048576,0.339,0.362,0.294,0.367
1p46G-gemma-aquila-ar-29BT,6,5000,10.48576,0.353,0.334,0.316,0.363
1p46G-gemma-aquila-ar-29BT,6,5500,11.534336,0.332,0.34800000000000003,0.28800000000000003,0.41300000000000003
1p46G-gemma-aquila-ar-29BT,6,6000,12.582912,0.395,0.34600000000000003,0.295,0.513
1p46G-gemma-aquila-ar-29BT,6,6500,13.631488,0.362,0.34600000000000003,0.33,0.39
1p46G-gemma-aquila-ar-29BT,6,7000,14.680064,0.335,0.303,0.28600000000000003,0.328
1p46G-gemma-aquila-ar-29BT,6,7500,15.72864,0.365,0.302,0.298,0.34500000000000003
1p46G-gemma-aquila-ar-29BT,6,8000,16.777216,0.369,0.323,0.315,0.389
1p46G-gemma-aquila-ar-29BT,6,8500,17.825792,0.335,0.335,0.333,0.40700000000000003
1p46G-gemma-aquila-ar-29BT,6,9000,18.874368,0.336,0.309,0.316,0.4
1p46G-gemma-aquila-ar-29BT,6,9500,19.922944,0.34700000000000003,0.319,0.309,0.372
1p46G-gemma-commoncrawl-ar-29BT,4,0,0.0,0.339,0.358,0.339,0.34700000000000003
1p46G-gemma-commoncrawl-ar-29BT,4,1000,2.097152,0.355,0.356,0.332,0.326
1p46G-gemma-commoncrawl-ar-29BT,4,10000,20.97152,0.334,0.367,0.323,0.34400000000000003
