runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.518,0.494,0.484,0.481
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.518,0.498,0.487,0.516
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.522,0.482,0.482,0.5740000000000001
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.522,0.482,0.482,0.534
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.516,0.483,0.482,0.529
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.517,0.484,0.483,0.561
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.518,0.483,0.482,0.535
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.519,0.483,0.482,0.529
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.517,0.487,0.484,0.537
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.517,0.487,0.483,0.5650000000000001
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.518,0.498,0.488,0.5750000000000001
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.547,0.482,0.482,0.526
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.5700000000000001,0.484,0.484,0.555
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.519,0.484,0.484,0.5740000000000001
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.521,0.483,0.483,0.586
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.557,0.484,0.483,0.662
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.547,0.483,0.482,0.551
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.52,0.484,0.483,0.608
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.52,0.483,0.483,0.517
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.53,0.481,0.482,0.606
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.508,0.482,0.482,0.544
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.519,0.482,0.482,0.553
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.521,0.483,0.482,0.562
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.528,0.482,0.482,0.5730000000000001
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.541,0.481,0.482,0.487
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.523,0.482,0.482,0.559
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.524,0.482,0.482,0.535
