runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.208040201,0.2613065327,0.2432160804,0.2572864322
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.6231155779,0.5648241206,0.5708542714,0.6301507538000001
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.6884422111,0.6060301508,0.6170854271,0.6814070352
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.6854271357,0.5979899497,0.6180904523,0.6703517588
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.6874371859,0.6030150754,0.6201005025,0.6834170854
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.6944723618,0.6050251256,0.6261306533000001,0.6763819095
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.6974874372000001,0.6110552764,0.6321608040000001,0.6824120603
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.6984924623000001,0.6150753769,0.6391959799,0.6844221106
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.6994974874000001,0.616080402,0.6361809045,0.6783919598
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.6934673367,0.6140703518,0.6341708543,0.6874371859
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.7005025126000001,0.6140703518,0.6311557789000001,0.6793969849
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.6301507538000001,0.5778894472,0.5809045226,0.6492462312
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.6452261307,0.575879397,0.6000000000000001,0.6472361809
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.6432160804,0.5809045226,0.583919598,0.648241206
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.6462311558,0.5849246231,0.5969849246,0.6432160804
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.6653266332000001,0.5949748744000001,0.608040201,0.6572864322
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.6693467337,0.6070351759,0.6180904523,0.6693467337
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.6693467337,0.6000000000000001,0.6050251256,0.6673366834000001
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.5658291457,0.5145728643,0.5316582915,0.5577889447000001
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.6793969849,0.6090452261,0.624120603,0.6542713568
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.6793969849,0.6030150754,0.6221105528,0.6643216080000001
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.6673366834000001,0.6040201005,0.6170854271,0.6753768844
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.6763819095,0.5959798995000001,0.6110552764,0.6753768844
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.6824120603,0.6060301508,0.6100502513,0.6874371859
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.6814070352,0.6000000000000001,0.6110552764,0.6824120603
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.6984924623000001,0.6050251256,0.616080402,0.6914572864
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.6814070352,0.5929648241000001,0.6070351759,0.6894472362
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.6804020101,0.5979899497,0.6140703518,0.6844221106
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.6934673367,0.6120603015,0.6221105528,0.6693467337
baseline-ar-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.208040201,0.2613065327,0.2432160804,0.2572864322
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.5869346734,0.5407035176,0.5628140704,0.5909547739000001
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.6713567839,0.5959798995000001,0.6030150754,0.6703517588
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.6703517588,0.5909547739000001,0.6040201005,0.6542713568
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.6743718593,0.5959798995000001,0.6060301508,0.6633165829000001
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.6643216080000001,0.5879396985,0.5909547739000001,0.6623115578000001
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.6703517588,0.5949748744000001,0.6100502513,0.6623115578000001
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.6783919598,0.6000000000000001,0.608040201,0.6683417085000001
