runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.338,0.338,0.35000000000000003,0.34400000000000003
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.338,0.305,0.341,0.324
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.319,0.34600000000000003,0.341,0.327
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.335,0.34800000000000003,0.342,0.323
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.323,0.339,0.342,0.35100000000000003
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.335,0.34500000000000003,0.341,0.317
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.333,0.34,0.341,0.34700000000000003
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.336,0.34500000000000003,0.341,0.332
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.34,0.35000000000000003,0.342,0.342
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.33,0.327,0.342,0.313
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.338,0.339,0.341,0.334
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.327,0.34800000000000003,0.342,0.326
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.342,0.36,0.342,0.33
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.307,0.378,0.342,0.355
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.291,0.36,0.342,0.35100000000000003
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.335,0.34700000000000003,0.342,0.366
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.335,0.34600000000000003,0.342,0.337
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.337,0.362,0.342,0.358
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.30000000000000004,0.34500000000000003,0.342,0.321
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.338,0.322,0.342,0.315
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.329,0.336,0.341,0.326
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.309,0.332,0.342,0.358
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.333,0.343,0.341,0.34700000000000003
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.322,0.356,0.342,0.353
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.337,0.341,0.341,0.372
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.313,0.338,0.342,0.338
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.324,0.337,0.342,0.298
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.335,0.341,0.343,0.34
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.332,0.321,0.343,0.289
baseline-ar-,42,0,0.0,0.33333333330000003,0.33333333330000003,0.33333333330000003,0.33333333330000003
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.338,0.338,0.35000000000000003,0.34400000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.337,0.342,0.341,0.34500000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.343,0.34600000000000003,0.341,0.381
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.372,0.34500000000000003,0.341,0.42
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.375,0.343,0.341,0.355
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.359,0.34400000000000003,0.341,0.385
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.357,0.34500000000000003,0.341,0.385
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.361,0.34700000000000003,0.341,0.398
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.353,0.34400000000000003,0.341,0.353
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.359,0.34400000000000003,0.341,0.373
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.362,0.34400000000000003,0.341,0.4
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.323,0.343,0.341,0.313
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.316,0.337,0.341,0.323
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.361,0.34600000000000003,0.341,0.334
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.362,0.343,0.341,0.343
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.371,0.342,0.341,0.372
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.376,0.34600000000000003,0.341,0.342
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.334,0.34900000000000003,0.341,0.342
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.33,0.352,0.341,0.34
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.36,0.342,0.341,0.363
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.398,0.343,0.341,0.363
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.361,0.341,0.341,0.389
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.353,0.342,0.341,0.38
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.38,0.343,0.341,0.401
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.368,0.341,0.341,0.329
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.341,0.343,0.341,0.352
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.33,0.34700000000000003,0.341,0.355
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.34500000000000003,0.34900000000000003,0.341,0.40800000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.342,0.34500000000000003,0.341,0.39
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.338,0.338,0.35000000000000003,0.34400000000000003
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.329,0.342,0.341,0.337
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.361,0.341,0.341,0.353
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.376,0.343,0.341,0.362
1p46G-gemma-orion-ar-29BT,6,11000,23.068672,0.39,0.34,0.341,0.379
1p46G-gemma-orion-ar-29BT,6,11500,24.117248,0.365,0.339,0.341,0.37
1p46G-gemma-orion-ar-29BT,6,12000,25.165824,0.359,0.339,0.341,0.34900000000000003
1p46G-gemma-orion-ar-29BT,6,12500,26.2144,0.333,0.336,0.341,0.352
1p46G-gemma-orion-ar-29BT,6,13000,27.262976,0.39,0.341,0.341,0.375
1p46G-gemma-orion-ar-29BT,6,13500,28.311552,0.365,0.339,0.341,0.367
1p46G-gemma-orion-ar-29BT,6,14000,29.360128,0.379,0.337,0.341,0.377
1p46G-gemma-orion-ar-29BT,6,1500,3.145728,0.319,0.341,0.341,0.297
1p46G-gemma-orion-ar-29BT,6,2000,4.194304,0.34800000000000003,0.342,0.341,0.339
1p46G-gemma-orion-ar-29BT,6,2500,5.24288,0.353,0.341,0.341,0.371
1p46G-gemma-orion-ar-29BT,6,3000,6.291456,0.34500000000000003,0.342,0.341,0.34600000000000003
1p46G-gemma-orion-ar-29BT,6,3500,7.340032,0.34600000000000003,0.34400000000000003,0.341,0.333
1p46G-gemma-orion-ar-29BT,6,4000,8.388608,0.318,0.338,0.342,0.293
1p46G-gemma-orion-ar-29BT,6,4500,9.437184,0.36,0.342,0.341,0.354
1p46G-gemma-orion-ar-29BT,6,500,1.048576,0.309,0.342,0.341,0.317
1p46G-gemma-orion-ar-29BT,6,5000,10.48576,0.323,0.341,0.342,0.267
1p46G-gemma-orion-ar-29BT,6,5500,11.534336,0.323,0.341,0.342,0.315
1p46G-gemma-orion-ar-29BT,6,6000,12.582912,0.291,0.337,0.342,0.307
1p46G-gemma-orion-ar-29BT,6,6500,13.631488,0.309,0.341,0.342,0.319
1p46G-gemma-orion-ar-29BT,6,7000,14.680064,0.353,0.34600000000000003,0.341,0.309
1p46G-gemma-orion-ar-29BT,6,7500,15.72864,0.331,0.339,0.342,0.331
1p46G-gemma-orion-ar-29BT,6,8000,16.777216,0.34400000000000003,0.34,0.341,0.289
1p46G-gemma-orion-ar-29BT,6,8500,17.825792,0.31,0.342,0.341,0.32
1p46G-gemma-orion-ar-29BT,6,9000,18.874368,0.323,0.335,0.341,0.307
1p46G-gemma-orion-ar-29BT,6,9500,19.922944,0.338,0.341,0.341,0.323
1p46G-gemma-commoncrawl-ar-29BT,3,0,0.0,0.338,0.338,0.339,0.332
1p46G-gemma-commoncrawl-ar-29BT,3,1000,2.097152,0.337,0.34400000000000003,0.343,0.34600000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,10000,20.97152,0.337,0.34800000000000003,0.342,0.367
1p46G-gemma-commoncrawl-ar-29BT,3,10500,22.020096,0.338,0.337,0.342,0.357
1p46G-gemma-commoncrawl-ar-29BT,3,11000,23.068672,0.337,0.357,0.342,0.37
1p46G-gemma-commoncrawl-ar-29BT,3,11500,24.117248,0.337,0.377,0.342,0.365
1p46G-gemma-commoncrawl-ar-29BT,3,12000,25.165824,0.336,0.34800000000000003,0.342,0.36
1p46G-gemma-commoncrawl-ar-29BT,3,12500,26.2144,0.336,0.36,0.342,0.366
1p46G-gemma-commoncrawl-ar-29BT,3,13000,27.262976,0.332,0.352,0.343,0.365
1p46G-gemma-commoncrawl-ar-29BT,3,13500,28.311552,0.336,0.362,0.34400000000000003,0.376
1p46G-gemma-commoncrawl-ar-29BT,3,14000,29.360128,0.338,0.359,0.343,0.374
1p46G-gemma-commoncrawl-ar-29BT,3,1500,3.145728,0.338,0.352,0.341,0.353
1p46G-gemma-commoncrawl-ar-29BT,3,2000,4.194304,0.327,0.343,0.341,0.365
1p46G-gemma-commoncrawl-ar-29BT,3,2500,5.24288,0.338,0.36,0.342,0.34500000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,3000,6.291456,0.341,0.34500000000000003,0.341,0.367
1p46G-gemma-commoncrawl-ar-29BT,3,3500,7.340032,0.321,0.35000000000000003,0.342,0.315
1p46G-gemma-commoncrawl-ar-29BT,3,4000,8.388608,0.337,0.34800000000000003,0.342,0.369
1p46G-gemma-commoncrawl-ar-29BT,3,4500,9.437184,0.336,0.34400000000000003,0.342,0.404
1p46G-gemma-commoncrawl-ar-29BT,3,500,1.048576,0.326,0.332,0.341,0.31
1p46G-gemma-commoncrawl-ar-29BT,3,5000,10.48576,0.337,0.319,0.342,0.358
1p46G-gemma-commoncrawl-ar-29BT,3,5500,11.534336,0.33,0.34500000000000003,0.341,0.34500000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,6000,12.582912,0.333,0.343,0.341,0.377
1p46G-gemma-commoncrawl-ar-29BT,3,6500,13.631488,0.334,0.317,0.342,0.34500000000000003
1p46G-gemma-commoncrawl-ar-29BT,3,7000,14.680064,0.333,0.34500000000000003,0.342,0.35100000000000003
