runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.001,3.63636e-05
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.002,0.0995674684
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.053,0.2165022093
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.05,0.21929245420000001
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.049,0.2244905339
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.051000000000000004,0.2227367848
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.057,0.2067742129
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.055,0.2080902174
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.053,0.2120031053
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.052000000000000005,0.2131140022
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.058,0.2192769487
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.008,0.12081085770000001
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.015,0.1273028651
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.015,0.1368905697
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.024,0.1464138395
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.028,0.152158163
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.023,0.15433662550000002
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.032,0.18592643790000002
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.002,0.052673272300000004
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.032,0.1862353223
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.036000000000000004,0.1879030833
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.042,0.2065522591
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.048,0.1898309877
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.048,0.20239696270000002
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.045,0.2146782895
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.052000000000000005,0.2272701681
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.045,0.21349436300000002
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.048,0.2049201898
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.047,0.20949555620000002
baseline-ar-,42,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.001,3.63636e-05
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.002,0.0767933845
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.023,0.1799306829
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.019,0.15943499220000001
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.023,0.1752250257
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.02,0.16649604410000002
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.023,0.1722814021
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.021,0.1737656725
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.02,0.1713919607
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.02,0.1660473537
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.022,0.17524098840000002
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.002,0.0765019204
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.004,0.10257236830000001
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.003,0.11555107070000001
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.004,0.1295130328
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.011,0.1598198844
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.009000000000000001,0.1418491118
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.013000000000000001,0.1608873141
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.001,0.0253520764
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.014,0.1447041291
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.019,0.1543109196
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.011,0.1494711343
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.021,0.16228566360000002
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.025,0.17936416970000002
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.024,0.1785808454
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.023,0.1711239011
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.015,0.1569784388
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.021,0.174507716
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.019,0.1665507196
