runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.2659217877,0.251396648,0.2815642458,0.2715083799
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.2938547486,0.2916201117,0.29273743020000004,0.26703910610000003
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.3374301676,0.2983240223,0.28826815640000003,0.2804469274
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.3351955307,0.3072625698,0.2916201117,0.2938547486
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.338547486,0.3094972067,0.2905027933,0.2893854749
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.3374301676,0.2994413408,0.2849162011,0.29273743020000004
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.3374301676,0.3027932961,0.2960893855,0.2893854749
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.3351955307,0.3072625698,0.2960893855,0.29273743020000004
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.3418994413,0.2983240223,0.294972067,0.28379888270000003
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.33966480450000003,0.30502793300000003,0.2916201117,0.28379888270000003
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.3430167598,0.3083798883,0.2938547486,0.2916201117
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.3016759777,0.294972067,0.31061452510000004,0.2748603352
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.3072625698,0.2983240223,0.2983240223,0.2815642458
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.3016759777,0.31061452510000004,0.3027932961,0.2793296089
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.3016759777,0.3005586592,0.3005586592,0.27039106150000003
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.3240223464,0.3117318436,0.3061452514,0.269273743
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.3195530726,0.3061452514,0.3027932961,0.2893854749
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.3262569832,0.3083798883,0.29720670390000004,0.2748603352
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.2603351955,0.2413407821,0.26703910610000003,0.2648044693
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.330726257,0.3039106145,0.3016759777,0.2782122905
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.3296089385,0.3094972067,0.3016759777,0.2826815642
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.31843575420000003,0.31061452510000004,0.29720670390000004,0.2759776536
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.3173184358,0.2994413408,0.2893854749,0.28379888270000003
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.3251396648,0.3173184358,0.2983240223,0.2815642458
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.330726257,0.3016759777,0.29720670390000004,0.29273743020000004
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.3418994413,0.3083798883,0.29720670390000004,0.287150838
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.3240223464,0.2960893855,0.29720670390000004,0.28826815640000003
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.3262569832,0.3039106145,0.2960893855,0.2804469274
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.3351955307,0.2983240223,0.28826815640000003,0.2759776536
baseline-ar-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.2659217877,0.251396648,0.2815642458,0.2715083799
