runname,seed,steps,tokens,prefix_match,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.0,0.457,0.636,0.457,0.513
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.366,0.623,0.638,0.623,0.637
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.256,0.485,0.623,0.485,0.555
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.25,0.512,0.628,0.512,0.5700000000000001
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.245,0.484,0.615,0.484,0.5760000000000001
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.216,0.523,0.631,0.523,0.6000000000000001
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.264,0.521,0.629,0.521,0.561
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.193,0.519,0.626,0.519,0.589
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.268,0.539,0.632,0.539,0.591
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.24,0.522,0.631,0.522,0.579
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.268,0.544,0.638,0.544,0.578
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.37,0.5690000000000001,0.639,0.5690000000000001,0.636
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.28300000000000003,0.47300000000000003,0.62,0.47300000000000003,0.628
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.354,0.534,0.634,0.534,0.633
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.32,0.502,0.624,0.502,0.545
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.38,0.5660000000000001,0.636,0.5660000000000001,0.594
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.23800000000000002,0.405,0.558,0.405,0.618
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.274,0.444,0.578,0.444,0.527
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.033,0.543,0.638,0.543,0.636
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.333,0.521,0.626,0.521,0.555
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.28500000000000003,0.515,0.622,0.515,0.556
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.20600000000000002,0.556,0.636,0.556,0.624
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.292,0.48,0.602,0.48,0.521
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.317,0.539,0.63,0.539,0.608
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.258,0.445,0.615,0.445,0.604
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.337,0.527,0.615,0.527,0.5650000000000001
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.256,0.52,0.622,0.52,0.588
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.189,0.52,0.633,0.52,0.615
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.252,0.529,0.642,0.529,0.596
baseline-ar-,42,0,0.0,0.0,0.0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.0,0.459,0.636,0.459,0.513
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.302,0.621,0.637,0.621,0.636
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.421,0.631,0.637,0.631,0.639
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.451,0.626,0.637,0.626,0.637
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.388,0.616,0.638,0.616,0.633
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.38,0.628,0.636,0.628,0.634
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.401,0.622,0.637,0.622,0.634
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.41200000000000003,0.628,0.638,0.628,0.629
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.384,0.629,0.637,0.629,0.625
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.383,0.62,0.636,0.62,0.633
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.387,0.616,0.636,0.616,0.616
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.17,0.592,0.637,0.592,0.635
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.36,0.606,0.637,0.606,0.582
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.14300000000000002,0.366,0.517,0.366,0.546
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.245,0.502,0.636,0.502,0.586
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.31,0.577,0.635,0.577,0.584
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.377,0.605,0.637,0.605,0.606
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.396,0.605,0.638,0.605,0.626
