runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.2531418312,0.2298025135,0.24955116700000002,0.2441651706,0.2489019106,0.2320659056,0.2418997284,0.2360188758
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.2675044883,0.2710951526,0.2980251346,0.2872531418,0.2700534623,0.2808791392,0.3071630812,0.2736667317
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.3034111311,0.3052064632,0.3231597846,0.3016157989,0.31226633260000003,0.2937269592,0.3346212341,0.3046266896
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.29622980250000003,0.31238779170000003,0.3141831239,0.29263913820000004,0.30332616430000003,0.3046961541,0.3141157598,0.3078832121
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.3087971275,0.3141831239,0.3141831239,0.2980251346,0.3063873707,0.293551545,0.3138366904,0.299992831
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.31059245960000004,0.315978456,0.3249551167,0.3087971275,0.3019811873,0.29872695920000003,0.3229503822,0.3106162492
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.2980251346,0.3087971275,0.3141831239,0.3195691203,0.29293001750000003,0.2901955525,0.30821832390000004,0.3336839353
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.3034111311,0.3213644524,0.32675044880000004,0.3070017953,0.3019853725,0.3103237576,0.3288704773,0.311295247
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.3087971275,0.3141831239,0.32854578100000004,0.3249551167,0.3075546391,0.2979350693,0.32981701300000005,0.32040286290000003
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.315978456,0.315978456,0.3249551167,0.3177737882,0.3122375975,0.3014438168,0.32483778150000003,0.3220959702
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.31238779170000003,0.3195691203,0.3195691203,0.31059245960000004,0.3252242876,0.3040551285,0.3189875547,0.32251666700000003
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.2549371634,0.27648114900000004,0.3016157989,0.29263913820000004,0.2713961449,0.28327160900000004,0.3061032495,0.2963785375
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.2585278276,0.2854578097,0.29263913820000004,0.3087971275,0.2746054583,0.2825342744,0.31008219740000004,0.30820719620000003
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.2639138241,0.2675044883,0.2998204668,0.2800718133,0.265928239,0.2593387869,0.3024153062,0.26070648220000003
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.26211849190000003,0.289048474,0.315978456,0.3177737882,0.27863815410000004,0.30977628360000004,0.3273061955,0.3171075017
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.29443447040000004,0.29263913820000004,0.3482944345,0.34649910230000003,0.2900131957,0.28858028010000003,0.3526578905,0.3401326267
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.2800718133,0.2998204668,0.3177737882,0.3070017953,0.2737200167,0.2985576209,0.3084950989,0.30524883750000004
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.3034111311,0.2908438061,0.3321364452,0.34470377020000004,0.2933803159,0.2734501842,0.3305163755,0.35871961300000005
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.2459605027,0.27827648110000003,0.3034111311,0.2513464991,0.2491333672,0.2648961183,0.27681690070000003,0.2255939938
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.29622980250000003,0.2872531418,0.3231597846,0.3177737882,0.2866798624,0.2759804999,0.3272019199,0.3213966077
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.29263913820000004,0.2980251346,0.3393177738,0.3195691203,0.2905413291,0.2892324335,0.3438834957,0.334817013
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.289048474,0.3052064632,0.3249551167,0.3177737882,0.2898891758,0.30520162840000004,0.321805773,0.3286839353
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.3087971275,0.3087971275,0.3357271095,0.3141831239,0.3134294158,0.2945318676,0.3325634723,0.3168191952
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.2998204668,0.3070017953,0.32854578100000004,0.33034111310000003,0.2997679132,0.3072375975,0.3399225589,0.3375995537
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.29263913820000004,0.31238779170000003,0.3249551167,0.3249551167,0.28621614170000004,0.31259031670000004,0.31772586810000003,0.3186682186
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.29622980250000003,0.3070017953,0.3177737882,0.31238779170000003,0.31161607,0.301643781,0.3172510197,0.3180901188
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.27827648110000003,0.3141831239,0.3195691203,0.31059245960000004,0.2838880847,0.30569913600000004,0.31757500380000003,0.3008953187
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.3177737882,0.315978456,0.3429084381,0.2998204668,0.3226356351,0.3012702933,0.3419358689,0.31069030270000003
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.33034111310000003,0.32854578100000004,0.3429084381,0.3393177738,0.3308991001,0.311920556,0.3401728933,0.3362304305
baseline-ar-,42,0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.2531418312,0.2298025135,0.24955116700000002,0.2441651706,0.2489019106,0.2320659056,0.2418997284,0.2360188758
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.24955116700000002,0.2710951526,0.29443447040000004,0.2639138241,0.24455406400000002,0.2671704274,0.2921158721,0.27502931610000003
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.2854578097,0.29263913820000004,0.29622980250000003,0.31059245960000004,0.2809106316,0.2917381992,0.3088922699,0.3021186294
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.289048474,0.27648114900000004,0.3052064632,0.29443447040000004,0.2867289622,0.2899137257,0.3154395647,0.2978582584
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.2836624776,0.2908438061,0.3070017953,0.3213644524,0.28431383320000003,0.28402134160000003,0.31197613550000003,0.30129989500000004
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.29443447040000004,0.289048474,0.3141831239,0.3034111311,0.2825772983,0.2919362726,0.30814845560000004,0.2847299411
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.2854578097,0.2872531418,0.3034111311,0.3016157989,0.27695893180000003,0.284390644,0.3108829206,0.29122119350000003
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.2728904847,0.2818671454,0.31059245960000004,0.3052064632,0.2748872851,0.2773773341,0.31466844320000004,0.2973204843
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.2800718133,0.289048474,0.3052064632,0.31238779170000003,0.2735691524,0.28830121070000003,0.3130017765,0.28910928010000003
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.29622980250000003,0.29443447040000004,0.3087971275,0.3016157989,0.2904427257,0.2889760232,0.3135729338,0.2814150817
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.289048474,0.289048474,0.3087971275,0.2998204668,0.2861332549,0.2867608584,0.31023770980000004,0.2886552002
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.2513464991,0.2836624776,0.3070017953,0.289048474,0.27020346,0.2906153826,0.3090634989,0.3011600993
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.23877917410000002,0.2657091562,0.2980251346,0.2728904847,0.2429595601,0.2618237842,0.2826471666,0.27443509580000003
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.2854578097,0.289048474,0.31238779170000003,0.27648114900000004,0.2955662828,0.2932789552,0.3079128138,0.2837917757
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.27827648110000003,0.2908438061,0.3052064632,0.29622980250000003,0.275937476,0.2888213774,0.3075416206,0.2968779358
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.2639138241,0.3016157989,0.2980251346,0.3052064632,0.2647571892,0.30813732790000004,0.3263281673,0.2926541091
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.27827648110000003,0.2818671454,0.29622980250000003,0.3087971275,0.2894596458,0.2826513518,0.3100761215,0.3023620212
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.2585278276,0.2710951526,0.2800718133,0.29263913820000004,0.26913755240000004,0.2837506426,0.2897313689,0.2985978875
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.26032315980000004,0.27648114900000004,0.27648114900000004,0.2531418312,0.2613281673,0.2700849547,0.287040952,0.2434617157
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.2675044883,0.29443447040000004,0.2836624776,0.2710951526,0.2616936883,0.2963424561,0.2824648098,0.2684186918
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.2872531418,0.3016157989,0.3087971275,0.2818671454,0.2998646259,0.2929822784,0.32165404210000004,0.2645702435
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.27648114900000004,0.2908438061,0.3034111311,0.29263913820000004,0.25988499060000003,0.2899659866,0.3135127063,0.2963424561
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.2836624776,0.2836624776,0.29622980250000003,0.3177737882,0.2801414008,0.3017085975,0.29379177570000004,0.3156292677
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.2854578097,0.289048474,0.3034111311,0.29443447040000004,0.2692420742,0.2895475843,0.3045628972,0.2870399278
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.27827648110000003,0.2746858169,0.3052064632,0.2836624776,0.2780470949,0.2800419308,0.3137955572,0.2684029751
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.2657091562,0.289048474,0.3016157989,0.27827648110000003,0.2610791033,0.2946193433,0.3091690448,0.2708222893
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.2746858169,0.2818671454,0.2908438061,0.29263913820000004,0.2706565158,0.30024000430000003,0.2939334031,0.28112172350000003
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.27827648110000003,0.27648114900000004,0.2908438061,0.3052064632,0.2776286926,0.27165720320000003,0.3021200573,0.2841810392
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.2800718133,0.2980251346,0.3034111311,0.3213644524,0.28600923500000003,0.3025319799,0.3073722823,0.30080049670000003
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.2531418312,0.2298025135,0.24955116700000002,0.2441651706,0.2489019106,0.2320659056,0.2418997284,0.2360188758
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.27827648110000003,0.2746858169,0.3141831239,0.2836624776,0.2803547872,0.2705639883,0.3184673879,0.2801844247
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.27827648110000003,0.27827648110000003,0.3213644524,0.3070017953,0.2778471307,0.2674759375,0.3159370722,0.2821125534
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.2836624776,0.2854578097,0.32854578100000004,0.3070017953,0.2647095763,0.2788029034,0.3187760591,0.2819616891
1p46G-gemma-orion-ar-29BT,6,11000,23.068672,0.2639138241,0.2800718133,0.3231597846,0.32675044880000004,0.2566011608,0.27223065500000004,0.3150446881,0.3022671992
1p46G-gemma-orion-ar-29BT,6,11500,24.117248,0.27648114900000004,0.2980251346,0.32854578100000004,0.2998204668,0.2645364566,0.2921135776,0.3219339782,0.2786755649
1p46G-gemma-orion-ar-29BT,6,12000,25.165824,0.2692998205,0.289048474,0.3321364452,0.3034111311,0.2614956149,0.2805394384,0.3345471806,0.2816150459
1p46G-gemma-orion-ar-29BT,6,12500,26.2144,0.27827648110000003,0.3070017953,0.3339317774,0.3016157989,0.27095595,0.3042550927,0.3370886239,0.28713710340000004
1p46G-gemma-orion-ar-29BT,6,13000,27.262976,0.2639138241,0.29622980250000003,0.3321364452,0.3321364452,0.2560258183,0.2859916276,0.32708673320000003,0.305106186
1p46G-gemma-orion-ar-29BT,6,13500,28.311552,0.2746858169,0.29263913820000004,0.3195691203,0.3141831239,0.2648830998,0.2874060692,0.3190458915,0.2885339376
1p46G-gemma-orion-ar-29BT,6,14000,29.360128,0.26211849190000003,0.2980251346,0.3321364452,0.3052064632,0.2615992701,0.2860633866,0.3311892973,0.2853176817
1p46G-gemma-orion-ar-29BT,6,1500,3.145728,0.2531418312,0.2728904847,0.3016157989,0.2908438061,0.2613262766,0.272826766,0.3103566779,0.28225418080000003
1p46G-gemma-orion-ar-29BT,6,2000,4.194304,0.2746858169,0.2872531418,0.315978456,0.29443447040000004,0.2678244715,0.28134434680000003,0.3133975196,0.2867381992
