runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.00035523980000000003,0.0
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.0075246065,0.0139975567
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.0159625878,0.038806293000000006
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.016381599400000002,0.035488839
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.015404482700000001,0.0371195771
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.0153092396,0.0353011139
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.0159559048,0.0343131661
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.014953999800000001,0.033799452800000004
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.014858756800000001,0.0366173953
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.016679707800000002,0.0403803952
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.0160511479,0.0371704838
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.008761719900000001,0.0111895181
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.0104112044,0.0038230976000000003
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.008292217400000001,0.017121716000000002
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.0128407516,0.0199566075
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.010671273700000001,0.0252401966
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.0133740258,0.0287474854
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.0125617353,0.025780064800000002
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.0116483178,0.0063268582
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.012409360900000001,0.0342124518
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.013710246,0.030410883200000002
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.0125997745,0.0331145
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.0168759328,0.0324898042
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.014940719000000002,0.0371731889
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.0140845054,0.032578975100000004
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.015377878400000001,0.0342362333
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.014883545100000001,0.0345720984
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.0107093129,0.0314474522
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.015867344800000002,0.0337267744
baseline-ar-,42,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.00035523980000000003,0.0
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.008761719900000001,0.0031769978000000003
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.0111788154,0.0180900565
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.0115911865,0.0166026827
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.0119464263,0.015061541500000001
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.0118892949,0.0220770629
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.0127140372,0.0180605024
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.0114769238,0.0177984897
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.0114769238,0.0168232903
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.0119464263,0.015977663
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.0118892949,0.0162692981
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.0075246065,0.016423415400000002
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.0062874931,0.009081196100000001
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.0062874931,0.009987850900000001
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.0062874931,0.0121778714
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.005875122,0.011399853500000001
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.0108235756,0.012956303
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.0062874931,0.0167010114
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.0112359467,0.0021905949
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.0108235756,0.0171523194
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.0112359467,0.011216323700000001
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.009174091,0.0156614279
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.0094721995,0.020333728500000002
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.0119464263,0.0183564952
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.0071122354,0.0189906139
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.010766444200000001,0.0187238264
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.009174091,0.0125487963
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.013297802400000001,0.0134799197
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.012060689000000001,0.012080714000000001
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.00035523980000000003,0.0
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.013297802400000001,0.0021144438
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.0130817287,0.025665654700000002
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.018905488,0.0209025373
1p46G-gemma-orion-ar-29BT,6,11000,23.068672,0.0152131674,0.024951506300000002
1p46G-gemma-orion-ar-29BT,6,11500,24.117248,0.0166026552,0.0252016517
1p46G-gemma-orion-ar-29BT,6,12000,25.165824,0.0175797719,0.0291097048
1p46G-gemma-orion-ar-29BT,6,12500,26.2144,0.0158921757,0.0252755053
