runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.23900000000000002,0.254,0.275,0.265
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.259,0.271,0.273,0.311
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.29,0.31,0.34,0.315
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.293,0.316,0.341,0.307
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.29,0.318,0.341,0.313
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.292,0.318,0.341,0.302
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.293,0.314,0.332,0.306
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.291,0.311,0.341,0.308
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.299,0.308,0.336,0.306
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.297,0.313,0.334,0.306
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.295,0.312,0.339,0.302
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.262,0.273,0.277,0.316
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.263,0.279,0.28800000000000003,0.28500000000000003
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.269,0.29,0.299,0.291
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.271,0.277,0.299,0.306
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.267,0.28800000000000003,0.302,0.305
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.275,0.294,0.308,0.299
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.276,0.28800000000000003,0.302,0.304
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.248,0.266,0.269,0.273
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.273,0.297,0.314,0.292
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.273,0.293,0.32,0.306
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.274,0.291,0.316,0.306
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.275,0.303,0.328,0.309
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.28,0.306,0.327,0.314
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.281,0.307,0.319,0.309
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.28400000000000003,0.31,0.319,0.313
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.279,0.314,0.329,0.316
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.278,0.312,0.329,0.312
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.28,0.302,0.327,0.304
baseline-ar-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.23900000000000002,0.254,0.275,0.265
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.261,0.271,0.28300000000000003,0.293
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.271,0.296,0.317,0.303
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.277,0.294,0.322,0.289
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.279,0.296,0.324,0.294
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.278,0.297,0.323,0.29
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.276,0.297,0.32,0.295
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.276,0.292,0.322,0.292
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.278,0.297,0.327,0.308
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.28400000000000003,0.289,0.328,0.298
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.28,0.292,0.324,0.304
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.259,0.263,0.28500000000000003,0.292
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.261,0.277,0.276,0.301
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.266,0.274,0.28500000000000003,0.31
