runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.2272598321,0.2530728626,0.2450323408,0.2489445713
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.2381659847,0.25314636630000004,0.2528347184,0.26401276
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.24459606020000002,0.2514255901,0.2514481569,0.27954916080000003
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.2426540386,0.2514259585,0.25240731180000003,0.27869689340000003
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.2433615862,0.2516238395,0.2562803974,0.2788389953
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.2424824435,0.2499547412,0.2557732957,0.2744428789
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.2427564264,0.2487012657,0.2549654263,0.2785168523
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.242382698,0.24826140770000002,0.2538410863,0.27482168100000004
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.2442582922,0.2475461051,0.2532862711,0.2791106591
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.24279243920000002,0.2519377997,0.2550890594,0.2803161493
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.2452991991,0.2501659027,0.25498796,0.2827599011
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.23753843230000002,0.2503027728,0.24505524,0.2686275221
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.23485455560000001,0.2527265413,0.24889530910000002,0.267046642
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.2342347742,0.2523399323,0.2475645823,0.2698208328
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.2356448471,0.247839471,0.2458569585,0.264285796
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.24052820360000002,0.2537126101,0.24850619440000002,0.2745834293
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.2393565712,0.2528356024,0.2481156485,0.2643335565
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.2449422782,0.2551681166,0.2531145899,0.2740478423
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.2338049982,0.2506496199,0.2537261249,0.2579843285
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.2408196504,0.255023596,0.2513216777,0.2737057587
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.2387106122,0.25256756410000003,0.24672174770000002,0.277972007
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.24006968350000002,0.2519229248,0.2526893612,0.27486095850000003
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.2416295292,0.2520132838,0.2498851486,0.28055740030000004
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.2433291253,0.25135355200000004,0.2525028285,0.27570691540000003
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.2410002785,0.2504554817,0.25110795010000003,0.2754957008
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.2424739499,0.2527046563,0.2546557855,0.2774405057
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.243383448,0.2495386107,0.255265933,0.2788848078
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.2422405478,0.24856444500000002,0.2518168498,0.2731399033
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.2459052534,0.2521699615,0.25419791950000004,0.2752726269
baseline-ar-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.2272598321,0.2530728626,0.2450323408,0.2489270275
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.2315384361,0.24608594900000003,0.2487848739,0.26371808280000003
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.23910360220000001,0.2504853419,0.25054057620000003,0.2691829407
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.23745017870000001,0.24782501280000002,0.2530065621,0.26446854870000003
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.2377226282,0.25107699370000003,0.24883951040000002,0.2678164375
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.23701479500000003,0.2486332836,0.2489697018,0.2648748386
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.2402173759,0.25161174940000003,0.2484170114,0.26072534880000003
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.2369037775,0.253197132,0.2504156365,0.26718056030000004
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.2387222208,0.2495774019,0.2486986126,0.2658107664
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.23620428200000002,0.24888319220000002,0.2492694285,0.26326270100000004
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.2386724849,0.2485466345,0.24755347460000002,0.2649438564
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.2350613805,0.24697831,0.2507729153,0.265536779
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.233575512,0.251014841,0.2503833209,0.2653420496
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.2339196541,0.24672883610000002,0.2510459946,0.2642598964
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.238222645,0.24705623070000002,0.24564202770000002,0.262256769
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.2309860738,0.2472043605,0.2478434022,0.26276422590000004
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.2370130672,0.2516851539,0.2501099153,0.2645067963
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.2412690362,0.2528275949,0.2487075604,0.2693542264
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.23312614820000002,0.2538369033,0.2543912835,0.257118485
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.2370479702,0.24716235020000002,0.248960529,0.26614868610000003
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.2365811518,0.25136780810000003,0.24711288620000002,0.2719444532
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.2397295693,0.2491460923,0.24979853910000002,0.2624193977
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.23820382550000002,0.250997503,0.2535542038,0.2639950453
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.2315279657,0.2461106493,0.2474950494,0.26253391870000004
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.2418765052,0.2516340309,0.2507290498,0.2708476299
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.2346235643,0.2456367379,0.2531649219,0.2670072867
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.2376090183,0.2496842521,0.25112538100000004,0.2603419526
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.2356422997,0.24865039930000002,0.2466089093,0.2676643597
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.23984355610000002,0.2513527567,0.25082196230000003,0.2607770396
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.2273381529,0.25305531870000003,0.2451751979,0.24875158890000001
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.2347356166,0.2474037796,0.2522465417,0.26010012800000004
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.242614349,0.2504334793,0.2514269849,0.2704540212
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.2405408622,0.2538482381,0.2503148706,0.26813109020000003
