runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.4671389556,0.5034939116,0.482606419,0.4862707653
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.4674449167,0.45575268490000004,0.44632744,0.45196718620000004
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.4367132795,0.43380048870000004,0.4202499025,0.4375880408
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.4395429064,0.4334555124,0.4206380008,0.4387954578
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.44141666150000003,0.433658802,0.417761145,0.43714758000000004
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.4386619848,0.4373672971,0.4185373416,0.43340315
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.4381178258,0.43377892770000004,0.4180506787,0.434441159
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.44092075810000003,0.43782007840000003,0.42395839750000003,0.4377636091
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.4428366086,0.4359997125,0.4237982299,0.4439177396
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.4379453377,0.4367420276,0.4220394669,0.4387430953
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.4415768291,0.43631080720000004,0.4212848313,0.44575042610000004
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.45241996760000003,0.4417411035,0.4323466601,0.4395716544
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.4502494918,0.44185506890000004,0.4369935728,0.444921867
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.448785396,0.44792295530000004,0.4362204563,0.4367379207
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.44633462700000004,0.44237869360000004,0.4317634859,0.4422791022
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.45276699730000003,0.4364494137,0.4200527732,0.44267644100000003
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.4544795581,0.440459763,0.42704162300000004,0.4322932709
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.4536848806,0.4413992074,0.4345140557,0.4414854514
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.4648658083,0.4561069016,0.43916507530000004,0.44417647180000003
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.45178751100000003,0.4429978028,0.4283938069,0.4360325674
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.44402759810000003,0.4396589252,0.4226154541,0.42699850100000003
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.44232941130000003,0.4364309329,0.4289451529,0.43029117640000003
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.4380213146,0.4316782685,0.42325920450000004,0.43764348340000003
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.4398180661,0.4310067969,0.4182354874,0.4288198936
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.4373508696,0.440204111,0.42776237710000004,0.4294071747
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.4357368734,0.43072034330000003,0.4196123124,0.4293732931
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.4375808538,0.4361290786,0.4253290622,0.4347327461
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.4399689932,0.4309297932,0.4294872585,0.4284122877
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.4365767264,0.4355900532,0.41740384810000003,0.4339134274
baseline-ar-,42,0,0.0,0.4497564417,0.4497564417,0.4497564417,0.4497564417
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.4671389556,0.5030626912,0.482606419,0.4862707653
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.459738393,0.4581336372,0.4363375018,0.43755210580000004
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.4422883427,0.4344165178,0.42251380930000004,0.44842501900000004
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.4430861003,0.4356362554,0.42477155590000004,0.44617035260000004
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.44397010210000004,0.435925789,0.4286710199,0.45169921350000003
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.4437544919,0.43354483660000004,0.4246853118,0.44772274580000004
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.44146902400000004,0.4306525801,0.4220610279,0.44186738950000004
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.4468900799,0.4344781207,0.42525205860000004,0.45320848480000003
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.4395716544,0.4339082938,0.42679521140000004,0.45066428470000003
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.4410686051,0.43372348510000003,0.4263732315,0.4480923633
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.4425347543,0.43475841390000003,0.42403232100000005,0.44744245260000004
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.45427113490000004,0.4541048071,0.44032423660000003,0.43729953390000004
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.4468828929,0.442979322,0.43230559150000003,0.45334606460000004
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.4459465287,0.4425018994,0.4273896795,0.44824842400000003
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.453615064,0.4411835972,0.42376434830000004,0.45102363500000003
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.4424290026,0.4321710918,0.4143421836,0.44054292700000003
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.44194028620000003,0.42194192900000005,0.4128113514,0.45629171030000004
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.4438068544,0.4376075484,0.4238721534,0.44092486500000005
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.46471180110000004,0.47357029920000004,0.4487433007,0.4407862584
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.43990431020000004,0.4373549765,0.4266966467,0.4614653278
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.4486057209,0.44141152800000005,0.42629930800000004,0.4638678412
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.443375634,0.4315704635,0.41723136,0.4518840223
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.4461477648,0.4336742028,0.4258157252,0.4627877369
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.4423099037,0.43608903670000004,0.42903139690000003,0.45777326020000003
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.4452945646,0.4350849093,0.423671944,0.4611460194
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.4408314339,0.43608903670000004,0.42423253040000003,0.4567403848
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.44630074540000003,0.43881496540000003,0.42954578120000003,0.46007720900000004
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.44169387460000004,0.4382328179,0.42277254150000004,0.4482525309
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.43919587670000004,0.43732725520000004,0.4212940717,0.4483285078
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.4671389556,0.5034939116,0.482606419,0.4862707653
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.46107517610000004,0.4559806156,0.435706072,0.4566520873
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.4517895645,0.44260970450000003,0.4282962689,0.4419905953
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.4517536294,0.4354391261,0.4256740385,0.4359011479
1p46G-gemma-orion-ar-29BT,6,11000,23.068672,0.45153801930000004,0.4328179223,0.42623154480000003,0.4451877862
1p46G-gemma-orion-ar-29BT,6,11500,24.117248,0.44800201240000004,0.434188587,0.4278393807,0.439774944
1p46G-gemma-orion-ar-29BT,6,12000,25.165824,0.4499948664,0.4344442391,0.4314831927,0.4441928992
1p46G-gemma-orion-ar-29BT,6,12500,26.2144,0.44975769520000003,0.433658802,0.434264564,0.4373672971
1p46G-gemma-orion-ar-29BT,6,13000,27.262976,0.4494127189,0.431856917,0.42957350250000004,0.4436846753
1p46G-gemma-orion-ar-29BT,6,13500,28.311552,0.45329370210000003,0.43553461060000004,0.42983223470000004,0.4407862584
1p46G-gemma-orion-ar-29BT,6,14000,29.360128,0.44706256800000005,0.4371393663,0.4283876466,0.4318692376
1p46G-gemma-orion-ar-29BT,6,1500,3.145728,0.455460071,0.45021458350000004,0.4333939095,0.454674634
1p46G-gemma-orion-ar-29BT,6,2000,4.194304,0.44813651200000004,0.43934167030000004,0.4214367851,0.4432934968
1p46G-gemma-orion-ar-29BT,6,2500,5.24288,0.4497628288,0.44391260600000004,0.4256771186,0.4522618534
1p46G-gemma-orion-ar-29BT,6,3000,6.291456,0.45471467590000003,0.44417133820000004,0.4355089427,0.4519415183
1p46G-gemma-orion-ar-29BT,6,3500,7.340032,0.4487515144,0.44060452990000004,0.4252284441,0.4536766669
1p46G-gemma-orion-ar-29BT,6,4000,8.388608,0.4483829237,0.4349124212,0.4216328877,0.4458684983
1p46G-gemma-orion-ar-29BT,6,4500,9.437184,0.44955440560000004,0.44031191610000003,0.43199860370000004,0.45612435570000004
1p46G-gemma-orion-ar-29BT,6,500,1.048576,0.4608626461,0.477917411,0.4574180168,0.45700630400000003
1p46G-gemma-orion-ar-29BT,6,5000,10.48576,0.4489003881,0.4467247787,0.4297706318,0.4469486026
1p46G-gemma-orion-ar-29BT,6,5500,11.534336,0.4573810551,0.44796607730000004,0.4346957843,0.4523275632
1p46G-gemma-orion-ar-29BT,6,6000,12.582912,0.44811495100000004,0.4407739379,0.4316895624,0.45255446720000003
1p46G-gemma-orion-ar-29BT,6,6500,13.631488,0.44457586400000004,0.4319339206,0.4254029857,0.4439680486
1p46G-gemma-orion-ar-29BT,6,7000,14.680064,0.4482966796,0.44336742030000004,0.4331988337,0.44346803840000004
1p46G-gemma-orion-ar-29BT,6,7500,15.72864,0.4481549929,0.4406260909,0.43335900120000004,0.4446446539
1p46G-gemma-orion-ar-29BT,6,8000,16.777216,0.4500092404,0.43804492910000004,0.42375510790000004,0.437259492
1p46G-gemma-orion-ar-29BT,6,8500,17.825792,0.45268280660000004,0.4422031253,0.4316248794,0.4474855747
1p46G-gemma-orion-ar-29BT,6,9000,18.874368,0.44783157770000004,0.43405922090000004,0.42419248860000003,0.4412883221
1p46G-gemma-orion-ar-29BT,6,9500,19.922944,0.4472042547,0.4331351773,0.42171605170000004,0.4325869114
