runname,seed,steps,tokens,prefix_match,f1,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.0,3.5714300000000005e-05,0.1466666667,0.1133333333,0.16,0.14
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.004,0.06449900780000001,0.5066666667,0.52,0.5133333333,0.45333333330000003
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.062,0.15797752210000002,0.56,0.56,0.6066666667,0.4666666667
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.062,0.1655452548,0.5533333333,0.5333333333,0.6000000000000001,0.45333333330000003
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.066,0.1605208353,0.5866666667,0.54,0.6133333333000001,0.48666666670000003
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.066,0.1613170246,0.5933333333,0.5533333333,0.62,0.46
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.068,0.150285667,0.56,0.5533333333,0.62,0.48
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.069,0.15929752760000002,0.5533333333,0.5466666667,0.62,0.4666666667
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.065,0.160018286,0.5466666667,0.5466666667,0.6066666667,0.4733333333
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.067,0.15451392320000001,0.5733333333,0.56,0.6266666667,0.4733333333
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.068,0.16637156050000002,0.5666666667,0.5533333333,0.6000000000000001,0.48666666670000003
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.004,0.0662475968,0.5266666667000001,0.5466666667,0.5333333333,0.48666666670000003
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.018000000000000002,0.07636317890000001,0.54,0.54,0.5533333333,0.4933333333
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.022,0.0925202536,0.5266666667000001,0.52,0.54,0.48
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.026000000000000002,0.1155533963,0.5666666667,0.5466666667,0.62,0.5066666667
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.032,0.11000832960000001,0.5533333333,0.5733333333,0.5866666667,0.5
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.04,0.1075822812,0.5733333333,0.5266666667000001,0.6000000000000001,0.4733333333
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.041,0.12832922700000002,0.5466666667,0.52,0.6066666667,0.48666666670000003
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.002,0.0238409942,0.39333333330000003,0.3866666667,0.4733333333,0.4
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.035,0.1366178657,0.5733333333,0.5666666667,0.62,0.4666666667
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.041,0.1291166577,0.56,0.54,0.6133333333000001,0.48
