runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.5679144385,0.4310160428,0.5668449198000001,0.5743315508
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.48449197860000004,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.4320855615,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.5101604278,0.4310160428,0.4267379679,0.4320855615
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.4427807487,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.5347593583,0.4320855615,0.4310160428,0.4320855615
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.5529411765000001,0.4320855615,0.4310160428,0.4320855615
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.5475935829,0.4320855615,0.4299465241,0.4320855615
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.4556149733,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.4438502674,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.43315508020000004,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.5625668449,0.43315508020000004,0.4320855615,0.4320855615
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.5625668449,0.43636363640000003,0.4288770053,0.43315508020000004
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.5700534759,0.4320855615,0.43315508020000004,0.4320855615
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.5679144385,0.4288770053,0.4438502674,0.43315508020000004
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.5679144385,0.4310160428,0.4427807487,0.43422459890000004
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.5700534759,0.4385026738,0.464171123,0.4310160428
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.5689839572000001,0.4310160428,0.43315508020000004,0.43315508020000004
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.5679144385,0.4320855615,0.43529411760000003,0.5668449198000001
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.5657754011,0.43529411760000003,0.43636363640000003,0.4320855615
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.4524064171,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.5251336898,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.5326203209,0.4320855615,0.4310160428,0.4320855615
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.5016042781,0.4320855615,0.4310160428,0.4320855615
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.5636363636,0.4299465241,0.43422459890000004,0.4320855615
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.5219251337,0.4320855615,0.4310160428,0.4320855615
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.5604278075,0.43422459890000004,0.4320855615,0.4320855615
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.49625668450000004,0.4320855615,0.4256684492,0.4320855615
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.4673796791,0.4320855615,0.4320855615,0.4320855615
baseline-ar-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.5679144385,0.4310160428,0.5668449198000001,0.5732620321
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.4181818182,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.45668449200000005,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.4919786096,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.39679144390000004,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.4427807487,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.4577540107,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.43529411760000003,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.40748663100000004,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.4684491979,0.4320855615,0.4320855615,0.4310160428
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.43315508020000004,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.5165775401,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.5508021390000001,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.4374331551,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.42139037430000004,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.5518716578,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.4438502674,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.4192513369,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.5679144385,0.4320855615,0.4320855615,0.43529411760000003
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.4449197861,0.4320855615,0.4320855615,0.43529411760000003
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.4417112299,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.4673796791,0.4320855615,0.43315508020000004,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.528342246,0.4320855615,0.4320855615,0.4299465241
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.4545454545,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.4374331551,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.46096256680000003,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.4021390374,0.4320855615,0.4320855615,0.4310160428
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.4192513369,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.4577540107,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.5679144385,0.4310160428,0.5668449198000001,0.5732620321
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.5647058824,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.5711229947,0.43529411760000003,0.43636363640000003,0.4310160428
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.5711229947,0.4385026738,0.43422459890000004,0.4320855615
1p46G-gemma-orion-ar-29BT,6,11000,23.068672,0.5689839572000001,0.43529411760000003,0.44598930480000004,0.4320855615
1p46G-gemma-orion-ar-29BT,6,11500,24.117248,0.5721925134,0.43422459890000004,0.4374331551,0.4320855615
1p46G-gemma-orion-ar-29BT,6,12000,25.165824,0.5721925134,0.43636363640000003,0.43636363640000003,0.4320855615
1p46G-gemma-orion-ar-29BT,6,12500,26.2144,0.5711229947,0.43636363640000003,0.4417112299,0.4320855615
1p46G-gemma-orion-ar-29BT,6,13000,27.262976,0.5711229947,0.43315508020000004,0.43529411760000003,0.4320855615
1p46G-gemma-orion-ar-29BT,6,13500,28.311552,0.5732620321,0.4320855615,0.4395721925,0.4320855615
1p46G-gemma-orion-ar-29BT,6,14000,29.360128,0.5711229947,0.43529411760000003,0.4438502674,0.4320855615
1p46G-gemma-orion-ar-29BT,6,1500,3.145728,0.5540106952,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-orion-ar-29BT,6,2000,4.194304,0.4256684492,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-orion-ar-29BT,6,2500,5.24288,0.464171123,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-orion-ar-29BT,6,3000,6.291456,0.4299465241,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-orion-ar-29BT,6,3500,7.340032,0.4994652406,0.43422459890000004,0.43315508020000004,0.4320855615
1p46G-gemma-orion-ar-29BT,6,4000,8.388608,0.5689839572000001,0.4267379679,0.4299465241,0.4320855615
1p46G-gemma-orion-ar-29BT,6,4500,9.437184,0.5689839572000001,0.4288770053,0.4245989305,0.4310160428
1p46G-gemma-orion-ar-29BT,6,500,1.048576,0.44598930480000004,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-orion-ar-29BT,6,5000,10.48576,0.5679144385,0.43315508020000004,0.43315508020000004,0.4288770053
1p46G-gemma-orion-ar-29BT,6,5500,11.534336,0.5604278075,0.4299465241,0.4320855615,0.4320855615
1p46G-gemma-orion-ar-29BT,6,6000,12.582912,0.5689839572000001,0.4288770053,0.4267379679,0.4320855615
1p46G-gemma-orion-ar-29BT,6,6500,13.631488,0.5593582888,0.4299465241,0.4256684492,0.4320855615
1p46G-gemma-orion-ar-29BT,6,7000,14.680064,0.5465240642,0.4288770053,0.4320855615,0.4320855615
1p46G-gemma-orion-ar-29BT,6,7500,15.72864,0.5689839572000001,0.4267379679,0.4374331551,0.4299465241
1p46G-gemma-orion-ar-29BT,6,8000,16.777216,0.5657754011,0.4320855615,0.4385026738,0.4320855615
1p46G-gemma-orion-ar-29BT,6,8500,17.825792,0.5647058824,0.43422459890000004,0.4310160428,0.4320855615
1p46G-gemma-orion-ar-29BT,6,9000,18.874368,0.5711229947,0.4374331551,0.43529411760000003,0.43315508020000004
1p46G-gemma-orion-ar-29BT,6,9500,19.922944,0.5700534759,0.43529411760000003,0.4310160428,0.43529411760000003
1p46G-gemma-commoncrawl-ar-29BT,3,0,0.0,0.5679144385,0.4320855615,0.528342246,0.45989304810000003
1p46G-gemma-commoncrawl-ar-29BT,3,1000,2.097152,0.5679144385,0.43315508020000004,0.43315508020000004,0.5433155080000001
1p46G-gemma-commoncrawl-ar-29BT,3,10000,20.97152,0.4556149733,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,3,10500,22.020096,0.4577540107,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,3,11000,23.068672,0.5508021390000001,0.4320855615,0.4320855615,0.4267379679
1p46G-gemma-commoncrawl-ar-29BT,3,11500,24.117248,0.4834224599,0.4320855615,0.4320855615,0.4299465241
1p46G-gemma-commoncrawl-ar-29BT,3,12000,25.165824,0.5176470588000001,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,3,12500,26.2144,0.5486631016,0.4320855615,0.4320855615,0.4299465241
1p46G-gemma-commoncrawl-ar-29BT,3,13000,27.262976,0.5304812834,0.4320855615,0.4320855615,0.4299465241
1p46G-gemma-commoncrawl-ar-29BT,3,13500,28.311552,0.5219251337,0.4320855615,0.4320855615,0.4310160428
1p46G-gemma-commoncrawl-ar-29BT,3,14000,29.360128,0.5133689840000001,0.4320855615,0.4320855615,0.4310160428
1p46G-gemma-commoncrawl-ar-29BT,3,1500,3.145728,0.5679144385,0.4320855615,0.43529411760000003,0.5390374332
1p46G-gemma-commoncrawl-ar-29BT,3,2000,4.194304,0.5700534759,0.4320855615,0.43315508020000004,0.4385026738
1p46G-gemma-commoncrawl-ar-29BT,3,2500,5.24288,0.5679144385,0.4320855615,0.43315508020000004,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,3,3000,6.291456,0.5657754011,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,3,3500,7.340032,0.5582887701,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,3,4000,8.388608,0.45882352940000004,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,3,4500,9.437184,0.5069518717,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,3,500,1.048576,0.5679144385,0.4320855615,0.4310160428,0.5668449198000001
1p46G-gemma-commoncrawl-ar-29BT,3,5000,10.48576,0.5679144385,0.4320855615,0.43315508020000004,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,3,5500,11.534336,0.5550802139000001,0.4320855615,0.4320855615,0.4288770053
1p46G-gemma-commoncrawl-ar-29BT,3,6000,12.582912,0.4320855615,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,3,6500,13.631488,0.45882352940000004,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,3,7000,14.680064,0.5604278075,0.4320855615,0.4320855615,0.4299465241
1p46G-gemma-commoncrawl-ar-29BT,3,7500,15.72864,0.4673796791,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-commoncrawl-ar-29BT,3,8000,16.777216,0.5379679144,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,3,8500,17.825792,0.48449197860000004,0.4320855615,0.4320855615,0.4310160428
1p46G-gemma-commoncrawl-ar-29BT,3,9000,18.874368,0.5240641711,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-commoncrawl-ar-29BT,3,9500,19.922944,0.5101604278,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-aquila-ar-29BT,6,0,0.0,0.5679144385,0.4310160428,0.5668449198000001,0.5732620321
1p46G-gemma-aquila-ar-29BT,6,1000,2.097152,0.5679144385,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-aquila-ar-29BT,6,10000,20.97152,0.5636363636,0.4320855615,0.4320855615,0.4310160428
1p46G-gemma-aquila-ar-29BT,6,10500,22.020096,0.5689839572000001,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-aquila-ar-29BT,6,11000,23.068672,0.5636363636,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-aquila-ar-29BT,6,11500,24.117248,0.5647058824,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-aquila-ar-29BT,6,12000,25.165824,0.5625668449,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-aquila-ar-29BT,6,12500,26.2144,0.5636363636,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-aquila-ar-29BT,6,13000,27.262976,0.5657754011,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-aquila-ar-29BT,6,13500,28.311552,0.5657754011,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-aquila-ar-29BT,6,14000,29.360128,0.5636363636,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-aquila-ar-29BT,6,1500,3.145728,0.5582887701,0.4320855615,0.4320855615,0.4320855615
1p46G-gemma-aquila-ar-29BT,6,2000,4.194304,0.5721925134,0.4320855615,0.43315508020000004,0.43315508020000004
1p46G-gemma-aquila-ar-29BT,6,2500,5.24288,0.5679144385,0.4320855615,0.4449197861,0.5401069519
1p46G-gemma-aquila-ar-29BT,6,3000,6.291456,0.5700534759,0.4320855615,0.43315508020000004,0.4395721925
1p46G-gemma-aquila-ar-29BT,6,3500,7.340032,0.5689839572000001,0.4320855615,0.4320855615,0.44705882350000004
1p46G-gemma-aquila-ar-29BT,6,4000,8.388608,0.5636363636,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-aquila-ar-29BT,6,4500,9.437184,0.5668449198000001,0.4320855615,0.4320855615,0.43315508020000004
1p46G-gemma-aquila-ar-29BT,6,500,1.048576,0.5251336898,0.4320855615,0.4320855615,0.4823529412
1p46G-gemma-aquila-ar-29BT,6,5000,10.48576,0.5636363636,0.4320855615,0.4320855615,0.42245989300000003
1p46G-gemma-aquila-ar-29BT,6,5500,11.534336,0.5668449198000001,0.4320855615,0.4320855615,0.4278074866
1p46G-gemma-aquila-ar-29BT,6,6000,12.582912,0.5668449198000001,0.4320855615,0.4320855615,0.42352941180000003
1p46G-gemma-aquila-ar-29BT,6,6500,13.631488,0.5668449198000001,0.4320855615,0.4320855615,0.4299465241
1p46G-gemma-aquila-ar-29BT,6,7000,14.680064,0.5657754011,0.4320855615,0.4320855615,0.4278074866
