runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.0010869565,0.12186548770000001
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.1304347826,0.33742670820000004
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.1217391304,0.34733086360000004
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.1315217391,0.3547709006
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.13369565220000001,0.34001611400000004
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.14565217390000001,0.33383609340000003
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.13586956520000001,0.3276052748
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.1489130435,0.3461566592
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.1260869565,0.3339258429
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.1347826087,0.3342607147
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.0086956522,0.16607783210000002
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.0358695652,0.1949252111
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.0619565217,0.2152281651
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.0630434783,0.2380130063
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.0913043478,0.248640518
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.0902173913,0.2373070662
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.0956521739,0.308322829
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.0032608696,0.0332594873
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.1010869565,0.3136249297
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.0858695652,0.3123503187
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.11847826090000001,0.3374381234
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.1315217391,0.3118023719
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.125,0.30429901670000004
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.1239130435,0.34074505920000003
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.1315217391,0.3383038129
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.1206521739,0.3498634379
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.1206521739,0.3299840396
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.1260869565,0.3385572154
baseline-ar-,42,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.0065217391,0.0683829296
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.0695652174,0.276433079
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.0630434783,0.26387362940000003
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.0695652174,0.2801808301
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.0608695652,0.2612054893
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.0641304348,0.2794322601
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.0597826087,0.27500323200000004
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.057608695700000004,0.2675766508
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.057608695700000004,0.2697332456
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.0630434783,0.2780217528
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.0032608696,0.10056282180000001
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.002173913,0.12357497290000001
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.0086956522,0.1467275203
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.0239130435,0.1767994681
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.0184782609,0.2228775872
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.027173913,0.22240258300000001
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.028260869600000002,0.2292036821
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.0,0.025607843800000002
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.0554347826,0.2354201183
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.0673913043,0.2332869299
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.0434782609,0.224591329
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.0652173913,0.2649574739
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.0652173913,0.2708549138
