runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.158,0.202,0.193,0.193
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.19,0.229,0.225,0.242
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.225,0.252,0.256,0.318
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.232,0.249,0.259,0.32
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.233,0.255,0.265,0.326
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.23700000000000002,0.254,0.266,0.331
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.24,0.256,0.264,0.324
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.234,0.245,0.26,0.331
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.23,0.253,0.258,0.322
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.23,0.256,0.259,0.32
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.23700000000000002,0.251,0.255,0.328
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.182,0.228,0.221,0.253
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.203,0.23,0.245,0.268
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.192,0.234,0.228,0.264
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.20400000000000001,0.23800000000000002,0.244,0.28200000000000003
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.216,0.23900000000000002,0.256,0.299
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.216,0.24,0.252,0.304
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.213,0.232,0.254,0.28700000000000003
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.156,0.213,0.195,0.209
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.225,0.242,0.253,0.315
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.213,0.248,0.257,0.297
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.20700000000000002,0.244,0.255,0.303
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.223,0.23800000000000002,0.262,0.319
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.227,0.247,0.266,0.325
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.226,0.241,0.261,0.305
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.233,0.244,0.263,0.329
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.224,0.251,0.262,0.312
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.222,0.252,0.258,0.315
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.23600000000000002,0.255,0.26,0.322
baseline-ar-,42,0,0.0,0.2,0.2,0.2,0.2
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.158,0.202,0.193,0.193
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.17500000000000002,0.214,0.225,0.226
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.20600000000000002,0.248,0.245,0.289
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.21,0.23800000000000002,0.26,0.293
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.213,0.241,0.255,0.28500000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.201,0.23500000000000001,0.255,0.278
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.216,0.233,0.247,0.274
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.20800000000000002,0.23500000000000001,0.245,0.292
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.209,0.24,0.248,0.277
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.214,0.23900000000000002,0.252,0.289
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.212,0.24,0.241,0.293
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.194,0.22,0.228,0.23500000000000001
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.179,0.217,0.23,0.246
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.198,0.225,0.228,0.23900000000000002
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.2,0.229,0.244,0.23700000000000002
1p46G-gemma-commoncrawl-ar-29BT,6,3500,7.340032,0.201,0.23600000000000002,0.23700000000000002,0.255
1p46G-gemma-commoncrawl-ar-29BT,6,4000,8.388608,0.217,0.23800000000000002,0.23600000000000002,0.25
1p46G-gemma-commoncrawl-ar-29BT,6,4500,9.437184,0.201,0.215,0.241,0.246
1p46G-gemma-commoncrawl-ar-29BT,6,500,1.048576,0.17400000000000002,0.197,0.189,0.23600000000000002
1p46G-gemma-commoncrawl-ar-29BT,6,5000,10.48576,0.203,0.221,0.227,0.253
1p46G-gemma-commoncrawl-ar-29BT,6,5500,11.534336,0.214,0.23900000000000002,0.241,0.27
1p46G-gemma-commoncrawl-ar-29BT,6,6000,12.582912,0.215,0.23700000000000002,0.23800000000000002,0.267
1p46G-gemma-commoncrawl-ar-29BT,6,6500,13.631488,0.20500000000000002,0.23500000000000001,0.245,0.271
1p46G-gemma-commoncrawl-ar-29BT,6,7000,14.680064,0.214,0.232,0.247,0.268
1p46G-gemma-commoncrawl-ar-29BT,6,7500,15.72864,0.196,0.23700000000000002,0.24,0.289
1p46G-gemma-commoncrawl-ar-29BT,6,8000,16.777216,0.203,0.229,0.245,0.272
1p46G-gemma-commoncrawl-ar-29BT,6,8500,17.825792,0.217,0.233,0.242,0.255
1p46G-gemma-commoncrawl-ar-29BT,6,9000,18.874368,0.199,0.23800000000000002,0.247,0.28500000000000003
1p46G-gemma-commoncrawl-ar-29BT,6,9500,19.922944,0.209,0.233,0.251,0.274
1p46G-gemma-orion-ar-29BT,6,0,0.0,0.158,0.202,0.193,0.193
1p46G-gemma-orion-ar-29BT,6,1000,2.097152,0.17300000000000001,0.21,0.20700000000000002,0.213
1p46G-gemma-orion-ar-29BT,6,10000,20.97152,0.216,0.247,0.26,0.296
1p46G-gemma-orion-ar-29BT,6,10500,22.020096,0.219,0.241,0.26,0.273
1p46G-gemma-orion-ar-29BT,6,11000,23.068672,0.213,0.246,0.26,0.294
1p46G-gemma-orion-ar-29BT,6,11500,24.117248,0.214,0.23600000000000002,0.253,0.289
1p46G-gemma-orion-ar-29BT,6,12000,25.165824,0.221,0.25,0.268,0.301
1p46G-gemma-orion-ar-29BT,6,12500,26.2144,0.213,0.248,0.264,0.293
1p46G-gemma-orion-ar-29BT,6,13000,27.262976,0.225,0.244,0.273,0.298
1p46G-gemma-orion-ar-29BT,6,13500,28.311552,0.222,0.253,0.267,0.28600000000000003
1p46G-gemma-orion-ar-29BT,6,14000,29.360128,0.209,0.247,0.266,0.30000000000000004
1p46G-gemma-orion-ar-29BT,6,1500,3.145728,0.179,0.222,0.20400000000000001,0.219
1p46G-gemma-orion-ar-29BT,6,2000,4.194304,0.18,0.218,0.227,0.227
1p46G-gemma-orion-ar-29BT,6,2500,5.24288,0.198,0.233,0.23800000000000002,0.23800000000000002
1p46G-gemma-orion-ar-29BT,6,3000,6.291456,0.19,0.216,0.23,0.249
1p46G-gemma-orion-ar-29BT,6,3500,7.340032,0.185,0.22,0.227,0.253
1p46G-gemma-orion-ar-29BT,6,4000,8.388608,0.212,0.233,0.23600000000000002,0.259
