runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.52,0.47300000000000003,0.52,0.504
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.524,0.491,0.524,0.517
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.648,0.584,0.648,0.54
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.628,0.589,0.628,0.538
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.638,0.605,0.638,0.529
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.643,0.607,0.643,0.545
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.661,0.622,0.661,0.541
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.651,0.617,0.651,0.516
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.658,0.612,0.658,0.546
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.657,0.606,0.657,0.552
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.655,0.616,0.655,0.526
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.5700000000000001,0.525,0.5700000000000001,0.542
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.597,0.589,0.597,0.545
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.59,0.545,0.59,0.488
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.559,0.509,0.559,0.509
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.591,0.538,0.591,0.509
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.628,0.5760000000000001,0.628,0.501
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.587,0.532,0.587,0.502
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.501,0.486,0.501,0.493
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.598,0.536,0.598,0.487
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.605,0.555,0.605,0.533
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.591,0.542,0.591,0.529
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.647,0.598,0.647,0.518
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.609,0.54,0.609,0.496
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.633,0.5690000000000001,0.633,0.505
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.622,0.5710000000000001,0.622,0.528
