runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.488,0.503,0.488,0.491
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.556,0.524,0.556,0.481
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.614,0.596,0.614,0.529
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.609,0.5760000000000001,0.609,0.543
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.623,0.584,0.623,0.5640000000000001
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.625,0.585,0.625,0.513
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.633,0.584,0.633,0.528
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.627,0.587,0.627,0.53
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.618,0.6000000000000001,0.618,0.535
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.625,0.586,0.625,0.539
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.641,0.59,0.641,0.53
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.587,0.534,0.587,0.521
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.589,0.5630000000000001,0.589,0.521
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.586,0.561,0.586,0.537
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.5750000000000001,0.517,0.5750000000000001,0.531
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.581,0.553,0.581,0.506
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.606,0.585,0.606,0.527
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.586,0.549,0.586,0.515
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.534,0.514,0.534,0.511
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.599,0.551,0.599,0.508
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.596,0.556,0.596,0.52
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.621,0.5660000000000001,0.621,0.499
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.634,0.592,0.634,0.546
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.596,0.558,0.596,0.495
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.604,0.5710000000000001,0.604,0.517
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.628,0.583,0.628,0.539
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.636,0.596,0.636,0.546
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.635,0.591,0.635,0.549
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.623,0.602,0.623,0.539
baseline-ar-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.488,0.503,0.488,0.491
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.505,0.516,0.505,0.482
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.581,0.5640000000000001,0.581,0.53
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.601,0.5660000000000001,0.601,0.536
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.605,0.5750000000000001,0.605,0.52
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.602,0.5670000000000001,0.602,0.515
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.598,0.5650000000000001,0.598,0.524
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.61,0.5690000000000001,0.61,0.526
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.602,0.5690000000000001,0.602,0.521
1p46G-gemma-commoncrawl-ar-29BT,6,13500,28.311552,0.608,0.5650000000000001,0.608,0.528
1p46G-gemma-commoncrawl-ar-29BT,6,14000,29.360128,0.605,0.5740000000000001,0.605,0.52
1p46G-gemma-commoncrawl-ar-29BT,6,1500,3.145728,0.533,0.519,0.533,0.482
1p46G-gemma-commoncrawl-ar-29BT,6,2000,4.194304,0.545,0.521,0.545,0.503
1p46G-gemma-commoncrawl-ar-29BT,6,2500,5.24288,0.555,0.526,0.555,0.519
1p46G-gemma-commoncrawl-ar-29BT,6,3000,6.291456,0.56,0.545,0.56,0.533
