runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.002,0.041421628200000005
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.059000000000000004,0.15042959990000002
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.057,0.1589730101
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.061,0.1496572676
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.062,0.1525266979
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.058,0.1386324511
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.061,0.14738148010000002
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.064,0.1602100002
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.056,0.1468656545
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.058,0.153182852
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.002,0.0572571164
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.007,0.0639918401
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.014,0.0769967677
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.018000000000000002,0.1023654284
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.037,0.1173414178
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.039,0.10285218780000001
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.04,0.1321068406
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.002,0.0187726933
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.03,0.1132964597
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.044,0.1484183879
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.047,0.133010779
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.053,0.1232511488
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.046,0.1333276888
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.054,0.1331757848
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.048,0.1342907538
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.054,0.16203701510000001
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.052000000000000005,0.13925763160000001
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.055,0.1473792928
baseline-ar-,42,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.003,0.0240706808
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.022,0.1049736441
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.026000000000000002,0.0917017302
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.029,0.1064485901
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.021,0.1031820641
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.026000000000000002,0.11585213650000001
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.022,0.11239750920000001
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.024,0.1150964959
