runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.459,0.52,0.491,0.5
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.499,0.532,0.52,0.541
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.525,0.5690000000000001,0.5670000000000001,0.59
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.525,0.562,0.5660000000000001,0.585
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.53,0.555,0.5650000000000001,0.5760000000000001
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.531,0.561,0.5670000000000001,0.5760000000000001
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.525,0.5650000000000001,0.5710000000000001,0.586
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.529,0.5660000000000001,0.5720000000000001,0.5720000000000001
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.523,0.5630000000000001,0.5700000000000001,0.5740000000000001
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.523,0.5690000000000001,0.5700000000000001,0.591
1p46G-gemma-helios-ar-29BT,6,14000,29.360128,0.523,0.561,0.5700000000000001,0.579
1p46G-gemma-helios-ar-29BT,6,1500,3.145728,0.499,0.537,0.52,0.5650000000000001
1p46G-gemma-helios-ar-29BT,6,2000,4.194304,0.504,0.548,0.544,0.55
1p46G-gemma-helios-ar-29BT,6,2500,5.24288,0.51,0.548,0.533,0.5630000000000001
1p46G-gemma-helios-ar-29BT,6,3000,6.291456,0.516,0.559,0.547,0.5710000000000001
1p46G-gemma-helios-ar-29BT,6,3500,7.340032,0.511,0.551,0.553,0.5760000000000001
1p46G-gemma-helios-ar-29BT,6,4000,8.388608,0.521,0.555,0.543,0.595
1p46G-gemma-helios-ar-29BT,6,4500,9.437184,0.526,0.553,0.542,0.5650000000000001
1p46G-gemma-helios-ar-29BT,6,500,1.048576,0.498,0.528,0.527,0.49
1p46G-gemma-helios-ar-29BT,6,5000,10.48576,0.518,0.5630000000000001,0.558,0.586
1p46G-gemma-helios-ar-29BT,6,5500,11.534336,0.521,0.557,0.5650000000000001,0.587
1p46G-gemma-helios-ar-29BT,6,6000,12.582912,0.512,0.562,0.5630000000000001,0.598
1p46G-gemma-helios-ar-29BT,6,6500,13.631488,0.516,0.556,0.546,0.597
1p46G-gemma-helios-ar-29BT,6,7000,14.680064,0.524,0.561,0.5650000000000001,0.589
1p46G-gemma-helios-ar-29BT,6,7500,15.72864,0.52,0.5640000000000001,0.5730000000000001,0.59
1p46G-gemma-helios-ar-29BT,6,8000,16.777216,0.525,0.56,0.558,0.585
1p46G-gemma-helios-ar-29BT,6,8500,17.825792,0.517,0.561,0.558,0.5760000000000001
1p46G-gemma-helios-ar-29BT,6,9000,18.874368,0.518,0.555,0.5650000000000001,0.5750000000000001
1p46G-gemma-helios-ar-29BT,6,9500,19.922944,0.515,0.5630000000000001,0.5640000000000001,0.5710000000000001
baseline-ar-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-commoncrawl-ar-29BT,6,0,0.0,0.459,0.52,0.491,0.5
1p46G-gemma-commoncrawl-ar-29BT,6,1000,2.097152,0.491,0.527,0.513,0.516
1p46G-gemma-commoncrawl-ar-29BT,6,10000,20.97152,0.505,0.539,0.543,0.5630000000000001
1p46G-gemma-commoncrawl-ar-29BT,6,10500,22.020096,0.506,0.536,0.543,0.5700000000000001
1p46G-gemma-commoncrawl-ar-29BT,6,11000,23.068672,0.511,0.54,0.54,0.554
1p46G-gemma-commoncrawl-ar-29BT,6,11500,24.117248,0.507,0.541,0.536,0.554
1p46G-gemma-commoncrawl-ar-29BT,6,12000,25.165824,0.512,0.542,0.54,0.5680000000000001
1p46G-gemma-commoncrawl-ar-29BT,6,12500,26.2144,0.51,0.54,0.536,0.557
1p46G-gemma-commoncrawl-ar-29BT,6,13000,27.262976,0.506,0.538,0.535,0.561
