runname,seed,steps,tokens,acc_norm_token,acc_norm,acc_norm_pmi,acc
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.2522222222,0.2433333333,0.26,0.0
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.2866666667,0.2788888889,0.2755555556,0.0
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.3044444444,0.3144444444,0.2822222222,0.0
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.30555555560000003,0.3166666667,0.29,0.0
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.3166666667,0.32444444440000003,0.3022222222,0.0
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.3122222222,0.32,0.3011111111,0.0
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.3044444444,0.3177777778,0.2966666667,0.0
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.30666666670000003,0.3177777778,0.2955555556,0.0
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.3088888889,0.3188888889,0.2922222222,0.0
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.3033333333,0.3133333333,0.30000000000000004,0.0
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.29888888890000004,0.3111111111,0.28888888890000003,0.0
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.29,0.2944444444,0.3022222222,0.0
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.29,0.30000000000000004,0.28888888890000003,0.0
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.2922222222,0.2966666667,0.2944444444,0.0
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.2844444444,0.2944444444,0.2766666667,0.0
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.2844444444,0.3088888889,0.28888888890000003,0.0
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.2755555556,0.29777777780000003,0.2877777778,0.0
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.2966666667,0.31,0.2944444444,0.0
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.2611111111,0.26,0.2366666667,0.0
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.29777777780000003,0.3122222222,0.3044444444,0.0
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.30000000000000004,0.3222222222,0.28888888890000003,0.0
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.3177777778,0.3233333333,0.2933333333,0.0
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.3022222222,0.3133333333,0.28,0.0
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.2944444444,0.3188888889,0.2788888889,0.0
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.31,0.3133333333,0.2933333333,0.0
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.3166666667,0.3255555556,0.2911111111,0.0
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.30555555560000003,0.32444444440000003,0.29,0.0
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.3044444444,0.32,0.28111111110000003,0.0
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.3088888889,0.3177777778,0.2833333333,0.0
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.2522222222,0.2433333333,0.26,0.0
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.2577777778,0.2666666667,0.2611111111,0.0
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.30000000000000004,0.3188888889,0.2877777778,0.0
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.3011111111,0.3144444444,0.2822222222,0.0
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.29888888890000004,0.3233333333,0.2922222222,0.0
1p46G-gemma-aquila-fr-29BT,6,11500,24.117248,0.2966666667,0.3133333333,0.28111111110000003,0.0
1p46G-gemma-aquila-fr-29BT,6,12000,25.165824,0.3044444444,0.3233333333,0.2911111111,0.0
1p46G-gemma-aquila-fr-29BT,6,12500,26.2144,0.29777777780000003,0.33,0.2788888889,0.0
1p46G-gemma-aquila-fr-29BT,6,13000,27.262976,0.31,0.3288888889,0.2844444444,0.0
1p46G-gemma-aquila-fr-29BT,6,13500,28.311552,0.30555555560000003,0.33333333330000003,0.2922222222,0.0
1p46G-gemma-aquila-fr-29BT,6,14000,29.360128,0.29888888890000004,0.3255555556,0.2911111111,0.0
1p46G-gemma-aquila-fr-29BT,6,1500,3.145728,0.2844444444,0.2822222222,0.2777777778,0.0
1p46G-gemma-aquila-fr-29BT,6,2000,4.194304,0.2877777778,0.27222222220000003,0.2844444444,0.0
1p46G-gemma-aquila-fr-29BT,6,2500,5.24288,0.2855555556,0.2911111111,0.2855555556,0.0
1p46G-gemma-aquila-fr-29BT,6,3000,6.291456,0.2922222222,0.2911111111,0.2911111111,0.0
1p46G-gemma-aquila-fr-29BT,6,3500,7.340032,0.2866666667,0.28111111110000003,0.2822222222,0.0
1p46G-gemma-aquila-fr-29BT,6,4000,8.388608,0.3011111111,0.2877777778,0.2822222222,0.0
1p46G-gemma-aquila-fr-29BT,6,4500,9.437184,0.28111111110000003,0.2877777778,0.2788888889,0.0
1p46G-gemma-aquila-fr-29BT,6,500,1.048576,0.2288888889,0.2433333333,0.2411111111,0.0
1p46G-gemma-aquila-fr-29BT,6,5000,10.48576,0.2944444444,0.28888888890000003,0.2877777778,0.0
1p46G-gemma-aquila-fr-29BT,6,5500,11.534336,0.2933333333,0.3144444444,0.2966666667,0.0
1p46G-gemma-aquila-fr-29BT,6,6000,12.582912,0.2877777778,0.30555555560000003,0.3011111111,0.0
1p46G-gemma-aquila-fr-29BT,6,6500,13.631488,0.28888888890000003,0.30555555560000003,0.2944444444,0.0
1p46G-gemma-aquila-fr-29BT,6,7000,14.680064,0.2933333333,0.29888888890000004,0.2766666667,0.0
1p46G-gemma-aquila-fr-29BT,6,7500,15.72864,0.3044444444,0.3177777778,0.2877777778,0.0
