runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi,prefix_match
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.4943820225,0.4943820225,0.4943820225,0.5056179775,0.0
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.5393258427000001,0.5393258427000001,0.5393258427000001,0.5168539326,0.0056179775
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.4887640449,0.4887640449,0.4887640449,0.46629213480000004,0.20224719100000002
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.4887640449,0.4887640449,0.4887640449,0.5168539326,0.2415730337
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.5224719101,0.5224719101,0.5224719101,0.5112359551,0.191011236
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.4831460674,0.4831460674,0.4831460674,0.46629213480000004,0.2415730337
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.4719101124,0.4719101124,0.4719101124,0.5056179775,0.17415730340000002
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.4831460674,0.4831460674,0.4831460674,0.5112359551,0.1966292135
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.4943820225,0.4943820225,0.4943820225,0.5,0.21348314610000002
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.4775280899,0.4775280899,0.4775280899,0.5168539326,0.1573033708
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.5056179775,0.5056179775,0.5056179775,0.5056179775,0.16292134830000002
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.5337078652,0.5337078652,0.5337078652,0.5056179775,0.0617977528
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.4775280899,0.4775280899,0.4775280899,0.5280898876,0.0393258427
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.4887640449,0.4887640449,0.4887640449,0.4943820225,0.10112359550000001
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.4943820225,0.4943820225,0.4943820225,0.4775280899,0.106741573
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.5112359551,0.5112359551,0.5112359551,0.5224719101,0.297752809
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.5112359551,0.5112359551,0.5112359551,0.5168539326,0.38764044940000003
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.4606741573,0.4606741573,0.4606741573,0.5112359551,0.20224719100000002
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.5,0.5,0.5,0.5,0.0
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.5224719101,0.5224719101,0.5224719101,0.5393258427000001,0.3370786517
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.5112359551,0.5112359551,0.5112359551,0.5112359551,0.1685393258
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.5224719101,0.5224719101,0.5224719101,0.4831460674,0.2696629213
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.5056179775,0.5056179775,0.5056179775,0.5280898876,0.2415730337
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.4887640449,0.4887640449,0.4887640449,0.4887640449,0.17415730340000002
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.5112359551,0.5112359551,0.5112359551,0.5112359551,0.1516853933
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.5393258427000001,0.5393258427000001,0.5393258427000001,0.5168539326,0.2921348315
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.5168539326,0.5168539326,0.5168539326,0.5505617978,0.191011236
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.4550561798,0.4550561798,0.4550561798,0.5280898876,0.2808988764
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.4831460674,0.4831460674,0.4831460674,0.5280898876,0.1966292135
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.4943820225,0.4943820225,0.4943820225,0.5056179775,0.0
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.4831460674,0.4831460674,0.4831460674,0.4550561798,0.11235955060000001
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.4775280899,0.4775280899,0.4775280899,0.5,0.4157303371
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.4831460674,0.4831460674,0.4831460674,0.4943820225,0.37078651690000003
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.4719101124,0.4719101124,0.4719101124,0.4943820225,0.3820224719
1p46G-gemma-aquila-fr-29BT,6,11500,24.117248,0.4887640449,0.4887640449,0.4887640449,0.46629213480000004,0.4213483146
1p46G-gemma-aquila-fr-29BT,6,12000,25.165824,0.4719101124,0.4719101124,0.4719101124,0.4943820225,0.3764044944
1p46G-gemma-aquila-fr-29BT,6,12500,26.2144,0.4606741573,0.4606741573,0.4606741573,0.4887640449,0.4382022472
1p46G-gemma-aquila-fr-29BT,6,13000,27.262976,0.4719101124,0.4719101124,0.4719101124,0.5,0.3988764045
1p46G-gemma-aquila-fr-29BT,6,13500,28.311552,0.4887640449,0.4887640449,0.4887640449,0.5,0.42696629210000003
1p46G-gemma-aquila-fr-29BT,6,14000,29.360128,0.4831460674,0.4831460674,0.4831460674,0.5,0.4382022472
1p46G-gemma-aquila-fr-29BT,6,1500,3.145728,0.4887640449,0.4887640449,0.4887640449,0.5,0.42696629210000003
1p46G-gemma-aquila-fr-29BT,6,2000,4.194304,0.5,0.5,0.5,0.5056179775,0.41011235960000003
1p46G-gemma-aquila-fr-29BT,6,2500,5.24288,0.4213483146,0.4213483146,0.4213483146,0.4943820225,0.38764044940000003
1p46G-gemma-aquila-fr-29BT,6,3000,6.291456,0.4775280899,0.4775280899,0.4775280899,0.5168539326,0.393258427
1p46G-gemma-aquila-fr-29BT,6,3500,7.340032,0.4831460674,0.4831460674,0.4831460674,0.5,0.42696629210000003
1p46G-gemma-aquila-fr-29BT,6,4000,8.388608,0.5112359551,0.5112359551,0.5112359551,0.4943820225,0.393258427
1p46G-gemma-aquila-fr-29BT,6,4500,9.437184,0.4775280899,0.4775280899,0.4775280899,0.5,0.297752809
1p46G-gemma-aquila-fr-29BT,6,500,1.048576,0.4775280899,0.4775280899,0.4775280899,0.5056179775,0.0
1p46G-gemma-aquila-fr-29BT,6,5000,10.48576,0.4719101124,0.4719101124,0.4719101124,0.4943820225,0.32584269660000004
1p46G-gemma-aquila-fr-29BT,6,5500,11.534336,0.4775280899,0.4775280899,0.4775280899,0.4831460674,0.4325842697
1p46G-gemma-aquila-fr-29BT,6,6000,12.582912,0.4887640449,0.4887640449,0.4887640449,0.4943820225,0.3820224719
1p46G-gemma-aquila-fr-29BT,6,6500,13.631488,0.5112359551,0.5112359551,0.5112359551,0.4775280899,0.34831460670000003
1p46G-gemma-aquila-fr-29BT,6,7000,14.680064,0.5112359551,0.5112359551,0.5112359551,0.5,0.3539325843
1p46G-gemma-aquila-fr-29BT,6,7500,15.72864,0.4887640449,0.4887640449,0.4887640449,0.4943820225,0.32584269660000004
1p46G-gemma-aquila-fr-29BT,6,8000,16.777216,0.5112359551,0.5112359551,0.5112359551,0.5,0.4606741573
1p46G-gemma-aquila-fr-29BT,6,8500,17.825792,0.4887640449,0.4887640449,0.4887640449,0.4887640449,0.3370786517
1p46G-gemma-aquila-fr-29BT,6,9000,18.874368,0.5,0.5,0.5,0.4943820225,0.3595505618
1p46G-gemma-aquila-fr-29BT,6,9500,19.922944,0.4775280899,0.4775280899,0.4775280899,0.5,0.2640449438
baseline-fr-,42,0,0.0,0.5,0.5,0.5,0.5,0.0
1p46G-gemma-commoncrawl-fr-29BT,4,0,0.0,0.5056179775,0.5056179775,0.5056179775,0.5112359551,0.0
1p46G-gemma-commoncrawl-fr-29BT,4,1000,2.097152,0.46629213480000004,0.46629213480000004,0.46629213480000004,0.4550561798,0.0
1p46G-gemma-commoncrawl-fr-29BT,4,10000,20.97152,0.4606741573,0.4606741573,0.4606741573,0.4887640449,0.393258427
1p46G-gemma-commoncrawl-fr-29BT,4,10500,22.020096,0.4494382022,0.4494382022,0.4494382022,0.4887640449,0.40449438200000004
1p46G-gemma-commoncrawl-fr-29BT,4,11000,23.068672,0.4887640449,0.4887640449,0.4887640449,0.5056179775,0.4325842697
1p46G-gemma-commoncrawl-fr-29BT,4,11500,24.117248,0.4887640449,0.4887640449,0.4887640449,0.5,0.40449438200000004
1p46G-gemma-commoncrawl-fr-29BT,4,12000,25.165824,0.4831460674,0.4831460674,0.4831460674,0.5112359551,0.4494382022
1p46G-gemma-commoncrawl-fr-29BT,4,12500,26.2144,0.4887640449,0.4887640449,0.4887640449,0.4943820225,0.40449438200000004
1p46G-gemma-commoncrawl-fr-29BT,4,13000,27.262976,0.4550561798,0.4550561798,0.4550561798,0.5056179775,0.3988764045
1p46G-gemma-commoncrawl-fr-29BT,4,13500,28.311552,0.4719101124,0.4719101124,0.4719101124,0.5,0.41011235960000003
1p46G-gemma-commoncrawl-fr-29BT,4,14000,29.360128,0.4719101124,0.4719101124,0.4719101124,0.5056179775,0.41011235960000003
1p46G-gemma-commoncrawl-fr-29BT,4,1500,3.145728,0.4494382022,0.4494382022,0.4494382022,0.4775280899,0.0674157303
1p46G-gemma-commoncrawl-fr-29BT,4,2000,4.194304,0.5224719101,0.5224719101,0.5224719101,0.5224719101,0.10112359550000001
1p46G-gemma-commoncrawl-fr-29BT,4,2500,5.24288,0.4382022472,0.4382022472,0.4382022472,0.44382022470000004,0.16292134830000002
1p46G-gemma-commoncrawl-fr-29BT,4,3000,6.291456,0.5,0.5,0.5,0.5,0.3370786517
1p46G-gemma-commoncrawl-fr-29BT,4,3500,7.340032,0.4550561798,0.4550561798,0.4550561798,0.46629213480000004,0.308988764
1p46G-gemma-commoncrawl-fr-29BT,4,4000,8.388608,0.5,0.5,0.5,0.5056179775,0.3370786517
1p46G-gemma-commoncrawl-fr-29BT,4,4500,9.437184,0.4775280899,0.4775280899,0.4775280899,0.4775280899,0.4550561798
1p46G-gemma-commoncrawl-fr-29BT,4,500,1.048576,0.4943820225,0.4943820225,0.4943820225,0.4775280899,0.0
1p46G-gemma-commoncrawl-fr-29BT,4,5000,10.48576,0.4382022472,0.4382022472,0.4382022472,0.4775280899,0.3595505618
1p46G-gemma-commoncrawl-fr-29BT,4,5500,11.534336,0.4943820225,0.4943820225,0.4943820225,0.4943820225,0.2415730337
1p46G-gemma-commoncrawl-fr-29BT,4,6000,12.582912,0.4943820225,0.4943820225,0.4943820225,0.5112359551,0.44382022470000004
