runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.2680500328,0.1888622271,0.2250704633,0.23045081280000002
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.2820131938,0.20249173480000002,0.2184522449,0.319676402
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.2787436964,0.21745280860000002,0.2382726206,0.3690867956
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.27335649100000003,0.21386565500000002,0.2355302649,0.4567781891
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.261364779,0.2267021649,0.2309299633,0.35456373690000004
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.261364779,0.20808994930000002,0.23277191220000001,0.3693876929
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.2580625257,0.2126742539,0.2301918125,0.343659826
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.2664929841,0.2167146579,0.23790011730000002,0.3507754772
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.2713522861,0.2118873501,0.23171686700000002,0.3297774121
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.26829303590000003,0.2177118089,0.23503511740000002,0.3699056934
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.27189618660000003,0.2195377607,0.229647912,0.3455825221
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.290174749,0.2152215976,0.21097094630000002,0.4108086902
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.2773641391,0.2284793638,0.2964151317,0.36036534270000004
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.2727798345,0.21921324860000002,0.20425293660000002,0.42786385730000004
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.2865974984,0.2231409114,0.2214216067,0.3553597818
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.27484878960000003,0.2251611134,0.23175876410000001,0.3239689504
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.2855424532,0.2093232476,0.22273565210000001,0.4464341758
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.2897055015,0.1991734845,0.19617212850000001,0.34056782
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.2853314442,0.2127641422,0.30364428600000004,0.1890237214
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.3031735149,0.2266374149,0.2268408063,0.40707603940000003
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.27739689500000003,0.1994004906,0.2383373707,0.3507335801
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.28071514540000003,0.21286850400000001,0.24901427550000002,0.37833615190000003
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.2674413821,0.21110730230000002,0.2521382757,0.3526402791
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.2676843853,0.22047016160000002,0.2309619574,0.3331116596
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.2661920868,0.21213035330000002,0.2455017749,0.3305315599
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.2575186252,0.20828419950000002,0.231668114,0.3405838171
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.2669949876,0.210783552,0.2224995049,0.3569076893
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.268520042,0.2215579627,0.2263456587,0.5028794735000001
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.27744564800000004,0.23053232170000001,0.2531613267,0.3782942548
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.2680500328,0.1888622271,0.2250704633,0.23045081280000002
