runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.007500000000000001,0.0630850365
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.022500000000000003,0.1479538689
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.022500000000000003,0.1510975443
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.0175,0.1431902083
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.02,0.1484166669
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.02,0.159522447
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.02,0.14188301
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.02,0.1543804583
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.025,0.15887279240000002
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.022500000000000003,0.1529516098
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.0125,0.08147335700000001
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.0025,0.0824631004
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.0125,0.0931551565
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.015,0.10171525270000001
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.0125,0.10816953280000001
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.022500000000000003,0.1239871782
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.0175,0.1128250886
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.0025,0.0016666667
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.0175,0.1211340451
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.0175,0.1281064089
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.0175,0.1223399082
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.015,0.1352958091
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.02,0.1452973717
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.02,0.1399228647
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.02,0.14403327600000002
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.025,0.1411499266
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.022500000000000003,0.137323738
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.02,0.1619042998
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.0125,0.0611981861
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.03,0.1090684363
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.025,0.1027231359
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.022500000000000003,0.1017813982
1p46G-gemma-aquila-fr-29BT,6,11500,24.117248,0.0325,0.1163939928
1p46G-gemma-aquila-fr-29BT,6,12000,25.165824,0.0275,0.10737242350000001
1p46G-gemma-aquila-fr-29BT,6,12500,26.2144,0.03,0.10749269480000001
1p46G-gemma-aquila-fr-29BT,6,13000,27.262976,0.025,0.10219548090000001
1p46G-gemma-aquila-fr-29BT,6,13500,28.311552,0.025,0.11116008270000001
1p46G-gemma-aquila-fr-29BT,6,14000,29.360128,0.0275,0.10936576790000001
1p46G-gemma-aquila-fr-29BT,6,1500,3.145728,0.01,0.06419085790000001
1p46G-gemma-aquila-fr-29BT,6,2000,4.194304,0.007500000000000001,0.084285786
1p46G-gemma-aquila-fr-29BT,6,2500,5.24288,0.0125,0.0888851485
