runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.22453364720000002,0.2380775604,0.24676025110000002,0.25353438100000003
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.2352186924,0.25162666910000003,0.2501656392,0.2597955504
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.2463990624,0.2623629885,0.2589552081,0.2732497483
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.24984937880000002,0.262273735,0.2599461615,0.272961693
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.2521080287,0.2634025102,0.2572974381,0.2731016835
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.2508411188,0.2646881198,0.2583895506,0.2777862609
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.2518487763,0.2678167731,0.25909497870000003,0.2720631556
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.2500095298,0.2664030568,0.2596019733,0.2754458395
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.2529847481,0.26473760220000003,0.2596825367,0.2731286312
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.2523500922,0.2653941333,0.2588122757,0.2727648087
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.2502231474,0.2647663411,0.25969429650000003,0.2696305753
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.2363524951,0.2540967766,0.25243483380000004,0.2590707539
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.2375775249,0.2569226645,0.25451788070000003,0.2606264559
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.24130613990000002,0.2571708411,0.25189377,0.2568838968
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.2406997086,0.254090136,0.252070695,0.2650348263
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.24012259530000002,0.2609158265,0.2564046256,0.2669470286
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.24162583340000002,0.2599309799,0.2541794865,0.2720029259
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.24428692100000002,0.25892188780000003,0.25541621330000003,0.272512698
