runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.018000000000000002,0.0023391403
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.018000000000000002,0.0277898088
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.016,0.0264135472
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.018000000000000002,0.0216465963
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.018000000000000002,0.0272858533
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.018000000000000002,0.0277602703
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.017,0.029423490200000003
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.017,0.031450057600000005
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.018000000000000002,0.0253682501
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.018000000000000002,0.0296617131
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.018000000000000002,0.0006500000000000001
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.018000000000000002,0.0028625004
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.017,0.0028151212
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.014,0.0015895604
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.019,0.0173658073
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.019,0.0051415515
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.018000000000000002,0.0161182354
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.03,0.0
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.018000000000000002,0.0145547786
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.018000000000000002,0.0112672181
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.018000000000000002,0.015162765500000001
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.017,0.0172670732
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.017,0.0180347454
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.017,0.0176947224
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.018000000000000002,0.0241891868
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.016,0.027438804900000002
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.017,0.0170134771
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.018000000000000002,0.0236684794
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.018000000000000002,0.004569527800000001
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.018000000000000002,0.0112484861
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.021,0.0092252446
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.02,0.0112131774
1p46G-gemma-aquila-fr-29BT,6,11500,24.117248,0.02,0.011901252400000001
1p46G-gemma-aquila-fr-29BT,6,12000,25.165824,0.019,0.0123065074
1p46G-gemma-aquila-fr-29BT,6,12500,26.2144,0.019,0.0110607768
1p46G-gemma-aquila-fr-29BT,6,13000,27.262976,0.02,0.0127762793
1p46G-gemma-aquila-fr-29BT,6,13500,28.311552,0.018000000000000002,0.0105503286
1p46G-gemma-aquila-fr-29BT,6,14000,29.360128,0.019,0.0119900557
1p46G-gemma-aquila-fr-29BT,6,1500,3.145728,0.018000000000000002,0.0041303317
1p46G-gemma-aquila-fr-29BT,6,2000,4.194304,0.019,0.0069758041
1p46G-gemma-aquila-fr-29BT,6,2500,5.24288,0.019,0.007744080800000001
1p46G-gemma-aquila-fr-29BT,6,3000,6.291456,0.021,0.008079849600000001
1p46G-gemma-aquila-fr-29BT,6,3500,7.340032,0.018000000000000002,0.0078181074
1p46G-gemma-aquila-fr-29BT,6,4000,8.388608,0.018000000000000002,0.0078005473
1p46G-gemma-aquila-fr-29BT,6,4500,9.437184,0.019,0.0071702682000000005
1p46G-gemma-aquila-fr-29BT,6,500,1.048576,0.018000000000000002,0.0012504456
1p46G-gemma-aquila-fr-29BT,6,5000,10.48576,0.02,0.0085615407
1p46G-gemma-aquila-fr-29BT,6,5500,11.534336,0.02,0.0081474158
1p46G-gemma-aquila-fr-29BT,6,6000,12.582912,0.023,0.0135528307
