runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.0002,0.0
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.0122656293,0.002620541
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.015475239100000001,0.0139544952
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.0136485492,0.0157574986
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.0162113787,0.0170238859
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.014320917,0.014830926500000001
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.0142637857,0.012699773000000001
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.014320917,0.014999958400000001
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.0134009317,0.0171890425
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.014054279900000001,0.0153209285
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.0153866364,0.015893927000000002
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.0122656293,0.0053365712
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.0130332402,0.0036367705000000003
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.0155770501,0.0022626298
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.011269493,0.0011903648
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.012246609700000001,0.0093516187
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.0160846643,0.0043015300000000005
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.016795143800000002,0.0079041354
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.0088597938,0.0
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.0144608398,0.0075240237
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.0146065738,0.0076628278
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.0143465771,0.0116092064
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.0143084653,0.0092128413
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.0173342294,0.0130351378
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.0137247002,0.0110117691
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.016027532900000002,0.0132824824
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.0139400172,0.0157432746
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.0159132702,0.008790050800000001
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.0142637857,0.016263954900000002
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.0002,0.0
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.0127732435,0.0101129715
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.0185025881,0.014740159400000001
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.018407345000000002,0.017122096700000002
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.0175826028,0.0167164219
