runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.24,0.275,0.266,0.255
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.164,0.219,0.202,0.217
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.194,0.251,0.228,0.259
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.191,0.251,0.224,0.28600000000000003
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.183,0.261,0.221,0.277
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.193,0.258,0.228,0.277
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.182,0.249,0.229,0.277
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.192,0.261,0.231,0.278
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.195,0.253,0.23500000000000001,0.28600000000000003
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.195,0.259,0.229,0.269
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.194,0.257,0.219,0.268
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.17,0.232,0.203,0.25
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.164,0.227,0.202,0.23
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.169,0.233,0.212,0.251
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.166,0.222,0.209,0.263
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.179,0.23700000000000002,0.20800000000000002,0.25
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.168,0.22,0.20400000000000001,0.23900000000000002
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.176,0.228,0.20600000000000002,0.232
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.19,0.248,0.213,0.228
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.17500000000000002,0.23,0.212,0.251
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.183,0.23900000000000002,0.222,0.278
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.188,0.232,0.227,0.281
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.185,0.234,0.218,0.255
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.183,0.23800000000000002,0.224,0.269
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.19,0.247,0.227,0.276
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.182,0.246,0.22,0.275
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.189,0.248,0.227,0.276
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.19,0.25,0.227,0.267
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.19,0.251,0.23,0.28300000000000003
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.24,0.275,0.267,0.256
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.169,0.24,0.203,0.225
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.21,0.253,0.251,0.259
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.216,0.246,0.245,0.256
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.20400000000000001,0.25,0.256,0.275
1p46G-gemma-aquila-fr-29BT,6,11500,24.117248,0.20600000000000002,0.254,0.256,0.27
1p46G-gemma-aquila-fr-29BT,6,12000,25.165824,0.20600000000000002,0.248,0.244,0.265
1p46G-gemma-aquila-fr-29BT,6,12500,26.2144,0.201,0.244,0.247,0.271
1p46G-gemma-aquila-fr-29BT,6,13000,27.262976,0.21,0.253,0.247,0.273
1p46G-gemma-aquila-fr-29BT,6,13500,28.311552,0.214,0.256,0.252,0.265
1p46G-gemma-aquila-fr-29BT,6,14000,29.360128,0.20800000000000002,0.249,0.25,0.263
1p46G-gemma-aquila-fr-29BT,6,1500,3.145728,0.17300000000000001,0.233,0.20400000000000001,0.23900000000000002
1p46G-gemma-aquila-fr-29BT,6,2000,4.194304,0.176,0.241,0.214,0.23500000000000001
1p46G-gemma-aquila-fr-29BT,6,2500,5.24288,0.183,0.24,0.216,0.234
1p46G-gemma-aquila-fr-29BT,6,3000,6.291456,0.186,0.247,0.213,0.243
1p46G-gemma-aquila-fr-29BT,6,3500,7.340032,0.181,0.245,0.229,0.252
1p46G-gemma-aquila-fr-29BT,6,4000,8.388608,0.185,0.23900000000000002,0.229,0.251
1p46G-gemma-aquila-fr-29BT,6,4500,9.437184,0.178,0.234,0.229,0.27
1p46G-gemma-aquila-fr-29BT,6,500,1.048576,0.198,0.244,0.227,0.248
1p46G-gemma-aquila-fr-29BT,6,5000,10.48576,0.20400000000000001,0.244,0.233,0.262
