runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.245,0.241,0.251,0.23500000000000001
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.265,0.268,0.29,0.28700000000000003
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.28500000000000003,0.333,0.369,0.315
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.28700000000000003,0.333,0.364,0.318
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.279,0.331,0.359,0.312
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.28700000000000003,0.337,0.34900000000000003,0.318
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.289,0.332,0.353,0.314
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.28300000000000003,0.329,0.366,0.327
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.28800000000000003,0.341,0.359,0.32
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.28300000000000003,0.335,0.36,0.312
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.29,0.332,0.365,0.325
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.27,0.276,0.28800000000000003,0.297
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.275,0.278,0.28600000000000003,0.295
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.28400000000000003,0.292,0.303,0.306
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.28500000000000003,0.297,0.305,0.31
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.28200000000000003,0.293,0.299,0.307
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.275,0.303,0.31,0.311
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.28300000000000003,0.289,0.308,0.312
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.249,0.25,0.265,0.271
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.28300000000000003,0.295,0.317,0.312
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.28400000000000003,0.307,0.323,0.318
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.28500000000000003,0.317,0.34,0.305
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.289,0.314,0.342,0.31
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.29,0.327,0.337,0.30000000000000004
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.278,0.315,0.338,0.311
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.28,0.318,0.34500000000000003,0.32
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.28400000000000003,0.323,0.34400000000000003,0.32
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.28600000000000003,0.325,0.354,0.32
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.28600000000000003,0.323,0.358,0.323
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.245,0.24,0.251,0.234
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.259,0.266,0.276,0.315
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.303,0.38,0.384,0.301
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.302,0.384,0.375,0.312
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.314,0.38,0.382,0.318
1p46G-gemma-aquila-fr-29BT,6,11500,24.117248,0.308,0.383,0.378,0.316
1p46G-gemma-aquila-fr-29BT,6,12000,25.165824,0.308,0.384,0.38,0.309
1p46G-gemma-aquila-fr-29BT,6,12500,26.2144,0.312,0.385,0.39,0.318
1p46G-gemma-aquila-fr-29BT,6,13000,27.262976,0.307,0.385,0.372,0.312
1p46G-gemma-aquila-fr-29BT,6,13500,28.311552,0.31,0.39,0.377,0.305
