runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.21942227800000003,0.24206352180000001,0.2355536148,0.2440453347
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.22775311620000002,0.255284402,0.2533555589,0.2557851186
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.2440155994,0.2648107417,0.25554174700000004,0.27929155780000003
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.2479569462,0.267127712,0.26051722,0.2798887309
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.2477053632,0.2654325127,0.2555388185,0.2761045766
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.2454106617,0.2632197725,0.2553834391,0.2789853479
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.2450204253,0.2661993527,0.25614486670000003,0.2749802806
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.2477978575,0.2652434191,0.256754023,0.2773629615
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.2467472887,0.2672501843,0.2576381097,0.2768196953
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.2489444056,0.265912203,0.2576049205,0.2788671291
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.24799537130000002,0.2649836087,0.25793722010000003,0.2798369967
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.23159277660000002,0.2523353201,0.2584149273,0.2619732967
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.23303329990000002,0.2554304967,0.2585251524,0.2615303887
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.23603640820000002,0.2589140846,0.2617000255,0.264074277
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.2300996743,0.2544994299,0.2518862911,0.2730343456
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.23819037640000001,0.25756898240000003,0.2591157758,0.2698216821
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.2383199464,0.2579048655,0.2580544336,0.28011961150000003
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.2415750127,0.2584805203,0.2534988454,0.27806065820000003
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.2279422315,0.2531099116,0.2504965656,0.2568459764
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.2401179463,0.2611352543,0.2602675955,0.2813545698
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.2411386865,0.2632933182,0.2575038096,0.27645201410000003
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.2428030786,0.26215842,0.26004653650000004,0.2814846935
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.2455496453,0.2626923518,0.2591037892,0.2813656415
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.244590787,0.2635637366,0.2574338722,0.28258053780000003
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.2426348844,0.2627355391,0.2577382963,0.2814570273
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.242585402,0.2640796687,0.2574876118,0.2761701498
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.24389696230000002,0.2634347168,0.2594749481,0.2823119935
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.2451015548,0.26638831890000003,0.2580516035,0.2766935001
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.24738236560000001,0.2659830808,0.26018911240000003,0.2803780334
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.2192376058,0.24180156490000002,0.2355472072,0.24424525660000002
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.2323454086,0.2535892985,0.2552956054,0.25655245
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.2519435731,0.2649823467,0.26356813500000004,0.2748117278
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.24978979210000002,0.2661830076,0.26369730950000003,0.2779354361
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.2513209541,0.2681129318,0.2618168563,0.2810301373
1p46G-gemma-aquila-fr-29BT,6,11500,24.117248,0.2500290021,0.26653195760000004,0.2631237299,0.2801464038
1p46G-gemma-aquila-fr-29BT,6,12000,25.165824,0.24914944790000002,0.2639894728,0.2621868626,0.28283321
1p46G-gemma-aquila-fr-29BT,6,12500,26.2144,0.2524410711,0.2636500398,0.2644826758,0.285936644
1p46G-gemma-aquila-fr-29BT,6,13000,27.262976,0.24967744860000002,0.2653528344,0.2594062875,0.2808174429
1p46G-gemma-aquila-fr-29BT,6,13500,28.311552,0.2510212563,0.26585975300000003,0.2603505016,0.2866226012
1p46G-gemma-aquila-fr-29BT,6,14000,29.360128,0.2521423365,0.2645363041,0.2615483607,0.2831760854
1p46G-gemma-aquila-fr-29BT,6,1500,3.145728,0.23352289750000002,0.2550927543,0.2567603992,0.2644990426
1p46G-gemma-aquila-fr-29BT,6,2000,4.194304,0.2372907146,0.2588809861,0.25744531060000003,0.2659599911
1p46G-gemma-aquila-fr-29BT,6,2500,5.24288,0.23984183480000001,0.2573209581,0.25959822390000004,0.2705768534
1p46G-gemma-aquila-fr-29BT,6,3000,6.291456,0.23953032900000001,0.2542935428,0.2589107134,0.2751247229
1p46G-gemma-aquila-fr-29BT,6,3500,7.340032,0.2404548702,0.2600388668,0.2612944171,0.2795324744
1p46G-gemma-aquila-fr-29BT,6,4000,8.388608,0.2442640554,0.259911942,0.26018940220000003,0.27159352200000003
1p46G-gemma-aquila-fr-29BT,6,4500,9.437184,0.2452615358,0.2605445863,0.2589014946,0.26851858430000003
1p46G-gemma-aquila-fr-29BT,6,500,1.048576,0.22648194400000002,0.24940447370000002,0.25721808290000003,0.25590055030000003
1p46G-gemma-aquila-fr-29BT,6,5000,10.48576,0.2442725185,0.260806445,0.2618780275,0.2711749806
1p46G-gemma-aquila-fr-29BT,6,5500,11.534336,0.2461728002,0.26538127970000003,0.2611194052,0.2670766677
1p46G-gemma-aquila-fr-29BT,6,6000,12.582912,0.2497302436,0.2654053623,0.2633240985,0.2700971482
1p46G-gemma-aquila-fr-29BT,6,6500,13.631488,0.24808682310000002,0.2658885002,0.26284968070000003,0.2758897258
1p46G-gemma-aquila-fr-29BT,6,7000,14.680064,0.24818318760000002,0.2647134209,0.2618793598,0.2763657734
1p46G-gemma-aquila-fr-29BT,6,7500,15.72864,0.2513173912,0.2672429236,0.2662082548,0.2762499775
1p46G-gemma-aquila-fr-29BT,6,8000,16.777216,0.25154489550000003,0.2645194201,0.2620367598,0.2741396332
1p46G-gemma-aquila-fr-29BT,6,8500,17.825792,0.2517283044,0.2670541892,0.2637996005,0.2830824208
1p46G-gemma-aquila-fr-29BT,6,9000,18.874368,0.2499498813,0.2659436571,0.2638224142,0.2823125138
1p46G-gemma-aquila-fr-29BT,6,9500,19.922944,0.2500171148,0.2669237285,0.2627501977,0.2827353814
baseline-fr-,42,0,0.0,0.25,0.25,0.25,0.25
1p46G-gemma-commoncrawl-fr-29BT,4,0,0.0,0.2232703477,0.24615806,0.2479155431,0.2546316154
1p46G-gemma-commoncrawl-fr-29BT,4,1000,2.097152,0.2324429633,0.2536523412,0.2562123915,0.2612138335
1p46G-gemma-commoncrawl-fr-29BT,4,10000,20.97152,0.2514973803,0.26977913130000003,0.2623428028,0.27190418580000003
1p46G-gemma-commoncrawl-fr-29BT,4,10500,22.020096,0.2456647211,0.26646053540000003,0.2624353044,0.2810326777
1p46G-gemma-commoncrawl-fr-29BT,4,11000,23.068672,0.24925862210000002,0.2667808645,0.2653843844,0.2790139492
1p46G-gemma-commoncrawl-fr-29BT,4,11500,24.117248,0.2466211681,0.2683842063,0.2646053989,0.28532604970000003
1p46G-gemma-commoncrawl-fr-29BT,4,12000,25.165824,0.24795908360000002,0.2670075002,0.2654221807,0.28139973700000004
1p46G-gemma-commoncrawl-fr-29BT,4,12500,26.2144,0.24967029840000002,0.2706699406,0.2661706028,0.2819063119
1p46G-gemma-commoncrawl-fr-29BT,4,13000,27.262976,0.2512935251,0.2689366018,0.2648696961,0.2832212881
1p46G-gemma-commoncrawl-fr-29BT,4,13500,28.311552,0.24991275810000002,0.2690549621,0.26752360810000003,0.2794583289
1p46G-gemma-commoncrawl-fr-29BT,4,14000,29.360128,0.2501608912,0.2663533615,0.2652138368,0.2899910966
1p46G-gemma-commoncrawl-fr-29BT,4,1500,3.145728,0.234780958,0.2565028473,0.2587928091,0.2656391245
1p46G-gemma-commoncrawl-fr-29BT,4,2000,4.194304,0.2320155008,0.25828494350000003,0.2589297702,0.2673302768
1p46G-gemma-commoncrawl-fr-29BT,4,2500,5.24288,0.2363769181,0.2600963995,0.2632668713,0.2703610802
1p46G-gemma-commoncrawl-fr-29BT,4,3000,6.291456,0.2396915479,0.25972254100000003,0.2619829325,0.26660064850000004
1p46G-gemma-commoncrawl-fr-29BT,4,3500,7.340032,0.2433630014,0.2633601855,0.2585977444,0.2698480156
1p46G-gemma-commoncrawl-fr-29BT,4,4000,8.388608,0.24107785810000001,0.2620084377,0.2604632436,0.2715623647
1p46G-gemma-commoncrawl-fr-29BT,4,4500,9.437184,0.24437432990000002,0.2626320709,0.2565925318,0.27190349880000003
1p46G-gemma-commoncrawl-fr-29BT,4,500,1.048576,0.2240213802,0.2522502195,0.2566965835,0.2538983302
1p46G-gemma-commoncrawl-fr-29BT,4,5000,10.48576,0.2448073483,0.2606729629,0.26064121,0.2703260494
1p46G-gemma-commoncrawl-fr-29BT,4,5500,11.534336,0.24769899050000002,0.2647353729,0.2612018736,0.2745061781
1p46G-gemma-commoncrawl-fr-29BT,4,6000,12.582912,0.2444309388,0.2653913107,0.2611592823,0.2783829135
1p46G-gemma-commoncrawl-fr-29BT,4,6500,13.631488,0.24474751490000002,0.2627592493,0.262217688,0.2796459693
1p46G-gemma-commoncrawl-fr-29BT,4,7000,14.680064,0.2470365508,0.264183388,0.264256147,0.2796266542
1p46G-gemma-commoncrawl-fr-29BT,4,7500,15.72864,0.25220026900000003,0.2697756481,0.2643707394,0.275060705
1p46G-gemma-commoncrawl-fr-29BT,4,8000,16.777216,0.2460251862,0.2693871972,0.2646631978,0.2791958926
1p46G-gemma-commoncrawl-fr-29BT,4,8500,17.825792,0.2497943766,0.2664120592,0.2632969717,0.2795799879
1p46G-gemma-commoncrawl-fr-29BT,4,9000,18.874368,0.2482020685,0.2663606558,0.265927756,0.2768727463
1p46G-gemma-commoncrawl-fr-29BT,4,9500,19.922944,0.24838221900000002,0.26731563280000004,0.2644650772,0.2825379421
1p46G-gemma-commoncrawl-fr-29BT,3,0,0.0,0.2201144492,0.24357234090000002,0.2470427454,0.2561783379
1p46G-gemma-commoncrawl-fr-29BT,3,1000,2.097152,0.23061317080000002,0.2520058183,0.2500761134,0.2569741141
1p46G-gemma-commoncrawl-fr-29BT,3,10000,20.97152,0.2486947363,0.2682203414,0.2657903152,0.2779997416
1p46G-gemma-commoncrawl-fr-29BT,3,10500,22.020096,0.24979238210000002,0.2690315782,0.2692445592,0.2754672138
1p46G-gemma-commoncrawl-fr-29BT,3,11000,23.068672,0.24784427650000002,0.26538362520000003,0.2693977192,0.2764829529
1p46G-gemma-commoncrawl-fr-29BT,3,11500,24.117248,0.24755544880000002,0.26262334190000003,0.26891367110000003,0.2787167158
1p46G-gemma-commoncrawl-fr-29BT,3,12000,25.165824,0.2520265572,0.2678799987,0.2694178176,0.2800311921
1p46G-gemma-commoncrawl-fr-29BT,3,12500,26.2144,0.2482976997,0.2652548191,0.2701649674,0.2767729939
1p46G-gemma-commoncrawl-fr-29BT,3,13000,27.262976,0.24830879220000002,0.2655111704,0.2690645652,0.2760855769
1p46G-gemma-commoncrawl-fr-29BT,3,13500,28.311552,0.2490666221,0.2647331405,0.2698174486,0.27785558860000004
1p46G-gemma-commoncrawl-fr-29BT,3,14000,29.360128,0.2489835839,0.265202614,0.2701032034,0.28114314490000003
1p46G-gemma-commoncrawl-fr-29BT,3,1500,3.145728,0.2321952915,0.256275556,0.2588965308,0.2620045501
1p46G-gemma-commoncrawl-fr-29BT,3,2000,4.194304,0.2330351146,0.25495533670000003,0.2554843525,0.2638294201
1p46G-gemma-commoncrawl-fr-29BT,3,2500,5.24288,0.236003135,0.2547998492,0.259867984,0.2703878119
1p46G-gemma-commoncrawl-fr-29BT,3,3000,6.291456,0.2363646688,0.2555616753,0.25729299510000003,0.2704624203
1p46G-gemma-commoncrawl-fr-29BT,3,3500,7.340032,0.2419869957,0.2608586801,0.26237417350000003,0.27071695970000004
1p46G-gemma-commoncrawl-fr-29BT,3,4000,8.388608,0.2384053834,0.256577225,0.26126976350000003,0.2698135761
