runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.4148171679,0.4300830963,0.4384653395,0.427630544
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.4457907263,0.48368225730000003,0.4887930861,0.4395282467
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.41307355640000004,0.4384471874,0.44031786370000003,0.45591557250000003
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.422666949,0.4386166072,0.4440440895,0.4567324177
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.41798672880000004,0.43779976200000004,0.4422137512,0.4564722373
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.4132096973,0.434632218,0.44025634820000004,0.4480466308
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.4214900869,0.43864686070000003,0.443336157,0.45438776950000004
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.4230289829,0.43818095640000004,0.4463221799,0.45794860930000003
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.4160101652,0.4380871705,0.4440894698,0.4512837579
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.42199128700000005,0.436486759,0.44487303600000005,0.4590407616
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.4190970331,0.4406163651,0.4457695488,0.46163348860000003
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.4466257236,0.477035558,0.48636977870000003,0.4346775983
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.4359563139,0.4631824691,0.47945382300000006,0.4370767028
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.43384159250000004,0.4666162441,0.47951130470000003,0.44052257920000004
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.4337568827,0.45278735810000004,0.46527399610000003,0.4306901837
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.4288225328,0.45365260890000003,0.4704594502,0.44349952600000003
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.4320626853,0.4540035497,0.4646840524,0.448400597
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.4158619229,0.4496440169,0.45644601760000003,0.4535013412
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.4420181118,0.4979498195,0.5042677639,0.4151560073
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.4274530566,0.4423226639,0.4537837075,0.46315524090000004
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.4193582219,0.4381597789,0.44785603360000004,0.4545057583
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.4262368649,0.4409128497,0.4504497691,0.4449879994
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.4266271354,0.44901474360000004,0.45874427700000003,0.4579183558
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.4172666949,0.43751537890000003,0.44484379100000004,0.4572890825
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.41520340450000004,0.442065509,0.4437153345,0.4556130373
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.413687703,0.4423740949,0.4500988282,0.4458290474
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.4137724128,0.4372400718,0.4452703657,0.4556039612
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.42138924180000004,0.4497952845,0.44904903090000003,0.45533167950000003
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.4213327686,0.4369405619,0.4457110587,0.4485609407
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.4148171679,0.4300830963,0.4384653395,0.427630544
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.4475524899,0.47877816100000004,0.4847391138,0.44408341910000004
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.42403138300000004,0.4437960106,0.4554990823,0.4325265727
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.4318972994,0.44008692850000003,0.45635828240000004,0.4325548093
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.42702648190000003,0.44073435390000004,0.45400758360000004,0.43854097340000003
1p46G-gemma-aquila-fr-29BT,6,11500,24.117248,0.4340150461,0.4523607834,0.4552570541,0.43832919870000003
1p46G-gemma-aquila-fr-29BT,6,12000,25.165824,0.43551864630000003,0.4464310926,0.45966196730000003,0.4342147193
1p46G-gemma-aquila-fr-29BT,6,12500,26.2144,0.4303563865,0.4493747605,0.4578618826,0.4365230633
1p46G-gemma-aquila-fr-29BT,6,13000,27.262976,0.4309917105,0.45099332410000004,0.45407111600000005,0.43509509690000003
1p46G-gemma-aquila-fr-29BT,6,13500,28.311552,0.4265535185,0.4426615034,0.4519019382,0.42548052680000004
1p46G-gemma-aquila-fr-29BT,6,14000,29.360128,0.4314152599,0.4462283939,0.4555747161,0.4379449789
1p46G-gemma-aquila-fr-29BT,6,1500,3.145728,0.44320001610000004,0.4680442105,0.47962828500000004,0.4390855368
1p46G-gemma-aquila-fr-29BT,6,2000,4.194304,0.44117605530000004,0.4569986487,0.46577822150000003,0.4456172727
1p46G-gemma-aquila-fr-29BT,6,2500,5.24288,0.4407404046,0.4543484399,0.4649593594,0.4391823481
1p46G-gemma-aquila-fr-29BT,6,3000,6.291456,0.4386680382,0.44811318850000004,0.46249067180000003,0.44760190400000005
1p46G-gemma-aquila-fr-29BT,6,3500,7.340032,0.4409572215,0.45689578670000003,0.46638732580000003,0.43692543510000004
1p46G-gemma-aquila-fr-29BT,6,4000,8.388608,0.44478126700000004,0.45638450210000003,0.46778503860000004,0.4530142595
1p46G-gemma-aquila-fr-29BT,6,4500,9.437184,0.4433543091,0.45569472180000004,0.4676035175,0.4409945342
1p46G-gemma-aquila-fr-29BT,6,500,1.048576,0.45474879490000003,0.5497468788000001,0.5607783223,0.424451907
1p46G-gemma-aquila-fr-29BT,6,5000,10.48576,0.43648373370000004,0.4575401868,0.4666202779,0.43890704100000005
1p46G-gemma-aquila-fr-29BT,6,5500,11.534336,0.43490954200000004,0.4546812287,0.4644511002,0.4450091769
1p46G-gemma-aquila-fr-29BT,6,6000,12.582912,0.4320788205,0.4433603598,0.4489370928,0.4322210121
1p46G-gemma-aquila-fr-29BT,6,6500,13.631488,0.4287085779,0.4438232387,0.45343276660000004,0.43784009999999995
1p46G-gemma-aquila-fr-29BT,6,7000,14.680064,0.42905044270000003,0.45004033800000004,0.46056352230000003,0.4471571771
1p46G-gemma-aquila-fr-29BT,6,7500,15.72864,0.4324953107,0.4473417236,0.4632712128,0.4347169279
1p46G-gemma-aquila-fr-29BT,6,8000,16.777216,0.42264274620000003,0.43885863540000003,0.4556140457,0.429977209
1p46G-gemma-aquila-fr-29BT,6,8500,17.825792,0.4320929388,0.44676085600000004,0.4577438938,0.4490389464
1p46G-gemma-aquila-fr-29BT,6,9000,18.874368,0.43683669150000004,0.44830681110000004,0.4623424296,0.45416691880000004
1p46G-gemma-aquila-fr-29BT,6,9500,19.922944,0.42908573850000004,0.4445705008,0.4534660455,0.43512232510000004
baseline-fr-,42,0,0.0,0.4488263953,0.4488263953,0.4488263953,0.4488263953
1p46G-gemma-commoncrawl-fr-29BT,4,0,0.0,0.41737661600000003,0.4347814687,0.4728545209,0.42804300030000003
1p46G-gemma-commoncrawl-fr-29BT,4,1000,2.097152,0.4521550594,0.46958714020000003,0.4947258022,0.4421229907
1p46G-gemma-commoncrawl-fr-29BT,4,10000,20.97152,0.42282930960000004,0.4486547266,0.4539591779,0.45132006210000003
1p46G-gemma-commoncrawl-fr-29BT,4,10500,22.020096,0.41791613720000004,0.4453933967,0.4484711886,0.4385016438
1p46G-gemma-commoncrawl-fr-29BT,4,11000,23.068672,0.4197323572,0.4381597789,0.45215909320000003,0.44383534020000004
1p46G-gemma-commoncrawl-fr-29BT,4,11500,24.117248,0.4254411972,0.4508420564,0.4472005405,0.4451059882
1p46G-gemma-commoncrawl-fr-29BT,4,12000,25.165824,0.4222433997,0.4412093342,0.4463776447,0.4383685283
1p46G-gemma-commoncrawl-fr-29BT,4,12500,26.2144,0.4310320486,0.4474657631,0.4533843609,0.4440682923
1p46G-gemma-commoncrawl-fr-29BT,4,13000,27.262976,0.4210362841,0.4469060729,0.4519231157,0.4448306811
1p46G-gemma-commoncrawl-fr-29BT,4,13500,28.311552,0.42299671250000004,0.4483673181,0.450389262,0.4405195539
1p46G-gemma-commoncrawl-fr-29BT,4,14000,29.360128,0.42851193,0.4492779492,0.449230552,0.4423287146
1p46G-gemma-commoncrawl-fr-29BT,4,1500,3.145728,0.4491972731,0.46360601840000004,0.48530182930000004,0.44541860790000004
1p46G-gemma-commoncrawl-fr-29BT,4,2000,4.194304,0.4457735826,0.45914967430000003,0.4795718118,0.43711300700000005
1p46G-gemma-commoncrawl-fr-29BT,4,2500,5.24288,0.4412234525,0.457422198,0.47199935460000003,0.4472600391
1p46G-gemma-commoncrawl-fr-29BT,4,3000,6.291456,0.4265968819,0.4502309352,0.4641455396,0.44469454020000004
1p46G-gemma-commoncrawl-fr-29BT,4,3500,7.340032,0.4219257377,0.44669732360000003,0.4580343277,0.434683649
1p46G-gemma-commoncrawl-fr-29BT,4,4000,8.388608,0.430008471,0.4538190032,0.4609326153,0.43960287210000004
1p46G-gemma-commoncrawl-fr-29BT,4,4500,9.437184,0.4349216434,0.4524031383,0.4577045642,0.4432998528
1p46G-gemma-commoncrawl-fr-29BT,4,500,1.048576,0.4553538654,0.5405679595,0.5453853291,0.4227072871
1p46G-gemma-commoncrawl-fr-29BT,4,5000,10.48576,0.42904136670000004,0.4457836671,0.45687864300000003,0.4416298582
1p46G-gemma-commoncrawl-fr-29BT,4,5500,11.534336,0.4247655352,0.4374064662,0.45411347090000004,0.4408886469
1p46G-gemma-commoncrawl-fr-29BT,4,6000,12.582912,0.42999636960000004,0.4455295375,0.4619309816,0.4418718864
1p46G-gemma-commoncrawl-fr-29BT,4,6500,13.631488,0.4272856538,0.4437929852,0.4544976906,0.43721586900000003
1p46G-gemma-commoncrawl-fr-29BT,4,7000,14.680064,0.42683185090000003,0.4417932272,0.4496359493,0.4474778645
1p46G-gemma-commoncrawl-fr-29BT,4,7500,15.72864,0.4344224602,0.45178899180000004,0.45940783770000004,0.4416933906
1p46G-gemma-commoncrawl-fr-29BT,4,8000,16.777216,0.4332718178,0.44986184220000003,0.4608630322,0.450820879
1p46G-gemma-commoncrawl-fr-29BT,4,8500,17.825792,0.425527924,0.4525816341,0.4501139549,0.4473054194
1p46G-gemma-commoncrawl-fr-29BT,4,9000,18.874368,0.4218107743,0.4458260221,0.4577287671,0.4373429338
1p46G-gemma-commoncrawl-fr-29BT,4,9500,19.922944,0.4238246506,0.44452512050000004,0.4568302374,0.44249510900000005
1p46G-gemma-commoncrawl-fr-29BT,3,0,0.0,0.4216332869,0.43447792500000004,0.4402442468,0.47126621080000003
1p46G-gemma-commoncrawl-fr-29BT,3,1000,2.097152,0.44292672600000005,0.4759736593,0.4915522075,0.43376192490000004
1p46G-gemma-commoncrawl-fr-29BT,3,10000,20.97152,0.413379117,0.4376726972,0.44375768940000004,0.4505455719
1p46G-gemma-commoncrawl-fr-29BT,3,10500,22.020096,0.4127226155,0.4384562635,0.4406415764,0.4455113854
1p46G-gemma-commoncrawl-fr-29BT,3,11000,23.068672,0.4168310441,0.44137875400000004,0.4449950586,0.4431062302
1p46G-gemma-commoncrawl-fr-29BT,3,11500,24.117248,0.4124049535,0.44074342990000004,0.4485831266,0.4424709062
1p46G-gemma-commoncrawl-fr-29BT,3,12000,25.165824,0.4134638269,0.44314555980000003,0.4473578589,0.440649644
1p46G-gemma-commoncrawl-fr-29BT,3,12500,26.2144,0.4125320183,0.43892216780000004,0.4427199935,0.4477017406
