runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.515,0.515,0.515,0.456
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.508,0.508,0.508,0.521
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.45,0.45,0.45,0.536
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.465,0.465,0.465,0.531
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.458,0.458,0.458,0.548
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.48,0.48,0.48,0.549
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.47100000000000003,0.47100000000000003,0.47100000000000003,0.525
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.468,0.468,0.468,0.535
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.455,0.455,0.455,0.519
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.463,0.463,0.463,0.539
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.456,0.456,0.456,0.507
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.495,0.495,0.495,0.461
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.511,0.511,0.511,0.499
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.498,0.498,0.498,0.503
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.496,0.496,0.496,0.515
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.444,0.444,0.444,0.47600000000000003
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.463,0.463,0.463,0.524
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.502,0.502,0.502,0.559
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.506,0.506,0.506,0.464
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.508,0.508,0.508,0.497
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.47900000000000004,0.47900000000000004,0.47900000000000004,0.531
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.505,0.505,0.505,0.533
