runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.17300000000000001,0.198,0.197,0.22
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.191,0.221,0.213,0.229
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.257,0.241,0.242,0.28800000000000003
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.258,0.264,0.23500000000000001,0.294
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.264,0.262,0.243,0.289
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.251,0.256,0.244,0.302
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.251,0.251,0.24,0.301
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.258,0.25,0.24,0.294
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.26,0.252,0.242,0.297
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.261,0.246,0.244,0.293
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.259,0.251,0.243,0.294
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.20800000000000002,0.219,0.20400000000000001,0.246
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.209,0.231,0.226,0.251
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.20700000000000002,0.232,0.222,0.265
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.223,0.23700000000000002,0.219,0.271
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.22,0.244,0.225,0.27
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.245,0.244,0.25,0.28300000000000003
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.23500000000000001,0.233,0.245,0.301
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.17300000000000001,0.219,0.224,0.222
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.24,0.242,0.23500000000000001,0.293
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.252,0.248,0.243,0.28300000000000003
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.251,0.23900000000000002,0.243,0.28500000000000003
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.251,0.249,0.244,0.28800000000000003
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.252,0.256,0.233,0.302
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.254,0.259,0.246,0.307
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.23900000000000002,0.252,0.23800000000000002,0.28400000000000003
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.251,0.256,0.248,0.295
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.25,0.243,0.234,0.297
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.256,0.255,0.249,0.293
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.17300000000000001,0.199,0.196,0.219
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.2,0.232,0.20400000000000001,0.25
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.266,0.255,0.242,0.311
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.263,0.256,0.23500000000000001,0.298
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.264,0.252,0.249,0.322
1p46G-gemma-aquila-fr-29BT,6,11500,24.117248,0.271,0.255,0.247,0.319
1p46G-gemma-aquila-fr-29BT,6,12000,25.165824,0.268,0.256,0.241,0.302
1p46G-gemma-aquila-fr-29BT,6,12500,26.2144,0.267,0.259,0.25,0.319
1p46G-gemma-aquila-fr-29BT,6,13000,27.262976,0.275,0.26,0.249,0.303
1p46G-gemma-aquila-fr-29BT,6,13500,28.311552,0.28,0.26,0.254,0.315
1p46G-gemma-aquila-fr-29BT,6,14000,29.360128,0.27,0.261,0.246,0.312
1p46G-gemma-aquila-fr-29BT,6,1500,3.145728,0.195,0.241,0.222,0.244
1p46G-gemma-aquila-fr-29BT,6,2000,4.194304,0.218,0.244,0.222,0.253
1p46G-gemma-aquila-fr-29BT,6,2500,5.24288,0.234,0.24,0.221,0.268
1p46G-gemma-aquila-fr-29BT,6,3000,6.291456,0.224,0.247,0.23700000000000002,0.28300000000000003
1p46G-gemma-aquila-fr-29BT,6,3500,7.340032,0.226,0.243,0.228,0.28400000000000003
1p46G-gemma-aquila-fr-29BT,6,4000,8.388608,0.232,0.23700000000000002,0.228,0.28700000000000003
1p46G-gemma-aquila-fr-29BT,6,4500,9.437184,0.249,0.244,0.232,0.32
1p46G-gemma-aquila-fr-29BT,6,500,1.048576,0.179,0.214,0.209,0.23600000000000002
1p46G-gemma-aquila-fr-29BT,6,5000,10.48576,0.249,0.252,0.23900000000000002,0.305
1p46G-gemma-aquila-fr-29BT,6,5500,11.534336,0.248,0.245,0.23800000000000002,0.306
1p46G-gemma-aquila-fr-29BT,6,6000,12.582912,0.252,0.252,0.23800000000000002,0.319
1p46G-gemma-aquila-fr-29BT,6,6500,13.631488,0.249,0.252,0.23800000000000002,0.29
1p46G-gemma-aquila-fr-29BT,6,7000,14.680064,0.256,0.245,0.233,0.292
1p46G-gemma-aquila-fr-29BT,6,7500,15.72864,0.264,0.248,0.244,0.303
1p46G-gemma-aquila-fr-29BT,6,8000,16.777216,0.265,0.244,0.25,0.295
1p46G-gemma-aquila-fr-29BT,6,8500,17.825792,0.264,0.256,0.24,0.302
1p46G-gemma-aquila-fr-29BT,6,9000,18.874368,0.265,0.244,0.242,0.294
1p46G-gemma-aquila-fr-29BT,6,9500,19.922944,0.259,0.247,0.242,0.31
baseline-fr-,42,0,0.0,0.2,0.2,0.2,0.2
1p46G-gemma-commoncrawl-fr-29BT,4,0,0.0,0.162,0.195,0.201,0.183
1p46G-gemma-commoncrawl-fr-29BT,4,1000,2.097152,0.192,0.212,0.20400000000000001,0.20500000000000002
1p46G-gemma-commoncrawl-fr-29BT,4,10000,20.97152,0.259,0.25,0.244,0.322
1p46G-gemma-commoncrawl-fr-29BT,4,10500,22.020096,0.263,0.252,0.258,0.333
1p46G-gemma-commoncrawl-fr-29BT,4,11000,23.068672,0.266,0.255,0.257,0.321
1p46G-gemma-commoncrawl-fr-29BT,4,11500,24.117248,0.254,0.247,0.253,0.311
1p46G-gemma-commoncrawl-fr-29BT,4,12000,25.165824,0.262,0.251,0.25,0.33
1p46G-gemma-commoncrawl-fr-29BT,4,12500,26.2144,0.261,0.251,0.256,0.327
1p46G-gemma-commoncrawl-fr-29BT,4,13000,27.262976,0.269,0.258,0.258,0.329
1p46G-gemma-commoncrawl-fr-29BT,4,13500,28.311552,0.274,0.254,0.255,0.331
1p46G-gemma-commoncrawl-fr-29BT,4,14000,29.360128,0.273,0.26,0.253,0.34
1p46G-gemma-commoncrawl-fr-29BT,4,1500,3.145728,0.193,0.231,0.21,0.23700000000000002
1p46G-gemma-commoncrawl-fr-29BT,4,2000,4.194304,0.219,0.234,0.219,0.23900000000000002
1p46G-gemma-commoncrawl-fr-29BT,4,2500,5.24288,0.229,0.23700000000000002,0.224,0.252
1p46G-gemma-commoncrawl-fr-29BT,4,3000,6.291456,0.232,0.24,0.246,0.275
1p46G-gemma-commoncrawl-fr-29BT,4,3500,7.340032,0.255,0.249,0.23900000000000002,0.297
1p46G-gemma-commoncrawl-fr-29BT,4,4000,8.388608,0.241,0.234,0.23,0.278
1p46G-gemma-commoncrawl-fr-29BT,4,4500,9.437184,0.246,0.234,0.23900000000000002,0.28200000000000003
1p46G-gemma-commoncrawl-fr-29BT,4,500,1.048576,0.17,0.202,0.195,0.221
1p46G-gemma-commoncrawl-fr-29BT,4,5000,10.48576,0.25,0.23900000000000002,0.23900000000000002,0.28700000000000003
1p46G-gemma-commoncrawl-fr-29BT,4,5500,11.534336,0.254,0.241,0.23800000000000002,0.32
1p46G-gemma-commoncrawl-fr-29BT,4,6000,12.582912,0.253,0.246,0.246,0.291
1p46G-gemma-commoncrawl-fr-29BT,4,6500,13.631488,0.254,0.243,0.241,0.312
1p46G-gemma-commoncrawl-fr-29BT,4,7000,14.680064,0.26,0.245,0.242,0.307
1p46G-gemma-commoncrawl-fr-29BT,4,7500,15.72864,0.261,0.248,0.246,0.307
1p46G-gemma-commoncrawl-fr-29BT,4,8000,16.777216,0.25,0.248,0.247,0.32
1p46G-gemma-commoncrawl-fr-29BT,4,8500,17.825792,0.25,0.24,0.24,0.307
1p46G-gemma-commoncrawl-fr-29BT,4,9000,18.874368,0.269,0.257,0.253,0.321
1p46G-gemma-commoncrawl-fr-29BT,4,9500,19.922944,0.278,0.255,0.252,0.324
1p46G-gemma-commoncrawl-fr-29BT,3,0,0.0,0.161,0.194,0.187,0.20600000000000002
1p46G-gemma-commoncrawl-fr-29BT,3,1000,2.097152,0.196,0.222,0.20400000000000001,0.218
1p46G-gemma-commoncrawl-fr-29BT,3,10000,20.97152,0.254,0.255,0.23900000000000002,0.299
1p46G-gemma-commoncrawl-fr-29BT,3,10500,22.020096,0.244,0.248,0.23700000000000002,0.294
1p46G-gemma-commoncrawl-fr-29BT,3,11000,23.068672,0.23800000000000002,0.23900000000000002,0.23600000000000002,0.298
1p46G-gemma-commoncrawl-fr-29BT,3,11500,24.117248,0.23900000000000002,0.243,0.233,0.299
1p46G-gemma-commoncrawl-fr-29BT,3,12000,25.165824,0.249,0.248,0.23800000000000002,0.303
1p46G-gemma-commoncrawl-fr-29BT,3,12500,26.2144,0.254,0.247,0.23600000000000002,0.313
1p46G-gemma-commoncrawl-fr-29BT,3,13000,27.262976,0.248,0.248,0.23900000000000002,0.31
1p46G-gemma-commoncrawl-fr-29BT,3,13500,28.311552,0.25,0.249,0.23900000000000002,0.307
1p46G-gemma-commoncrawl-fr-29BT,3,14000,29.360128,0.254,0.247,0.23900000000000002,0.299
1p46G-gemma-commoncrawl-fr-29BT,3,1500,3.145728,0.199,0.228,0.212,0.232
1p46G-gemma-commoncrawl-fr-29BT,3,2000,4.194304,0.20700000000000002,0.225,0.216,0.24
1p46G-gemma-commoncrawl-fr-29BT,3,2500,5.24288,0.20800000000000002,0.23600000000000002,0.217,0.259
1p46G-gemma-commoncrawl-fr-29BT,3,3000,6.291456,0.227,0.23700000000000002,0.223,0.246
1p46G-gemma-commoncrawl-fr-29BT,3,3500,7.340032,0.214,0.244,0.225,0.259
1p46G-gemma-commoncrawl-fr-29BT,3,4000,8.388608,0.229,0.232,0.228,0.28400000000000003
1p46G-gemma-commoncrawl-fr-29BT,3,4500,9.437184,0.213,0.23,0.22,0.275
1p46G-gemma-commoncrawl-fr-29BT,3,500,1.048576,0.182,0.212,0.20600000000000002,0.22
1p46G-gemma-commoncrawl-fr-29BT,3,5000,10.48576,0.231,0.23800000000000002,0.225,0.28
1p46G-gemma-commoncrawl-fr-29BT,3,5500,11.534336,0.241,0.252,0.243,0.289
1p46G-gemma-commoncrawl-fr-29BT,3,6000,12.582912,0.229,0.23800000000000002,0.23500000000000001,0.29
1p46G-gemma-commoncrawl-fr-29BT,3,6500,13.631488,0.241,0.25,0.243,0.291
1p46G-gemma-commoncrawl-fr-29BT,3,7000,14.680064,0.253,0.252,0.242,0.272
1p46G-gemma-commoncrawl-fr-29BT,3,7500,15.72864,0.247,0.23900000000000002,0.251,0.289
1p46G-gemma-commoncrawl-fr-29BT,3,8000,16.777216,0.24,0.253,0.231,0.28700000000000003
1p46G-gemma-commoncrawl-fr-29BT,3,8500,17.825792,0.246,0.247,0.23600000000000002,0.302
1p46G-gemma-commoncrawl-fr-29BT,3,9000,18.874368,0.241,0.249,0.23900000000000002,0.296
1p46G-gemma-commoncrawl-fr-29BT,3,9500,19.922944,0.234,0.253,0.234,0.28700000000000003
1p46G-gemma-commoncrawl-fr-29BT,6,0,0.0,0.17300000000000001,0.199,0.196,0.219
1p46G-gemma-commoncrawl-fr-29BT,6,1000,2.097152,0.197,0.223,0.215,0.245
1p46G-gemma-commoncrawl-fr-29BT,6,10000,20.97152,0.255,0.26,0.234,0.307
1p46G-gemma-commoncrawl-fr-29BT,6,10500,22.020096,0.255,0.249,0.229,0.294
1p46G-gemma-commoncrawl-fr-29BT,6,11000,23.068672,0.249,0.257,0.23600000000000002,0.309
1p46G-gemma-commoncrawl-fr-29BT,6,11500,24.117248,0.252,0.258,0.23500000000000001,0.309
1p46G-gemma-commoncrawl-fr-29BT,6,12000,25.165824,0.253,0.257,0.229,0.292
1p46G-gemma-commoncrawl-fr-29BT,6,12500,26.2144,0.261,0.26,0.23,0.307
1p46G-gemma-commoncrawl-fr-29BT,6,13000,27.262976,0.27,0.259,0.24,0.31
1p46G-gemma-commoncrawl-fr-29BT,6,13500,28.311552,0.27,0.264,0.231,0.317
1p46G-gemma-commoncrawl-fr-29BT,6,14000,29.360128,0.273,0.26,0.23800000000000002,0.312
1p46G-gemma-commoncrawl-fr-29BT,6,1500,3.145728,0.209,0.226,0.20600000000000002,0.23800000000000002
1p46G-gemma-commoncrawl-fr-29BT,6,2000,4.194304,0.2,0.232,0.214,0.23800000000000002
1p46G-gemma-commoncrawl-fr-29BT,6,2500,5.24288,0.216,0.229,0.219,0.243
1p46G-gemma-commoncrawl-fr-29BT,6,3000,6.291456,0.228,0.23900000000000002,0.226,0.292
1p46G-gemma-commoncrawl-fr-29BT,6,3500,7.340032,0.22,0.23800000000000002,0.221,0.275
1p46G-gemma-commoncrawl-fr-29BT,6,4000,8.388608,0.24,0.242,0.224,0.259
1p46G-gemma-commoncrawl-fr-29BT,6,4500,9.437184,0.243,0.244,0.241,0.28600000000000003
1p46G-gemma-commoncrawl-fr-29BT,6,500,1.048576,0.169,0.218,0.20400000000000001,0.234
