runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.515,0.515,0.515,0.524
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.585,0.585,0.585,0.496
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.6980000000000001,0.6980000000000001,0.6980000000000001,0.558
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.708,0.708,0.708,0.5740000000000001
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.708,0.708,0.708,0.548
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.721,0.721,0.721,0.54
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.723,0.723,0.723,0.583
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.719,0.719,0.719,0.554
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.718,0.718,0.718,0.534
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.717,0.717,0.717,0.54
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.714,0.714,0.714,0.553
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.633,0.633,0.633,0.545
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.625,0.625,0.625,0.536
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.661,0.661,0.661,0.533
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.679,0.679,0.679,0.53
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.668,0.668,0.668,0.543
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.669,0.669,0.669,0.562
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.67,0.67,0.67,0.559
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.517,0.517,0.517,0.493
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.679,0.679,0.679,0.5630000000000001
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.6930000000000001,0.6930000000000001,0.6930000000000001,0.548
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.687,0.687,0.687,0.512
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.681,0.681,0.681,0.55
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.6980000000000001,0.6980000000000001,0.6980000000000001,0.5750000000000001
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.706,0.706,0.706,0.561
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.712,0.712,0.712,0.58
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.713,0.713,0.713,0.581
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.723,0.723,0.723,0.561
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.708,0.708,0.708,0.541
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.515,0.515,0.515,0.523
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.587,0.587,0.587,0.539
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.716,0.716,0.716,0.51
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.716,0.716,0.716,0.59
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.723,0.723,0.723,0.614
1p46G-gemma-aquila-fr-29BT,6,11500,24.117248,0.716,0.716,0.716,0.518
