runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.012195122000000001,0.0242970606
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.0762195122,0.1342480797
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.0731707317,0.1282478678
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.0792682927,0.1342188681
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.0792682927,0.1293848186
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.0701219512,0.1198533912
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.0701219512,0.12585669330000002
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.060975609800000004,0.1242292547
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.0731707317,0.1348246828
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.0701219512,0.1302461322
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.0213414634,0.0424531835
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.0091463415,0.0496340472
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.0274390244,0.0757258641
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.0426829268,0.07732603510000001
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.0365853659,0.0757333537
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.0487804878,0.09103385630000001
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.0396341463,0.0820847876
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.0,0.0152685654
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.0518292683,0.1034464201
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.0670731707,0.1101396319
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.0579268293,0.1011691135
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.0579268293,0.103335983
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.0731707317,0.12156995420000001
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.0701219512,0.1276188419
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.060975609800000004,0.12135971840000001
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.0701219512,0.1263616082
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.0762195122,0.1218765334
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.0670731707,0.1358998476
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.0243902439,0.038597225900000004
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.0487804878,0.1428293036
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.060975609800000004,0.13570614
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.0579268293,0.1494223656
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.0548780488,0.1333176697
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.0640243902,0.1322239234
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.060975609800000004,0.1303452126
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.0640243902,0.1378865336
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.0579268293,0.13517395670000001
