runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.19,0.23500000000000001,0.247,0.247
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.187,0.23900000000000002,0.229,0.251
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.203,0.246,0.223,0.265
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.198,0.253,0.23,0.251
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.185,0.258,0.23500000000000001,0.253
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.193,0.259,0.23700000000000002,0.247
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.196,0.257,0.23700000000000002,0.25
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.198,0.257,0.224,0.258
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.19,0.255,0.231,0.245
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.194,0.253,0.231,0.25
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.199,0.255,0.23700000000000002,0.255
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.194,0.253,0.229,0.249
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.178,0.232,0.226,0.251
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.187,0.23800000000000002,0.23,0.256
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.18,0.23800000000000002,0.242,0.245
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.192,0.23500000000000001,0.23900000000000002,0.23500000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.193,0.23900000000000002,0.227,0.251
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.189,0.23700000000000002,0.233,0.259
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.187,0.252,0.23900000000000002,0.213
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.188,0.234,0.23500000000000001,0.25
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.19,0.242,0.222,0.253
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.196,0.234,0.22,0.243
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.188,0.23,0.216,0.242
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.2,0.248,0.218,0.23900000000000002
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.2,0.25,0.23,0.234
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.202,0.249,0.223,0.243
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.192,0.23900000000000002,0.216,0.251
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.195,0.259,0.224,0.259
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.194,0.252,0.23,0.251
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.199,0.246,0.263,0.26
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.184,0.233,0.243,0.223
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.195,0.244,0.246,0.263
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.195,0.241,0.244,0.27
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.189,0.23900000000000002,0.244,0.259
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.194,0.246,0.23600000000000002,0.261
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.19,0.24,0.241,0.275
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.192,0.247,0.245,0.259
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.196,0.247,0.234,0.257
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.193,0.245,0.24,0.265
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.195,0.246,0.244,0.268
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.187,0.243,0.23900000000000002,0.242
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.181,0.234,0.221,0.245
1p46G-gemma-commoncrawl-hi-29BT,6,2500,5.24288,0.187,0.23900000000000002,0.225,0.249
1p46G-gemma-commoncrawl-hi-29BT,6,3000,6.291456,0.192,0.254,0.231,0.248
1p46G-gemma-commoncrawl-hi-29BT,6,3500,7.340032,0.183,0.245,0.24,0.243
1p46G-gemma-commoncrawl-hi-29BT,6,4000,8.388608,0.181,0.234,0.229,0.246
1p46G-gemma-commoncrawl-hi-29BT,6,4500,9.437184,0.167,0.234,0.231,0.229
1p46G-gemma-commoncrawl-hi-29BT,6,500,1.048576,0.17300000000000001,0.226,0.23600000000000002,0.252
1p46G-gemma-commoncrawl-hi-29BT,6,5000,10.48576,0.179,0.23900000000000002,0.23700000000000002,0.23500000000000001
1p46G-gemma-commoncrawl-hi-29BT,6,5500,11.534336,0.183,0.246,0.232,0.233
1p46G-gemma-commoncrawl-hi-29BT,6,6000,12.582912,0.195,0.245,0.245,0.23500000000000001
1p46G-gemma-commoncrawl-hi-29BT,6,6500,13.631488,0.184,0.233,0.234,0.234
1p46G-gemma-commoncrawl-hi-29BT,6,7000,14.680064,0.194,0.251,0.23900000000000002,0.246
1p46G-gemma-commoncrawl-hi-29BT,6,7500,15.72864,0.19,0.244,0.234,0.246
1p46G-gemma-commoncrawl-hi-29BT,6,8000,16.777216,0.191,0.229,0.228,0.23500000000000001
1p46G-gemma-commoncrawl-hi-29BT,6,8500,17.825792,0.185,0.251,0.23600000000000002,0.256
1p46G-gemma-commoncrawl-hi-29BT,6,9000,18.874368,0.186,0.247,0.233,0.272
1p46G-gemma-commoncrawl-hi-29BT,6,9500,19.922944,0.196,0.248,0.234,0.271
1p46G-gemma-commoncrawl-hi-29BT,5,0,0.0,0.188,0.249,0.23700000000000002,0.253
1p46G-gemma-commoncrawl-hi-29BT,5,1000,2.097152,0.18,0.245,0.23900000000000002,0.25
1p46G-gemma-commoncrawl-hi-29BT,5,10000,20.97152,0.2,0.23800000000000002,0.227,0.259
1p46G-gemma-commoncrawl-hi-29BT,5,10500,22.020096,0.194,0.233,0.225,0.259
1p46G-gemma-commoncrawl-hi-29BT,5,11000,23.068672,0.192,0.228,0.233,0.266
1p46G-gemma-commoncrawl-hi-29BT,5,11500,24.117248,0.192,0.234,0.224,0.249
1p46G-gemma-commoncrawl-hi-29BT,5,12000,25.165824,0.191,0.23,0.219,0.265
1p46G-gemma-commoncrawl-hi-29BT,5,12500,26.2144,0.192,0.234,0.229,0.263
1p46G-gemma-commoncrawl-hi-29BT,5,13000,27.262976,0.203,0.243,0.224,0.263
