runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi,prefix_match
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.385,0.385,0.537,0.455,0.0
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.515,0.426,0.617,0.467,0.10300000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.421,0.386,0.603,0.384,0.038
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.41100000000000003,0.382,0.606,0.382,0.003
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.484,0.403,0.604,0.383,0.067
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.402,0.378,0.589,0.382,0.055
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.444,0.394,0.614,0.384,0.038
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.41300000000000003,0.386,0.606,0.385,0.054
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.406,0.385,0.5680000000000001,0.384,0.134
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.403,0.386,0.579,0.383,0.136
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.418,0.386,0.595,0.382,0.108
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.39,0.385,0.51,0.385,0.056
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.422,0.388,0.607,0.384,0.025
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.40700000000000003,0.39,0.609,0.383,0.012
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.41400000000000003,0.387,0.581,0.385,0.03
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.538,0.47100000000000003,0.615,0.383,0.043000000000000003
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.453,0.402,0.615,0.383,0.041
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.46,0.383,0.615,0.383,0.01
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.591,0.46900000000000003,0.615,0.616,0.001
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.434,0.376,0.617,0.383,0.028
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.615,0.507,0.615,0.386,0.139
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.447,0.386,0.614,0.383,0.021
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.5630000000000001,0.453,0.615,0.41000000000000003,0.17300000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.422,0.388,0.604,0.395,0.04
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.444,0.392,0.613,0.383,0.047
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.47000000000000003,0.40700000000000003,0.614,0.482,0.132
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.393,0.383,0.5740000000000001,0.389,0.07
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.462,0.395,0.608,0.385,0.047
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.446,0.389,0.605,0.383,0.012
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.385,0.385,0.467,0.47800000000000004,0.0
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.523,0.419,0.615,0.41400000000000003,0.017
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.483,0.387,0.614,0.537,0.051000000000000004
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.511,0.399,0.615,0.606,0.079
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.561,0.441,0.615,0.613,0.122
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.594,0.489,0.615,0.615,0.152
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.488,0.403,0.614,0.6000000000000001,0.049
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.562,0.434,0.615,0.612,0.076
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.547,0.431,0.614,0.61,0.094
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.562,0.465,0.615,0.606,0.136
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.5710000000000001,0.47300000000000003,0.615,0.606,0.14
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.552,0.4,0.615,0.548,0.0
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.53,0.38,0.615,0.428,0.0
1p46G-gemma-commoncrawl-hi-29BT,6,2500,5.24288,0.53,0.43,0.615,0.404,0.002
1p46G-gemma-commoncrawl-hi-29BT,6,3000,6.291456,0.604,0.541,0.615,0.607,0.053
1p46G-gemma-commoncrawl-hi-29BT,6,3500,7.340032,0.48,0.395,0.615,0.434,0.001
1p46G-gemma-commoncrawl-hi-29BT,6,4000,8.388608,0.582,0.47600000000000003,0.615,0.384,0.077
1p46G-gemma-commoncrawl-hi-29BT,6,4500,9.437184,0.554,0.44,0.614,0.468,0.054
1p46G-gemma-commoncrawl-hi-29BT,6,500,1.048576,0.532,0.392,0.617,0.618,0.0
1p46G-gemma-commoncrawl-hi-29BT,6,5000,10.48576,0.443,0.381,0.615,0.425,0.026000000000000002
