runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.261,0.262,0.258,0.261
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.25,0.231,0.23,0.253
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.253,0.224,0.225,0.243
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.258,0.23700000000000002,0.233,0.23500000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.263,0.231,0.234,0.248
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.26,0.225,0.231,0.247
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.262,0.222,0.23,0.241
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.259,0.228,0.231,0.23900000000000002
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.26,0.233,0.23,0.247
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.261,0.24,0.234,0.23700000000000002
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.265,0.23500000000000001,0.231,0.23600000000000002
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.262,0.23800000000000002,0.231,0.264
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.254,0.241,0.24,0.257
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.253,0.23800000000000002,0.23700000000000002,0.249
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.23800000000000002,0.23800000000000002,0.241,0.242
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.247,0.234,0.234,0.234
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.256,0.241,0.241,0.254
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.256,0.25,0.251,0.266
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.262,0.225,0.23800000000000002,0.254
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.258,0.244,0.245,0.244
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.247,0.23900000000000002,0.252,0.247
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.264,0.244,0.23900000000000002,0.243
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.26,0.246,0.23900000000000002,0.23600000000000002
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.253,0.241,0.231,0.24
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.252,0.247,0.231,0.258
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.263,0.23800000000000002,0.223,0.247
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.258,0.23,0.23,0.244
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.257,0.233,0.218,0.244
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.252,0.23900000000000002,0.22,0.23500000000000001
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.267,0.275,0.249,0.248
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.252,0.233,0.23800000000000002,0.246
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.265,0.23900000000000002,0.243,0.253
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.257,0.229,0.241,0.24
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.259,0.232,0.242,0.252
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.262,0.222,0.243,0.254
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.265,0.225,0.244,0.24
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.256,0.23,0.251,0.246
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.257,0.231,0.252,0.262
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.261,0.225,0.242,0.256
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.265,0.228,0.244,0.248
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.256,0.23500000000000001,0.23700000000000002,0.243
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.251,0.23700000000000002,0.249,0.248
1p46G-gemma-commoncrawl-hi-29BT,6,2500,5.24288,0.262,0.234,0.234,0.246
1p46G-gemma-commoncrawl-hi-29BT,6,3000,6.291456,0.259,0.23600000000000002,0.24,0.247
1p46G-gemma-commoncrawl-hi-29BT,6,3500,7.340032,0.25,0.234,0.23500000000000001,0.25
1p46G-gemma-commoncrawl-hi-29BT,6,4000,8.388608,0.251,0.23,0.231,0.246
1p46G-gemma-commoncrawl-hi-29BT,6,4500,9.437184,0.253,0.234,0.23700000000000002,0.249
1p46G-gemma-commoncrawl-hi-29BT,6,500,1.048576,0.257,0.23900000000000002,0.23900000000000002,0.23600000000000002
1p46G-gemma-commoncrawl-hi-29BT,6,5000,10.48576,0.25,0.23,0.242,0.26
1p46G-gemma-commoncrawl-hi-29BT,6,5500,11.534336,0.258,0.223,0.232,0.251
1p46G-gemma-commoncrawl-hi-29BT,6,6000,12.582912,0.26,0.24,0.231,0.247
1p46G-gemma-commoncrawl-hi-29BT,6,6500,13.631488,0.249,0.245,0.23800000000000002,0.255
1p46G-gemma-commoncrawl-hi-29BT,6,7000,14.680064,0.255,0.229,0.234,0.242
1p46G-gemma-commoncrawl-hi-29BT,6,7500,15.72864,0.26,0.243,0.248,0.248
1p46G-gemma-commoncrawl-hi-29BT,6,8000,16.777216,0.26,0.231,0.248,0.255
1p46G-gemma-commoncrawl-hi-29BT,6,8500,17.825792,0.256,0.23600000000000002,0.243,0.249
1p46G-gemma-commoncrawl-hi-29BT,6,9000,18.874368,0.252,0.232,0.247,0.257
