runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.0077092511,0.0299216679
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.039647577100000005,0.07433733740000001
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.0440528634,0.0906670426
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.037444933900000005,0.0840985692
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.0385462555,0.0878641642
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.037444933900000005,0.0812304825
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.0385462555,0.0784260895
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.0341409692,0.0807531828
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.0352422907,0.0796884182
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.039647577100000005,0.0846047538
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.0121145374,0.036920845300000005
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.0143171806,0.0454017937
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.0231277533,0.0489071248
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.0286343612,0.061925511
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.0297356828,0.0628222802
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.039647577100000005,0.0701852283
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.0286343612,0.06651878580000001
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.0011013216000000001,0.0210691913
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.0253303965,0.0758303271
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.0385462555,0.0717236663
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.0440528634,0.0740004638
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.0385462555,0.078268867
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.0407488987,0.0786373643
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.039647577100000005,0.07540674800000001
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.045154185,0.0871081835
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.0363436123,0.0824489134
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.0440528634,0.0911947418
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.039647577100000005,0.0886863
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.0099118943,0.0311279224
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.041850220300000004,0.07504059390000001
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.051762114500000005,0.0805160821
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.0429515419,0.08097896930000001
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.039647577100000005,0.0766442247
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.0429515419,0.0849946523
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.0473568282,0.0792633796
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.045154185,0.0813551099
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.0495594714,0.0739355549
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.0429515419,0.0783148198
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.0143171806,0.035655674400000004
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.0176211454,0.0363957898
1p46G-gemma-commoncrawl-hi-29BT,6,2500,5.24288,0.0198237885,0.0475727065
1p46G-gemma-commoncrawl-hi-29BT,6,3000,6.291456,0.0198237885,0.0427507437
1p46G-gemma-commoncrawl-hi-29BT,6,3500,7.340032,0.0209251101,0.0566915637
1p46G-gemma-commoncrawl-hi-29BT,6,4000,8.388608,0.0275330396,0.0589479164
1p46G-gemma-commoncrawl-hi-29BT,6,4500,9.437184,0.0264317181,0.0637776589
1p46G-gemma-commoncrawl-hi-29BT,6,500,1.048576,0.0077092511,0.0119087632
1p46G-gemma-commoncrawl-hi-29BT,6,5000,10.48576,0.0330396476,0.06733663720000001
1p46G-gemma-commoncrawl-hi-29BT,6,5500,11.534336,0.037444933900000005,0.063743596
1p46G-gemma-commoncrawl-hi-29BT,6,6000,12.582912,0.031938326,0.0768947705
1p46G-gemma-commoncrawl-hi-29BT,6,6500,13.631488,0.0385462555,0.07678854040000001
1p46G-gemma-commoncrawl-hi-29BT,6,7000,14.680064,0.0407488987,0.0653298626
1p46G-gemma-commoncrawl-hi-29BT,6,7500,15.72864,0.0363436123,0.0776748795
1p46G-gemma-commoncrawl-hi-29BT,6,8000,16.777216,0.0429515419,0.0741251726
1p46G-gemma-commoncrawl-hi-29BT,6,8500,17.825792,0.0330396476,0.0789534182
1p46G-gemma-commoncrawl-hi-29BT,6,9000,18.874368,0.0473568282,0.0795177807
1p46G-gemma-commoncrawl-hi-29BT,6,9500,19.922944,0.0429515419,0.0691594972
1p46G-gemma-commoncrawl-hi-29BT,5,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-hi-29BT,5,1000,2.097152,0.0110132159,0.0287106082
1p46G-gemma-commoncrawl-hi-29BT,5,10000,20.97152,0.039647577100000005,0.07979191120000001
1p46G-gemma-commoncrawl-hi-29BT,5,10500,22.020096,0.0385462555,0.0749885545
1p46G-gemma-commoncrawl-hi-29BT,5,11000,23.068672,0.0407488987,0.0792898358
1p46G-gemma-commoncrawl-hi-29BT,5,11500,24.117248,0.0429515419,0.0776729731
1p46G-gemma-commoncrawl-hi-29BT,5,12000,25.165824,0.041850220300000004,0.08691711020000001
1p46G-gemma-commoncrawl-hi-29BT,5,12500,26.2144,0.0385462555,0.090987749
1p46G-gemma-commoncrawl-hi-29BT,5,13000,27.262976,0.0363436123,0.0917548489
1p46G-gemma-commoncrawl-hi-29BT,5,13500,28.311552,0.0363436123,0.08840096010000001
1p46G-gemma-commoncrawl-hi-29BT,5,14000,29.360128,0.0352422907,0.0827654329
1p46G-gemma-commoncrawl-hi-29BT,5,1500,3.145728,0.0121145374,0.0388795294
1p46G-gemma-commoncrawl-hi-29BT,5,2000,4.194304,0.0165198238,0.042786659500000004
1p46G-gemma-commoncrawl-hi-29BT,5,2500,5.24288,0.0198237885,0.0467495002
1p46G-gemma-commoncrawl-hi-29BT,5,3000,6.291456,0.0275330396,0.0585783521
1p46G-gemma-commoncrawl-hi-29BT,5,3500,7.340032,0.031938326,0.0668043657
1p46G-gemma-commoncrawl-hi-29BT,5,4000,8.388608,0.0275330396,0.0629412844
1p46G-gemma-commoncrawl-hi-29BT,5,4500,9.437184,0.0352422907,0.051520657500000004
1p46G-gemma-commoncrawl-hi-29BT,5,500,1.048576,0.0077092511,0.0164000613
1p46G-gemma-commoncrawl-hi-29BT,5,5000,10.48576,0.0363436123,0.065224936
1p46G-gemma-commoncrawl-hi-29BT,5,5500,11.534336,0.037444933900000005,0.0790824006
1p46G-gemma-commoncrawl-hi-29BT,5,6000,12.582912,0.031938326,0.0658237696
1p46G-gemma-commoncrawl-hi-29BT,5,6500,13.631488,0.0297356828,0.0726298541
1p46G-gemma-commoncrawl-hi-29BT,5,7000,14.680064,0.0352422907,0.0790047572
1p46G-gemma-commoncrawl-hi-29BT,5,7500,15.72864,0.0440528634,0.07940497120000001
1p46G-gemma-commoncrawl-hi-29BT,5,8000,16.777216,0.045154185,0.0786695154
1p46G-gemma-commoncrawl-hi-29BT,5,8500,17.825792,0.039647577100000005,0.079555912
1p46G-gemma-commoncrawl-hi-29BT,5,9000,18.874368,0.0407488987,0.0792992475
1p46G-gemma-commoncrawl-hi-29BT,5,9500,19.922944,0.037444933900000005,0.0781777397
1p46G-gemma-helios-hi-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-helios-hi-29BT,6,1000,2.097152,0.0154185022,0.033404557700000004
1p46G-gemma-helios-hi-29BT,6,10000,20.97152,0.037444933900000005,0.09223728040000001
1p46G-gemma-helios-hi-29BT,6,10500,22.020096,0.0363436123,0.0964508397
1p46G-gemma-helios-hi-29BT,6,11000,23.068672,0.0352422907,0.0943558347
1p46G-gemma-helios-hi-29BT,6,11500,24.117248,0.041850220300000004,0.1025945899
1p46G-gemma-helios-hi-29BT,6,12000,25.165824,0.0407488987,0.0983614662
1p46G-gemma-helios-hi-29BT,6,12500,26.2144,0.0341409692,0.09444814
1p46G-gemma-helios-hi-29BT,6,13000,27.262976,0.037444933900000005,0.0899079131
1p46G-gemma-helios-hi-29BT,6,13500,28.311552,0.0407488987,0.10199258580000001
1p46G-gemma-helios-hi-29BT,6,14000,29.360128,0.037444933900000005,0.101999242
1p46G-gemma-helios-hi-29BT,6,1500,3.145728,0.0165198238,0.0418319303
1p46G-gemma-helios-hi-29BT,6,2000,4.194304,0.0231277533,0.0571211972
1p46G-gemma-helios-hi-29BT,6,2500,5.24288,0.0198237885,0.049574936800000004
1p46G-gemma-helios-hi-29BT,6,3000,6.291456,0.0297356828,0.0762258571
1p46G-gemma-helios-hi-29BT,6,3500,7.340032,0.0220264317,0.062278987300000005
1p46G-gemma-helios-hi-29BT,6,4000,8.388608,0.0341409692,0.070407512
1p46G-gemma-helios-hi-29BT,6,4500,9.437184,0.0231277533,0.0641801679
1p46G-gemma-helios-hi-29BT,6,500,1.048576,0.0154185022,0.023052483000000002
1p46G-gemma-helios-hi-29BT,6,5000,10.48576,0.0242290749,0.0719027991
1p46G-gemma-helios-hi-29BT,6,5500,11.534336,0.0341409692,0.0858191854
1p46G-gemma-helios-hi-29BT,6,6000,12.582912,0.0242290749,0.0692761486
1p46G-gemma-helios-hi-29BT,6,6500,13.631488,0.0308370044,0.09173148710000001
1p46G-gemma-helios-hi-29BT,6,7000,14.680064,0.0308370044,0.0910615823
1p46G-gemma-helios-hi-29BT,6,7500,15.72864,0.0341409692,0.09218631540000001
1p46G-gemma-helios-hi-29BT,6,8000,16.777216,0.0264317181,0.0904245888
1p46G-gemma-helios-hi-29BT,6,8500,17.825792,0.0341409692,0.08428333340000001
1p46G-gemma-helios-hi-29BT,6,9000,18.874368,0.0308370044,0.0844602614
1p46G-gemma-helios-hi-29BT,6,9500,19.922944,0.0330396476,0.10235466680000001
1p46G-gemma-commoncrawl-hi-29BT,4,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-hi-29BT,4,1000,2.097152,0.0077092511,0.0224545027
1p46G-gemma-commoncrawl-hi-29BT,4,10000,20.97152,0.0363436123,0.0864663725
1p46G-gemma-commoncrawl-hi-29BT,4,10500,22.020096,0.039647577100000005,0.0820099975
1p46G-gemma-commoncrawl-hi-29BT,4,11000,23.068672,0.0407488987,0.0777157696
1p46G-gemma-commoncrawl-hi-29BT,4,11500,24.117248,0.0330396476,0.0743159904
1p46G-gemma-commoncrawl-hi-29BT,4,12000,25.165824,0.039647577100000005,0.08634031360000001
1p46G-gemma-commoncrawl-hi-29BT,4,12500,26.2144,0.041850220300000004,0.09118469650000001
1p46G-gemma-commoncrawl-hi-29BT,4,13000,27.262976,0.039647577100000005,0.0863957739
