runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.5322939866,0.4944320713,0.5144766147000001,0.5100222717
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.5233853007,0.4855233853,0.4899777283,0.5322939866
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.5167037862,0.4877505568,0.5011135857,0.5322939866
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.5122494432,0.5055679287,0.5055679287,0.5167037862
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.5300668151,0.5077951002000001,0.5144766147000001,0.5211581292
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.5122494432,0.5077951002000001,0.5100222717,0.5322939866
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.5211581292,0.5033407572,0.4988864143,0.5300668151
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.5278396437,0.5055679287,0.5144766147000001,0.5434298441000001
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.5233853007,0.4988864143,0.5100222717,0.5211581292
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.5278396437,0.5033407572,0.5189309577,0.5256124722000001
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.5256124722000001,0.4966592428,0.4988864143,0.5167037862
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.5167037862,0.5011135857,0.5033407572,0.5567928731
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.5256124722000001,0.4855233853,0.4966592428,0.5278396437
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.5278396437,0.4877505568,0.4966592428,0.5412026726
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.5211581292,0.4944320713,0.5011135857,0.5657015590000001
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.5233853007,0.4944320713,0.5033407572,0.5256124722000001
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.5478841871,0.5011135857,0.49220489980000004,0.561247216
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.5367483296000001,0.4877505568,0.5055679287,0.570155902
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.5211581292,0.4788418708,0.5144766147000001,0.5256124722000001
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.5478841871,0.5077951002000001,0.5167037862,0.570155902
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.5256124722000001,0.5055679287,0.5189309577,0.5456570156
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.5278396437,0.4899777283,0.5100222717,0.5545657016000001
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.5189309577,0.49220489980000004,0.4988864143,0.5478841871
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.5412026726,0.4944320713,0.5122494432,0.5590200445
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.5322939866,0.49220489980000004,0.5055679287,0.5434298441000001
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.5345211581,0.5033407572,0.5189309577,0.5278396437
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.5412026726,0.4988864143,0.4988864143,0.5389755011
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.5367483296000001,0.5256124722000001,0.5144766147000001,0.5434298441000001
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.5345211581,0.5055679287,0.5100222717,0.5501113586
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.5256124722000001,0.49220489980000004,0.47438752780000004,0.4899777283
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.5077951002000001,0.5055679287,0.4988864143,0.5278396437
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.5367483296000001,0.4988864143,0.5167037862,0.5924276169
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.5456570156,0.5122494432,0.5167037862,0.5857461024
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.5389755011,0.5033407572,0.5077951002000001,0.570155902
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.5567928731,0.5100222717,0.5211581292,0.5657015590000001
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.5545657016000001,0.5033407572,0.5300668151,0.5590200445
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.5434298441000001,0.4966592428,0.5233853007,0.5879732739
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.5501113586,0.5077951002000001,0.5077951002000001,0.6013363029000001
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.5523385301,0.5011135857,0.5211581292,0.5857461024
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.5412026726,0.5122494432,0.5144766147000001,0.579064588
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.5122494432,0.5033407572,0.5055679287,0.5545657016000001
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.5211581292,0.5189309577,0.5033407572,0.5723830735000001
