runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.001,3.77358e-05
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.023,0.0036325758
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.017,0.0026655959
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.017,0.0018748546
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.019,0.0019097004
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.018000000000000002,0.0022583064
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.018000000000000002,0.0021692002
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.018000000000000002,0.0031238475
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.018000000000000002,0.0016904011
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.018000000000000002,0.0014478956
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.017,0.0011955128
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.015,0.0026824176
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.015,0.0015985560000000001
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.017,0.0021444463
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.017,0.0059018121
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.023,0.0026176203000000003
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.02,0.0022129555
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.018000000000000002,0.0033942224000000003
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.016,0.0005
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.021,0.0058624043
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.018000000000000002,0.0025053116000000003
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.019,0.0013746032000000001
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.02,0.0031966839
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.02,0.0036492518000000003
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.016,0.0027548405
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.018000000000000002,0.001195116
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.016,0.0029413345
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.017,0.0019518258
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.017,0.0026728938000000002
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.001,0.0
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.022,0.0047788462
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.019,0.0034767546
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.02,0.0025512678
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.021,0.0028512052
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.02,0.0031117183
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.02,0.0036381365000000003
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.018000000000000002,0.0028887368
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.019,0.0030702572
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.02,0.003137805
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.018000000000000002,0.0022420188
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.013000000000000001,0.0051666667
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.018000000000000002,0.0006657509
1p46G-gemma-commoncrawl-hi-29BT,6,2500,5.24288,0.017,0.0039540561000000005
1p46G-gemma-commoncrawl-hi-29BT,6,3000,6.291456,0.017,0.0020036481000000003
1p46G-gemma-commoncrawl-hi-29BT,6,3500,7.340032,0.02,0.0034485653000000003
1p46G-gemma-commoncrawl-hi-29BT,6,4000,8.388608,0.026000000000000002,0.0029474969000000003
1p46G-gemma-commoncrawl-hi-29BT,6,4500,9.437184,0.02,0.0032723304
1p46G-gemma-commoncrawl-hi-29BT,6,500,1.048576,0.017,0.0005
1p46G-gemma-commoncrawl-hi-29BT,6,5000,10.48576,0.02,0.0038003501
1p46G-gemma-commoncrawl-hi-29BT,6,5500,11.534336,0.02,0.0011665491
1p46G-gemma-commoncrawl-hi-29BT,6,6000,12.582912,0.019,0.0048107582
1p46G-gemma-commoncrawl-hi-29BT,6,6500,13.631488,0.019,0.0037890332000000003
1p46G-gemma-commoncrawl-hi-29BT,6,7000,14.680064,0.018000000000000002,0.0027119769
1p46G-gemma-commoncrawl-hi-29BT,6,7500,15.72864,0.019,0.0018399933000000002
1p46G-gemma-commoncrawl-hi-29BT,6,8000,16.777216,0.017,0.0024601954000000002
1p46G-gemma-commoncrawl-hi-29BT,6,8500,17.825792,0.02,0.0040613636
1p46G-gemma-commoncrawl-hi-29BT,6,9000,18.874368,0.018000000000000002,0.0021375789
1p46G-gemma-commoncrawl-hi-29BT,6,9500,19.922944,0.019,0.0020047985
1p46G-gemma-commoncrawl-hi-29BT,5,0,0.0,0.0,5.55556e-05
1p46G-gemma-commoncrawl-hi-29BT,5,1000,2.097152,0.025,0.0008888889
1p46G-gemma-commoncrawl-hi-29BT,5,10000,20.97152,0.018000000000000002,0.0014419414
1p46G-gemma-commoncrawl-hi-29BT,5,10500,22.020096,0.018000000000000002,0.0012896687000000001
1p46G-gemma-commoncrawl-hi-29BT,5,11000,23.068672,0.017,0.0013119347
1p46G-gemma-commoncrawl-hi-29BT,5,11500,24.117248,0.018000000000000002,0.0011381904
1p46G-gemma-commoncrawl-hi-29BT,5,12000,25.165824,0.019,0.001913097
1p46G-gemma-commoncrawl-hi-29BT,5,12500,26.2144,0.017,0.0015203672
1p46G-gemma-commoncrawl-hi-29BT,5,13000,27.262976,0.016,0.0018075499
1p46G-gemma-commoncrawl-hi-29BT,5,13500,28.311552,0.016,0.0024280348
1p46G-gemma-commoncrawl-hi-29BT,5,14000,29.360128,0.018000000000000002,0.0020821946
