runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.20500000000000002,0.247,0.226,0.243
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.19,0.23500000000000001,0.225,0.246
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.187,0.222,0.23,0.23700000000000002
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.196,0.23500000000000001,0.231,0.227
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.183,0.225,0.23500000000000001,0.245
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.184,0.229,0.228,0.231
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.191,0.234,0.23,0.247
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.189,0.232,0.23,0.247
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.183,0.229,0.234,0.241
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.187,0.229,0.227,0.248
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.192,0.23700000000000002,0.231,0.253
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.194,0.218,0.22,0.254
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.18,0.221,0.217,0.20600000000000002
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.181,0.221,0.223,0.254
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.19,0.231,0.223,0.23600000000000002
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.184,0.233,0.227,0.232
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.182,0.226,0.233,0.229
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.183,0.231,0.23800000000000002,0.232
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.198,0.241,0.227,0.226
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.195,0.223,0.23600000000000002,0.25
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.189,0.23900000000000002,0.23500000000000001,0.245
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.188,0.228,0.229,0.231
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.197,0.228,0.234,0.23800000000000002
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.183,0.227,0.222,0.255
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.188,0.226,0.228,0.23500000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.19,0.24,0.23500000000000001,0.26
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.189,0.222,0.23500000000000001,0.244
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.188,0.23800000000000002,0.24,0.23700000000000002
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.17500000000000002,0.229,0.226,0.23600000000000002
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.199,0.244,0.241,0.23500000000000001
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.198,0.23500000000000001,0.221,0.23
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.17200000000000001,0.234,0.232,0.245
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.165,0.226,0.229,0.246
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.179,0.229,0.227,0.244
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.164,0.219,0.228,0.245
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.17400000000000002,0.221,0.23,0.23800000000000002
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.179,0.22,0.23600000000000002,0.248
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.176,0.217,0.228,0.248
