runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.257,0.232,0.242,0.27
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.279,0.28600000000000003,0.306,0.292
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.298,0.323,0.342,0.324
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.304,0.315,0.34400000000000003,0.326
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.304,0.321,0.352,0.331
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.303,0.324,0.35000000000000003,0.325
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.298,0.327,0.35000000000000003,0.326
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.301,0.319,0.34500000000000003,0.326
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.304,0.328,0.34700000000000003,0.32
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.303,0.321,0.35000000000000003,0.33
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.302,0.325,0.354,0.325
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.277,0.28600000000000003,0.309,0.303
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.28600000000000003,0.28400000000000003,0.316,0.28300000000000003
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.281,0.292,0.315,0.313
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.28300000000000003,0.303,0.311,0.309
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.28200000000000003,0.307,0.321,0.306
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.28800000000000003,0.307,0.337,0.319
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.293,0.314,0.328,0.314
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.265,0.264,0.297,0.31
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.292,0.308,0.324,0.326
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.299,0.315,0.338,0.324
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.295,0.315,0.334,0.325
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.289,0.321,0.342,0.327
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.28800000000000003,0.317,0.34800000000000003,0.327
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.297,0.31,0.334,0.313
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.296,0.325,0.34500000000000003,0.329
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.296,0.323,0.342,0.312
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.298,0.316,0.337,0.32
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.294,0.308,0.34600000000000003,0.312
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.262,0.231,0.256,0.265
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.276,0.28600000000000003,0.308,0.301
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.299,0.32,0.34,0.326
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.301,0.32,0.34,0.313
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.303,0.312,0.336,0.324
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.301,0.315,0.34700000000000003,0.333
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.304,0.322,0.343,0.318
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.305,0.317,0.343,0.314
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.305,0.317,0.34700000000000003,0.319
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.301,0.32,0.342,0.314
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.298,0.32,0.34700000000000003,0.325
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.274,0.291,0.311,0.308
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.28400000000000003,0.304,0.323,0.309
