runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.2470892626,0.3673997413,0.2496765847,0.2432082794
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.2639068564,0.3169469599,0.2897800776,0.319534282
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.22250970250000002,0.2626131953,0.2522639069,0.31565329880000004
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.2302716688,0.2742561449,0.2535575679,0.31565329880000004
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.22897800780000002,0.25873221220000003,0.2419146184,0.3053040103
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.2276843467,0.2716688228,0.2457956016,0.3311772316
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.23415265200000002,0.2664941785,0.254851229,0.3234152652
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.2199223803,0.2574385511,0.2432082794,0.3130659767
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.22250970250000002,0.2664941785,0.2457956016,0.3221216041
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.2263906856,0.2639068564,0.2419146184,0.3234152652
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.2186287193,0.2639068564,0.2457956016,0.3117723157
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.25614489,0.3014230272,0.2729624838,0.3298835705
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.2613195343,0.3091849935,0.28072445020000003,0.32600258730000004
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.254851229,0.28072445020000003,0.2652005175,0.3272962484
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.2483829237,0.2652005175,0.2522639069,0.3065976714
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.2470892626,0.2729624838,0.25614489,0.31565329880000004
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.2419146184,0.2729624838,0.2432082794,0.3130659767
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.2457956016,0.2781371281,0.2626131953,0.297542044
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.275549806,0.3298835705,0.3078913325,0.27037516170000003
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.2432082794,0.2652005175,0.254851229,0.3078913325
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.2367399741,0.2742561449,0.2522639069,0.3208279431
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.2393272962,0.2677878396,0.24450194050000001,0.3221216041
