runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.023,0.0597085054
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.049,0.0921276055
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.05,0.0977819147
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.044,0.0895606738
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.051000000000000004,0.0993702483
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.044,0.0898775371
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.047,0.08880180530000001
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.046,0.0875066391
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.044,0.0853946285
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.046,0.095525594
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.022,0.05551869500000001
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.033,0.0621960885
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.038,0.0688889148
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.039,0.0778421904
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.039,0.08495722850000001
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.048,0.07931914100000001
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.043000000000000003,0.0796518838
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.005,0.0306633689
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.043000000000000003,0.0805276167
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.042,0.083594651
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.04,0.0835377028
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.039,0.08318126470000001
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.045,0.0859495556
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.044,0.0879547024
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.047,0.0884274802
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.044,0.0861330315
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.041,0.09450955100000001
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.043000000000000003,0.0901194775
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.0,3.27869e-05
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.031,0.052482227900000004
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.044,0.0923433102
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.048,0.09329650540000001
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.05,0.0924180737
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.043000000000000003,0.0910008385
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.046,0.0899373967
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.046,0.089568399
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.05,0.0938139992
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.044,0.0923413262
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.045,0.0893519516
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.031,0.0497754632
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.025,0.0531231265
1p46G-gemma-commoncrawl-hi-29BT,6,2500,5.24288,0.034,0.0627925074
1p46G-gemma-commoncrawl-hi-29BT,6,3000,6.291456,0.031,0.060603008800000004
1p46G-gemma-commoncrawl-hi-29BT,6,3500,7.340032,0.035,0.076318784
1p46G-gemma-commoncrawl-hi-29BT,6,4000,8.388608,0.031,0.071576559
1p46G-gemma-commoncrawl-hi-29BT,6,4500,9.437184,0.041,0.0804625882
1p46G-gemma-commoncrawl-hi-29BT,6,500,1.048576,0.017,0.0199589062
1p46G-gemma-commoncrawl-hi-29BT,6,5000,10.48576,0.031,0.07994719830000001
1p46G-gemma-commoncrawl-hi-29BT,6,5500,11.534336,0.036000000000000004,0.0786764568
