runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.28,0.27333333330000004,0.2433333333,0.24
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.29,0.30666666670000003,0.30000000000000004,0.2533333333
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.32,0.34,0.34,0.31
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.3166666667,0.33333333330000003,0.3466666667,0.30000000000000004
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.33,0.3433333333,0.3233333333,0.3133333333
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.3233333333,0.3366666667,0.3366666667,0.2966666667
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.3133333333,0.3433333333,0.3233333333,0.3033333333
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.3133333333,0.3433333333,0.3166666667,0.29
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.3133333333,0.3466666667,0.32,0.3033333333
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.3166666667,0.3366666667,0.3166666667,0.30666666670000003
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.3233333333,0.35000000000000003,0.32,0.2966666667
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.3033333333,0.3233333333,0.30666666670000003,0.25
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.3366666667,0.32,0.3233333333,0.32
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.30666666670000003,0.3266666667,0.3033333333,0.2933333333
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.3233333333,0.30666666670000003,0.3233333333,0.30000000000000004
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.31,0.33,0.3166666667,0.31
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.3033333333,0.32,0.3133333333,0.30666666670000003
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.3366666667,0.3266666667,0.3266666667,0.2666666667
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.2433333333,0.29,0.2766666667,0.2766666667
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.3266666667,0.32,0.3266666667,0.2766666667
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.3033333333,0.3433333333,0.3166666667,0.2666666667
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.3133333333,0.33,0.3133333333,0.33
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.3133333333,0.3366666667,0.3433333333,0.2966666667
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.3133333333,0.3166666667,0.33333333330000003,0.2566666667
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.33,0.3266666667,0.34,0.3033333333
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.3033333333,0.32,0.3233333333,0.2933333333
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.30666666670000003,0.3533333333,0.33333333330000003,0.3033333333
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.3033333333,0.3366666667,0.33333333330000003,0.28
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.3166666667,0.34,0.33333333330000003,0.30666666670000003
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.2766666667,0.2866666667,0.27333333330000004,0.2666666667
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.2966666667,0.2933333333,0.2833333333,0.2466666667
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.30666666670000003,0.31,0.3233333333,0.2766666667
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.3033333333,0.31,0.3366666667,0.30666666670000003
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.3166666667,0.3033333333,0.3366666667,0.29
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.3166666667,0.3166666667,0.33,0.29
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.32,0.30666666670000003,0.3266666667,0.2933333333
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.3233333333,0.31,0.3266666667,0.28
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.3133333333,0.3166666667,0.3433333333,0.3166666667
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.3266666667,0.31,0.33,0.30000000000000004
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.3166666667,0.3133333333,0.3233333333,0.30666666670000003
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.31,0.3133333333,0.30000000000000004,0.2466666667
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.32,0.3133333333,0.3233333333,0.2766666667
1p46G-gemma-commoncrawl-hi-29BT,6,2500,5.24288,0.3233333333,0.3233333333,0.3166666667,0.2766666667
1p46G-gemma-commoncrawl-hi-29BT,6,3000,6.291456,0.3233333333,0.29,0.31,0.2866666667
1p46G-gemma-commoncrawl-hi-29BT,6,3500,7.340032,0.3033333333,0.33333333330000003,0.33333333330000003,0.30000000000000004
1p46G-gemma-commoncrawl-hi-29BT,6,4000,8.388608,0.33333333330000003,0.3233333333,0.3433333333,0.3033333333
1p46G-gemma-commoncrawl-hi-29BT,6,4500,9.437184,0.3133333333,0.3366666667,0.3433333333,0.3233333333
1p46G-gemma-commoncrawl-hi-29BT,6,500,1.048576,0.28,0.2866666667,0.26,0.2666666667
1p46G-gemma-commoncrawl-hi-29BT,6,5000,10.48576,0.31,0.3233333333,0.3266666667,0.3133333333
1p46G-gemma-commoncrawl-hi-29BT,6,5500,11.534336,0.3533333333,0.3266666667,0.3533333333,0.3033333333
1p46G-gemma-commoncrawl-hi-29BT,6,6000,12.582912,0.34,0.3433333333,0.3466666667,0.31
1p46G-gemma-commoncrawl-hi-29BT,6,6500,13.631488,0.33333333330000003,0.3366666667,0.3533333333,0.32
1p46G-gemma-commoncrawl-hi-29BT,6,7000,14.680064,0.3133333333,0.32,0.33,0.2933333333
1p46G-gemma-commoncrawl-hi-29BT,6,7500,15.72864,0.3133333333,0.32,0.33333333330000003,0.30000000000000004
1p46G-gemma-commoncrawl-hi-29BT,6,8000,16.777216,0.32,0.32,0.3433333333,0.27333333330000004
1p46G-gemma-commoncrawl-hi-29BT,6,8500,17.825792,0.3166666667,0.30666666670000003,0.3166666667,0.2933333333
1p46G-gemma-commoncrawl-hi-29BT,6,9000,18.874368,0.3033333333,0.31,0.3233333333,0.3033333333
1p46G-gemma-commoncrawl-hi-29BT,6,9500,19.922944,0.30666666670000003,0.30666666670000003,0.33,0.3033333333
1p46G-gemma-commoncrawl-hi-29BT,5,0,0.0,0.2766666667,0.28,0.2633333333,0.2366666667
1p46G-gemma-commoncrawl-hi-29BT,5,1000,2.097152,0.2766666667,0.2933333333,0.28,0.2433333333
1p46G-gemma-commoncrawl-hi-29BT,5,10000,20.97152,0.30000000000000004,0.34,0.3033333333,0.29
1p46G-gemma-commoncrawl-hi-29BT,5,10500,22.020096,0.3366666667,0.34,0.33333333330000003,0.2966666667
1p46G-gemma-commoncrawl-hi-29BT,5,11000,23.068672,0.32,0.31,0.3166666667,0.2866666667
1p46G-gemma-commoncrawl-hi-29BT,5,11500,24.117248,0.3366666667,0.3233333333,0.3266666667,0.3033333333
1p46G-gemma-commoncrawl-hi-29BT,5,12000,25.165824,0.32,0.34,0.3166666667,0.29
1p46G-gemma-commoncrawl-hi-29BT,5,12500,26.2144,0.3266666667,0.33,0.3166666667,0.26
1p46G-gemma-commoncrawl-hi-29BT,5,13000,27.262976,0.3166666667,0.3166666667,0.31,0.29
1p46G-gemma-commoncrawl-hi-29BT,5,13500,28.311552,0.33,0.3233333333,0.3233333333,0.28
1p46G-gemma-commoncrawl-hi-29BT,5,14000,29.360128,0.33,0.3433333333,0.32,0.2866666667
1p46G-gemma-commoncrawl-hi-29BT,5,1500,3.145728,0.30666666670000003,0.3366666667,0.3033333333,0.27
1p46G-gemma-commoncrawl-hi-29BT,5,2000,4.194304,0.2866666667,0.3366666667,0.2966666667,0.25
1p46G-gemma-commoncrawl-hi-29BT,5,2500,5.24288,0.31,0.31,0.32,0.2966666667
1p46G-gemma-commoncrawl-hi-29BT,5,3000,6.291456,0.30666666670000003,0.30666666670000003,0.33,0.2866666667
