runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.17400000000000002,0.209,0.188,0.196
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.2,0.24,0.214,0.22
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.20700000000000002,0.255,0.24,0.256
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.195,0.248,0.243,0.266
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.21,0.244,0.232,0.276
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.20400000000000001,0.246,0.234,0.265
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.213,0.244,0.226,0.252
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.20400000000000001,0.243,0.23600000000000002,0.264
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.197,0.245,0.223,0.254
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.20400000000000001,0.243,0.232,0.262
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.209,0.244,0.232,0.26
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.2,0.227,0.209,0.246
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.201,0.234,0.219,0.275
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.215,0.249,0.228,0.264
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.20600000000000002,0.228,0.222,0.241
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.209,0.246,0.23,0.255
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.20600000000000002,0.245,0.227,0.272
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.213,0.23900000000000002,0.225,0.259
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.193,0.227,0.209,0.234
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.214,0.246,0.234,0.264
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.197,0.23800000000000002,0.234,0.277
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.21,0.243,0.234,0.27
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.20700000000000002,0.23900000000000002,0.241,0.29
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.20800000000000002,0.241,0.24,0.268
