runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.525,0.525,0.492,0.514
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.525,0.5640000000000001,0.47500000000000003,0.515
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.658,0.673,0.553,0.55
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.648,0.667,0.537,0.549
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.655,0.641,0.548,0.555
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.639,0.657,0.541,0.544
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.645,0.659,0.54,0.552
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.634,0.663,0.528,0.549
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.656,0.658,0.548,0.534
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.65,0.659,0.534,0.528
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.66,0.664,0.554,0.545
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.5680000000000001,0.583,0.484,0.544
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.601,0.5740000000000001,0.511,0.541
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.62,0.592,0.49,0.552
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.617,0.61,0.54,0.539
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.63,0.637,0.517,0.558
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.618,0.636,0.521,0.553
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.61,0.63,0.502,0.554
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.528,0.5640000000000001,0.47400000000000003,0.47800000000000004
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.616,0.641,0.515,0.511
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.628,0.667,0.532,0.56
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.635,0.648,0.535,0.55
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.662,0.626,0.5670000000000001,0.559
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.633,0.656,0.542,0.592
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.63,0.638,0.552,0.548
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.634,0.65,0.55,0.557
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.656,0.644,0.552,0.529
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.633,0.65,0.53,0.577
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.624,0.668,0.512,0.5630000000000001
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.525,0.525,0.501,0.496
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.538,0.54,0.48,0.509
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.677,0.658,0.559,0.545
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.674,0.643,0.558,0.56
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.663,0.672,0.545,0.5670000000000001
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.676,0.643,0.5670000000000001,0.56
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.662,0.64,0.5750000000000001,0.557
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.671,0.656,0.5730000000000001,0.58
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.676,0.632,0.578,0.545
