runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.496,0.496,0.512,0.517,0.492,0.492,0.503,0.505
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.527,0.56,0.503,0.511,0.549,0.553,0.512,0.496
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.642,0.648,0.555,0.538,0.649,0.643,0.539,0.536
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.628,0.649,0.541,0.541,0.627,0.646,0.539,0.536
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.652,0.638,0.562,0.526,0.638,0.635,0.544,0.531
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.636,0.641,0.549,0.529,0.639,0.64,0.536,0.532
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.631,0.651,0.553,0.534,0.637,0.639,0.542,0.521
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.607,0.641,0.539,0.526,0.623,0.643,0.527,0.523
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.638,0.642,0.554,0.54,0.648,0.638,0.538,0.525
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.622,0.651,0.545,0.524,0.629,0.643,0.537,0.528
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.635,0.657,0.5660000000000001,0.538,0.654,0.64,0.548,0.521
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.557,0.556,0.512,0.531,0.578,0.585,0.512,0.52
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.5760000000000001,0.557,0.524,0.505,0.593,0.5670000000000001,0.527,0.49
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.5700000000000001,0.5740000000000001,0.515,0.539,0.582,0.5740000000000001,0.52,0.5
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.612,0.5690000000000001,0.546,0.547,0.612,0.557,0.533,0.526
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.625,0.612,0.527,0.546,0.635,0.62,0.529,0.53
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.604,0.62,0.527,0.529,0.609,0.623,0.523,0.521
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.603,0.634,0.517,0.5690000000000001,0.605,0.628,0.519,0.548
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.516,0.546,0.502,0.502,0.534,0.545,0.506,0.507
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.618,0.623,0.526,0.531,0.616,0.629,0.525,0.529
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.635,0.659,0.539,0.5650000000000001,0.643,0.669,0.532,0.5680000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.645,0.647,0.549,0.549,0.646,0.642,0.536,0.532
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.651,0.619,0.561,0.559,0.654,0.62,0.555,0.526
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.639,0.642,0.553,0.578,0.653,0.643,0.541,0.578
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.645,0.623,0.548,0.542,0.648,0.639,0.546,0.532
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.631,0.638,0.552,0.543,0.643,0.638,0.542,0.52
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.622,0.64,0.555,0.511,0.641,0.646,0.545,0.521
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.62,0.632,0.535,0.554,0.64,0.638,0.531,0.551
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.612,0.64,0.526,0.561,0.624,0.65,0.524,0.539
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.496,0.496,0.497,0.498,0.492,0.492,0.483,0.47800000000000004
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.521,0.536,0.502,0.494,0.534,0.552,0.511,0.492
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.649,0.629,0.5730000000000001,0.519,0.635,0.602,0.547,0.508
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.642,0.615,0.5630000000000001,0.533,0.641,0.612,0.552,0.527
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.655,0.652,0.543,0.525,0.638,0.635,0.54,0.532
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.662,0.617,0.559,0.535,0.628,0.631,0.552,0.53
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.649,0.596,0.5710000000000001,0.529,0.631,0.601,0.562,0.537
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.657,0.627,0.5660000000000001,0.532,0.637,0.632,0.552,0.543
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.645,0.601,0.5710000000000001,0.525,0.636,0.615,0.558,0.533
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.631,0.619,0.5630000000000001,0.529,0.631,0.612,0.555,0.534
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.643,0.606,0.584,0.52,0.624,0.598,0.559,0.528
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.587,0.555,0.515,0.508,0.58,0.552,0.521,0.49
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.586,0.5680000000000001,0.522,0.505,0.58,0.553,0.526,0.499
1p46G-gemma-commoncrawl-hi-29BT,6,2500,5.24288,0.61,0.584,0.519,0.545,0.591,0.582,0.529,0.524
1p46G-gemma-commoncrawl-hi-29BT,6,3000,6.291456,0.588,0.614,0.511,0.543,0.593,0.613,0.521,0.537
1p46G-gemma-commoncrawl-hi-29BT,6,3500,7.340032,0.599,0.602,0.51,0.529,0.586,0.601,0.512,0.52
1p46G-gemma-commoncrawl-hi-29BT,6,4000,8.388608,0.577,0.614,0.517,0.515,0.58,0.614,0.517,0.494
1p46G-gemma-commoncrawl-hi-29BT,6,4500,9.437184,0.604,0.601,0.526,0.515,0.603,0.607,0.529,0.499
1p46G-gemma-commoncrawl-hi-29BT,6,500,1.048576,0.519,0.524,0.516,0.489,0.516,0.502,0.509,0.489
1p46G-gemma-commoncrawl-hi-29BT,6,5000,10.48576,0.609,0.627,0.522,0.507,0.591,0.608,0.52,0.514
1p46G-gemma-commoncrawl-hi-29BT,6,5500,11.534336,0.633,0.624,0.537,0.53,0.619,0.615,0.531,0.538
1p46G-gemma-commoncrawl-hi-29BT,6,6000,12.582912,0.631,0.611,0.539,0.533,0.639,0.634,0.537,0.512
1p46G-gemma-commoncrawl-hi-29BT,6,6500,13.631488,0.622,0.632,0.536,0.548,0.628,0.644,0.534,0.546
1p46G-gemma-commoncrawl-hi-29BT,6,7000,14.680064,0.615,0.643,0.534,0.539,0.634,0.637,0.531,0.528
1p46G-gemma-commoncrawl-hi-29BT,6,7500,15.72864,0.625,0.634,0.544,0.531,0.621,0.627,0.536,0.539
1p46G-gemma-commoncrawl-hi-29BT,6,8000,16.777216,0.634,0.606,0.5710000000000001,0.545,0.625,0.61,0.55,0.535
1p46G-gemma-commoncrawl-hi-29BT,6,8500,17.825792,0.65,0.633,0.555,0.546,0.64,0.646,0.541,0.53
1p46G-gemma-commoncrawl-hi-29BT,6,9000,18.874368,0.63,0.65,0.551,0.532,0.632,0.619,0.544,0.531
1p46G-gemma-commoncrawl-hi-29BT,6,9500,19.922944,0.646,0.647,0.557,0.53,0.626,0.604,0.543,0.533
1p46G-gemma-commoncrawl-hi-29BT,5,0,0.0,0.496,0.496,0.494,0.494,0.492,0.492,0.47300000000000003,0.497
1p46G-gemma-commoncrawl-hi-29BT,5,1000,2.097152,0.526,0.528,0.504,0.505,0.558,0.551,0.512,0.512
1p46G-gemma-commoncrawl-hi-29BT,5,10000,20.97152,0.624,0.639,0.542,0.547,0.62,0.622,0.536,0.511
1p46G-gemma-commoncrawl-hi-29BT,5,10500,22.020096,0.639,0.652,0.535,0.5650000000000001,0.625,0.625,0.531,0.526
1p46G-gemma-commoncrawl-hi-29BT,5,11000,23.068672,0.622,0.647,0.531,0.547,0.616,0.62,0.532,0.538
1p46G-gemma-commoncrawl-hi-29BT,5,11500,24.117248,0.621,0.642,0.528,0.549,0.619,0.632,0.532,0.545
1p46G-gemma-commoncrawl-hi-29BT,5,12000,25.165824,0.609,0.643,0.519,0.543,0.609,0.629,0.521,0.532
1p46G-gemma-commoncrawl-hi-29BT,5,12500,26.2144,0.618,0.648,0.523,0.538,0.61,0.632,0.525,0.554
1p46G-gemma-commoncrawl-hi-29BT,5,13000,27.262976,0.628,0.654,0.534,0.558,0.621,0.63,0.54,0.53
1p46G-gemma-commoncrawl-hi-29BT,5,13500,28.311552,0.622,0.644,0.537,0.55,0.625,0.633,0.533,0.53
