runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.0,2.9850700000000002e-05
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.018000000000000002,0.050858966900000004
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.049,0.07223837200000001
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.05,0.0768593414
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.051000000000000004,0.0784828421
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.051000000000000004,0.0817474752
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.048,0.0777270147
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.05,0.0761316512
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.052000000000000005,0.075633427
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.052000000000000005,0.07847761240000001
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.049,0.0758656295
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.024,0.053416929200000005
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.03,0.0550149388
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.036000000000000004,0.057163270700000005
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.037,0.0650016201
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.04,0.06662249120000001
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.045,0.0648328544
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.038,0.062916942
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.004,0.0296581352
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.041,0.07262902660000001
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.047,0.07281384020000001
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.049,0.0722250104
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.047,0.0745623022
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.053,0.0762004903
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.052000000000000005,0.07645385290000001
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.051000000000000004,0.08013703750000001
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.049,0.0719924254
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.048,0.0795657512
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.051000000000000004,0.0762776179
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.022,0.046664927700000004
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.039,0.0764627217
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.048,0.0780014078
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.042,0.0727615181
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.043000000000000003,0.0744209856
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.038,0.0725390459
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.042,0.07263681030000001
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.043000000000000003,0.07446509970000001
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.043000000000000003,0.07294072780000001
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.038,0.07337164900000001
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.025,0.0415520844
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.025,0.0479661111
1p46G-gemma-commoncrawl-hi-29BT,6,2500,5.24288,0.027,0.0454698918
1p46G-gemma-commoncrawl-hi-29BT,6,3000,6.291456,0.035,0.0581051142
1p46G-gemma-commoncrawl-hi-29BT,6,3500,7.340032,0.03,0.059411535700000004
1p46G-gemma-commoncrawl-hi-29BT,6,4000,8.388608,0.025,0.0571160256
1p46G-gemma-commoncrawl-hi-29BT,6,4500,9.437184,0.039,0.0605630828
1p46G-gemma-commoncrawl-hi-29BT,6,500,1.048576,0.013000000000000001,0.0187280973
1p46G-gemma-commoncrawl-hi-29BT,6,5000,10.48576,0.032,0.0656109879
1p46G-gemma-commoncrawl-hi-29BT,6,5500,11.534336,0.034,0.0639973585
1p46G-gemma-commoncrawl-hi-29BT,6,6000,12.582912,0.039,0.0688274958
1p46G-gemma-commoncrawl-hi-29BT,6,6500,13.631488,0.039,0.06659204290000001
1p46G-gemma-commoncrawl-hi-29BT,6,7000,14.680064,0.039,0.0665707234
1p46G-gemma-commoncrawl-hi-29BT,6,7500,15.72864,0.043000000000000003,0.0679934519
1p46G-gemma-commoncrawl-hi-29BT,6,8000,16.777216,0.045,0.07073438010000001
1p46G-gemma-commoncrawl-hi-29BT,6,8500,17.825792,0.037,0.0763529312
1p46G-gemma-commoncrawl-hi-29BT,6,9000,18.874368,0.044,0.0663613665
1p46G-gemma-commoncrawl-hi-29BT,6,9500,19.922944,0.046,0.07394448070000001
1p46G-gemma-commoncrawl-hi-29BT,5,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-hi-29BT,5,1000,2.097152,0.028,0.052817958400000004
1p46G-gemma-commoncrawl-hi-29BT,5,10000,20.97152,0.042,0.0735630003
1p46G-gemma-commoncrawl-hi-29BT,5,10500,22.020096,0.043000000000000003,0.0777025077
1p46G-gemma-commoncrawl-hi-29BT,5,11000,23.068672,0.045,0.07735546530000001
1p46G-gemma-commoncrawl-hi-29BT,5,11500,24.117248,0.047,0.0745581634
1p46G-gemma-commoncrawl-hi-29BT,5,12000,25.165824,0.048,0.0841113665
1p46G-gemma-commoncrawl-hi-29BT,5,12500,26.2144,0.044,0.0747609691
1p46G-gemma-commoncrawl-hi-29BT,5,13000,27.262976,0.042,0.080367326
1p46G-gemma-commoncrawl-hi-29BT,5,13500,28.311552,0.043000000000000003,0.0806664869
1p46G-gemma-commoncrawl-hi-29BT,5,14000,29.360128,0.041,0.07588585070000001
1p46G-gemma-commoncrawl-hi-29BT,5,1500,3.145728,0.024,0.0533401565
1p46G-gemma-commoncrawl-hi-29BT,5,2000,4.194304,0.024,0.053141773600000004
1p46G-gemma-commoncrawl-hi-29BT,5,2500,5.24288,0.024,0.055630274300000004
1p46G-gemma-commoncrawl-hi-29BT,5,3000,6.291456,0.02,0.0556932039
1p46G-gemma-commoncrawl-hi-29BT,5,3500,7.340032,0.032,0.0521654376
1p46G-gemma-commoncrawl-hi-29BT,5,4000,8.388608,0.036000000000000004,0.0641244541
1p46G-gemma-commoncrawl-hi-29BT,5,4500,9.437184,0.042,0.060693897600000005
1p46G-gemma-commoncrawl-hi-29BT,5,500,1.048576,0.025,0.0295918851
1p46G-gemma-commoncrawl-hi-29BT,5,5000,10.48576,0.042,0.0653148572
1p46G-gemma-commoncrawl-hi-29BT,5,5500,11.534336,0.038,0.0638706716
1p46G-gemma-commoncrawl-hi-29BT,5,6000,12.582912,0.043000000000000003,0.0725971877
1p46G-gemma-commoncrawl-hi-29BT,5,6500,13.631488,0.036000000000000004,0.0680590688
1p46G-gemma-commoncrawl-hi-29BT,5,7000,14.680064,0.039,0.0761826788
1p46G-gemma-commoncrawl-hi-29BT,5,7500,15.72864,0.038,0.0718191398
1p46G-gemma-commoncrawl-hi-29BT,5,8000,16.777216,0.044,0.07343557
1p46G-gemma-commoncrawl-hi-29BT,5,8500,17.825792,0.042,0.0801492884
1p46G-gemma-commoncrawl-hi-29BT,5,9000,18.874368,0.037,0.0704478738
1p46G-gemma-commoncrawl-hi-29BT,5,9500,19.922944,0.04,0.0725533755
1p46G-gemma-helios-hi-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-helios-hi-29BT,6,1000,2.097152,0.028,0.047607060900000005
1p46G-gemma-helios-hi-29BT,6,10000,20.97152,0.042,0.0766019415
1p46G-gemma-helios-hi-29BT,6,10500,22.020096,0.045,0.07606246380000001
1p46G-gemma-helios-hi-29BT,6,11000,23.068672,0.04,0.0817070605
1p46G-gemma-helios-hi-29BT,6,11500,24.117248,0.043000000000000003,0.0791656864
1p46G-gemma-helios-hi-29BT,6,12000,25.165824,0.041,0.0815854521
1p46G-gemma-helios-hi-29BT,6,12500,26.2144,0.036000000000000004,0.0786944824
1p46G-gemma-helios-hi-29BT,6,13000,27.262976,0.043000000000000003,0.0741998016
1p46G-gemma-helios-hi-29BT,6,13500,28.311552,0.039,0.0771498914
1p46G-gemma-helios-hi-29BT,6,14000,29.360128,0.042,0.079276837
1p46G-gemma-helios-hi-29BT,6,1500,3.145728,0.021,0.0613427703
1p46G-gemma-helios-hi-29BT,6,2000,4.194304,0.038,0.0634253864
1p46G-gemma-helios-hi-29BT,6,2500,5.24288,0.027,0.058347205900000004
1p46G-gemma-helios-hi-29BT,6,3000,6.291456,0.038,0.0784011517
1p46G-gemma-helios-hi-29BT,6,3500,7.340032,0.038,0.0689720753
1p46G-gemma-helios-hi-29BT,6,4000,8.388608,0.037,0.0708758595
1p46G-gemma-helios-hi-29BT,6,4500,9.437184,0.042,0.0667120767
1p46G-gemma-helios-hi-29BT,6,500,1.048576,0.028,0.040361220600000004
1p46G-gemma-helios-hi-29BT,6,5000,10.48576,0.038,0.0654499109
1p46G-gemma-helios-hi-29BT,6,5500,11.534336,0.046,0.0763347826
1p46G-gemma-helios-hi-29BT,6,6000,12.582912,0.038,0.0687417899
1p46G-gemma-helios-hi-29BT,6,6500,13.631488,0.038,0.07123671520000001
1p46G-gemma-helios-hi-29BT,6,7000,14.680064,0.042,0.0745468143
1p46G-gemma-helios-hi-29BT,6,7500,15.72864,0.044,0.0777113577
1p46G-gemma-helios-hi-29BT,6,8000,16.777216,0.045,0.0776260285
1p46G-gemma-helios-hi-29BT,6,8500,17.825792,0.044,0.0808756836
1p46G-gemma-helios-hi-29BT,6,9000,18.874368,0.044,0.0767156888
1p46G-gemma-helios-hi-29BT,6,9500,19.922944,0.043000000000000003,0.0778082465
1p46G-gemma-commoncrawl-hi-29BT,4,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-hi-29BT,4,1000,2.097152,0.021,0.044108025200000005
1p46G-gemma-commoncrawl-hi-29BT,4,10000,20.97152,0.041,0.0725916889
1p46G-gemma-commoncrawl-hi-29BT,4,10500,22.020096,0.041,0.0673630196
1p46G-gemma-commoncrawl-hi-29BT,4,11000,23.068672,0.039,0.0701026317
1p46G-gemma-commoncrawl-hi-29BT,4,11500,24.117248,0.038,0.0704744469
1p46G-gemma-commoncrawl-hi-29BT,4,12000,25.165824,0.036000000000000004,0.0684847594
1p46G-gemma-commoncrawl-hi-29BT,4,12500,26.2144,0.039,0.0753054719
1p46G-gemma-commoncrawl-hi-29BT,4,13000,27.262976,0.039,0.069696109
1p46G-gemma-commoncrawl-hi-29BT,4,13500,28.311552,0.033,0.0680866871
1p46G-gemma-commoncrawl-hi-29BT,4,14000,29.360128,0.038,0.0707460335
1p46G-gemma-commoncrawl-hi-29BT,4,1500,3.145728,0.023,0.050571547700000004
1p46G-gemma-commoncrawl-hi-29BT,4,2000,4.194304,0.027,0.053250955700000005
1p46G-gemma-commoncrawl-hi-29BT,4,2500,5.24288,0.026000000000000002,0.0615395488
1p46G-gemma-commoncrawl-hi-29BT,4,3000,6.291456,0.032,0.052545031900000004
1p46G-gemma-commoncrawl-hi-29BT,4,3500,7.340032,0.034,0.0571349484
1p46G-gemma-commoncrawl-hi-29BT,4,4000,8.388608,0.038,0.0658157534
1p46G-gemma-commoncrawl-hi-29BT,4,4500,9.437184,0.037,0.0651042113
1p46G-gemma-commoncrawl-hi-29BT,4,500,1.048576,0.021,0.0400419157
1p46G-gemma-commoncrawl-hi-29BT,4,5000,10.48576,0.034,0.0633784596
1p46G-gemma-commoncrawl-hi-29BT,4,5500,11.534336,0.038,0.0663222547
1p46G-gemma-commoncrawl-hi-29BT,4,6000,12.582912,0.03,0.0611053281
1p46G-gemma-commoncrawl-hi-29BT,4,6500,13.631488,0.042,0.0648517365
1p46G-gemma-commoncrawl-hi-29BT,4,7000,14.680064,0.045,0.0668561411
1p46G-gemma-commoncrawl-hi-29BT,4,7500,15.72864,0.045,0.0684102443
1p46G-gemma-commoncrawl-hi-29BT,4,8000,16.777216,0.044,0.0715645634
1p46G-gemma-commoncrawl-hi-29BT,4,8500,17.825792,0.03,0.0690520275
1p46G-gemma-commoncrawl-hi-29BT,4,9000,18.874368,0.036000000000000004,0.067315466
1p46G-gemma-commoncrawl-hi-29BT,4,9500,19.922944,0.043000000000000003,0.0720319812
baseline-hi-,42,0,0.0,0.0,0.0
1p46G-gemma-lynx-hi-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-lynx-hi-29BT,6,1000,2.097152,0.017,0.0405082451
1p46G-gemma-lynx-hi-29BT,6,10000,20.97152,0.044,0.072202351
1p46G-gemma-lynx-hi-29BT,6,10500,22.020096,0.043000000000000003,0.0717786133
1p46G-gemma-lynx-hi-29BT,6,11000,23.068672,0.047,0.07352526350000001
1p46G-gemma-lynx-hi-29BT,6,11500,24.117248,0.047,0.0725324967
1p46G-gemma-lynx-hi-29BT,6,12000,25.165824,0.046,0.0724965275
1p46G-gemma-lynx-hi-29BT,6,12500,26.2144,0.047,0.07147062380000001
1p46G-gemma-lynx-hi-29BT,6,13000,27.262976,0.046,0.0735839928
1p46G-gemma-lynx-hi-29BT,6,13500,28.311552,0.045,0.07508181300000001
1p46G-gemma-lynx-hi-29BT,6,14000,29.360128,0.047,0.0730811111
1p46G-gemma-lynx-hi-29BT,6,1500,3.145728,0.021,0.0462111298
1p46G-gemma-lynx-hi-29BT,6,2000,4.194304,0.007,0.0483322142
1p46G-gemma-lynx-hi-29BT,6,2500,5.24288,0.032,0.055810881900000005
1p46G-gemma-lynx-hi-29BT,6,3000,6.291456,0.034,0.0581827831
1p46G-gemma-lynx-hi-29BT,6,3500,7.340032,0.036000000000000004,0.0652481245
1p46G-gemma-lynx-hi-29BT,6,4000,8.388608,0.034,0.0592031877
1p46G-gemma-lynx-hi-29BT,6,4500,9.437184,0.04,0.0635295709
1p46G-gemma-lynx-hi-29BT,6,500,1.048576,0.012,0.029940288800000003
1p46G-gemma-lynx-hi-29BT,6,5000,10.48576,0.039,0.0653594696
1p46G-gemma-lynx-hi-29BT,6,5500,11.534336,0.042,0.0624779585
1p46G-gemma-lynx-hi-29BT,6,6000,12.582912,0.044,0.06684881370000001
1p46G-gemma-lynx-hi-29BT,6,6500,13.631488,0.044,0.0639501893
1p46G-gemma-lynx-hi-29BT,6,7000,14.680064,0.043000000000000003,0.0760554704
1p46G-gemma-lynx-hi-29BT,6,7500,15.72864,0.04,0.0683576135
1p46G-gemma-lynx-hi-29BT,6,8000,16.777216,0.047,0.0734978027
1p46G-gemma-lynx-hi-29BT,6,8500,17.825792,0.046,0.0695155422
1p46G-gemma-lynx-hi-29BT,6,9000,18.874368,0.04,0.0749992644
1p46G-gemma-lynx-hi-29BT,6,9500,19.922944,0.046,0.0748680136
