runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-commoncrawl-hi-29BT,3,0,0.0,0.47300000000000003,0.547,0.486,0.508
1p46G-gemma-commoncrawl-hi-29BT,3,1000,2.097152,0.518,0.536,0.516,0.546
1p46G-gemma-commoncrawl-hi-29BT,3,10000,20.97152,0.541,0.5690000000000001,0.546,0.5730000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,10500,22.020096,0.54,0.5660000000000001,0.546,0.5720000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,11000,23.068672,0.541,0.5730000000000001,0.546,0.5670000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,11500,24.117248,0.539,0.5680000000000001,0.542,0.5760000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,12000,25.165824,0.545,0.5650000000000001,0.55,0.5650000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,12500,26.2144,0.54,0.5660000000000001,0.541,0.5720000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,13000,27.262976,0.542,0.5710000000000001,0.548,0.581
1p46G-gemma-commoncrawl-hi-29BT,3,13500,28.311552,0.541,0.5760000000000001,0.545,0.5650000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,14000,29.360128,0.54,0.5650000000000001,0.544,0.5640000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,1500,3.145728,0.511,0.533,0.528,0.545
1p46G-gemma-commoncrawl-hi-29BT,3,2000,4.194304,0.525,0.539,0.524,0.558
1p46G-gemma-commoncrawl-hi-29BT,3,2500,5.24288,0.529,0.539,0.53,0.546
1p46G-gemma-commoncrawl-hi-29BT,3,3000,6.291456,0.523,0.55,0.525,0.561
1p46G-gemma-commoncrawl-hi-29BT,3,3500,7.340032,0.529,0.545,0.542,0.5690000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,4000,8.388608,0.538,0.555,0.539,0.58
1p46G-gemma-commoncrawl-hi-29BT,3,4500,9.437184,0.531,0.549,0.53,0.5700000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,500,1.048576,0.504,0.53,0.517,0.515
1p46G-gemma-commoncrawl-hi-29BT,3,5000,10.48576,0.535,0.559,0.548,0.5680000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,5500,11.534336,0.538,0.554,0.542,0.536
1p46G-gemma-commoncrawl-hi-29BT,3,6000,12.582912,0.533,0.5640000000000001,0.546,0.557
1p46G-gemma-commoncrawl-hi-29BT,3,6500,13.631488,0.537,0.562,0.541,0.585
1p46G-gemma-commoncrawl-hi-29BT,3,7000,14.680064,0.535,0.561,0.541,0.553
1p46G-gemma-commoncrawl-hi-29BT,3,7500,15.72864,0.534,0.5670000000000001,0.547,0.5740000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,8000,16.777216,0.529,0.552,0.531,0.586
1p46G-gemma-commoncrawl-hi-29BT,3,8500,17.825792,0.536,0.5650000000000001,0.549,0.5710000000000001
1p46G-gemma-commoncrawl-hi-29BT,3,9000,18.874368,0.535,0.562,0.543,0.577
1p46G-gemma-commoncrawl-hi-29BT,3,9500,19.922944,0.538,0.5660000000000001,0.539,0.5710000000000001
1p46G-gemma-commoncrawl-hi-29BT,6,0,0.0,0.47100000000000003,0.552,0.509,0.494
1p46G-gemma-commoncrawl-hi-29BT,6,1000,2.097152,0.5,0.517,0.507,0.541
1p46G-gemma-commoncrawl-hi-29BT,6,10000,20.97152,0.543,0.5760000000000001,0.545,0.594
1p46G-gemma-commoncrawl-hi-29BT,6,10500,22.020096,0.541,0.5680000000000001,0.546,0.613
1p46G-gemma-commoncrawl-hi-29BT,6,11000,23.068672,0.537,0.5720000000000001,0.558,0.595
1p46G-gemma-commoncrawl-hi-29BT,6,11500,24.117248,0.543,0.5740000000000001,0.551,0.598
1p46G-gemma-commoncrawl-hi-29BT,6,12000,25.165824,0.549,0.5710000000000001,0.554,0.598
1p46G-gemma-commoncrawl-hi-29BT,6,12500,26.2144,0.547,0.5740000000000001,0.5630000000000001,0.596
1p46G-gemma-commoncrawl-hi-29BT,6,13000,27.262976,0.542,0.583,0.56,0.596
1p46G-gemma-commoncrawl-hi-29BT,6,13500,28.311552,0.546,0.5730000000000001,0.561,0.595
1p46G-gemma-commoncrawl-hi-29BT,6,14000,29.360128,0.55,0.578,0.554,0.601
1p46G-gemma-commoncrawl-hi-29BT,6,1500,3.145728,0.523,0.532,0.526,0.561
1p46G-gemma-commoncrawl-hi-29BT,6,2000,4.194304,0.525,0.537,0.541,0.555
1p46G-gemma-commoncrawl-hi-29BT,6,2500,5.24288,0.528,0.544,0.525,0.547
1p46G-gemma-commoncrawl-hi-29BT,6,3000,6.291456,0.523,0.537,0.535,0.55
1p46G-gemma-commoncrawl-hi-29BT,6,3500,7.340032,0.523,0.555,0.549,0.548
1p46G-gemma-commoncrawl-hi-29BT,6,4000,8.388608,0.516,0.539,0.535,0.5760000000000001
1p46G-gemma-commoncrawl-hi-29BT,6,4500,9.437184,0.534,0.55,0.547,0.587
1p46G-gemma-commoncrawl-hi-29BT,6,500,1.048576,0.513,0.524,0.532,0.536
1p46G-gemma-commoncrawl-hi-29BT,6,5000,10.48576,0.531,0.555,0.547,0.5750000000000001
1p46G-gemma-commoncrawl-hi-29BT,6,5500,11.534336,0.535,0.553,0.554,0.581
1p46G-gemma-commoncrawl-hi-29BT,6,6000,12.582912,0.534,0.557,0.555,0.581
1p46G-gemma-commoncrawl-hi-29BT,6,6500,13.631488,0.537,0.559,0.536,0.583
1p46G-gemma-commoncrawl-hi-29BT,6,7000,14.680064,0.547,0.5670000000000001,0.553,0.598
1p46G-gemma-commoncrawl-hi-29BT,6,7500,15.72864,0.549,0.5670000000000001,0.555,0.593
1p46G-gemma-commoncrawl-hi-29BT,6,8000,16.777216,0.527,0.5630000000000001,0.554,0.587
1p46G-gemma-commoncrawl-hi-29BT,6,8500,17.825792,0.535,0.5740000000000001,0.549,0.594
1p46G-gemma-commoncrawl-hi-29BT,6,9000,18.874368,0.547,0.5680000000000001,0.553,0.59
1p46G-gemma-commoncrawl-hi-29BT,6,9500,19.922944,0.546,0.5750000000000001,0.55,0.6000000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,0,0.0,0.468,0.547,0.516,0.526
1p46G-gemma-commoncrawl-hi-29BT,5,1000,2.097152,0.522,0.534,0.525,0.542
1p46G-gemma-commoncrawl-hi-29BT,5,10000,20.97152,0.547,0.5690000000000001,0.55,0.58
1p46G-gemma-commoncrawl-hi-29BT,5,10500,22.020096,0.541,0.5640000000000001,0.555,0.5750000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,11000,23.068672,0.547,0.5710000000000001,0.555,0.5710000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,11500,24.117248,0.541,0.577,0.5630000000000001,0.58
1p46G-gemma-commoncrawl-hi-29BT,5,12000,25.165824,0.546,0.5710000000000001,0.561,0.5740000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,12500,26.2144,0.544,0.5710000000000001,0.554,0.584
1p46G-gemma-commoncrawl-hi-29BT,5,13000,27.262976,0.55,0.5730000000000001,0.558,0.577
1p46G-gemma-commoncrawl-hi-29BT,5,13500,28.311552,0.547,0.588,0.559,0.583
1p46G-gemma-commoncrawl-hi-29BT,5,14000,29.360128,0.548,0.583,0.5650000000000001,0.5730000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,1500,3.145728,0.523,0.542,0.53,0.546
1p46G-gemma-commoncrawl-hi-29BT,5,2000,4.194304,0.527,0.542,0.545,0.551
1p46G-gemma-commoncrawl-hi-29BT,5,2500,5.24288,0.533,0.542,0.54,0.5700000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,3000,6.291456,0.537,0.553,0.549,0.5700000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,3500,7.340032,0.533,0.555,0.554,0.5660000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,4000,8.388608,0.535,0.562,0.542,0.5760000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,4500,9.437184,0.537,0.5680000000000001,0.562,0.5730000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,500,1.048576,0.513,0.52,0.515,0.546
1p46G-gemma-commoncrawl-hi-29BT,5,5000,10.48576,0.523,0.5690000000000001,0.546,0.5690000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,5500,11.534336,0.528,0.55,0.539,0.5700000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,6000,12.582912,0.529,0.5750000000000001,0.55,0.601
1p46G-gemma-commoncrawl-hi-29BT,5,6500,13.631488,0.54,0.5700000000000001,0.554,0.592
1p46G-gemma-commoncrawl-hi-29BT,5,7000,14.680064,0.534,0.562,0.551,0.593
1p46G-gemma-commoncrawl-hi-29BT,5,7500,15.72864,0.532,0.5660000000000001,0.549,0.58
1p46G-gemma-commoncrawl-hi-29BT,5,8000,16.777216,0.534,0.56,0.55,0.5750000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,8500,17.825792,0.535,0.559,0.541,0.5650000000000001
1p46G-gemma-commoncrawl-hi-29BT,5,9000,18.874368,0.543,0.5670000000000001,0.557,0.578
1p46G-gemma-commoncrawl-hi-29BT,5,9500,19.922944,0.535,0.5730000000000001,0.556,0.5730000000000001
1p46G-gemma-helios-hi-29BT,6,0,0.0,0.47100000000000003,0.552,0.509,0.495
1p46G-gemma-helios-hi-29BT,6,1000,2.097152,0.515,0.535,0.531,0.556
1p46G-gemma-helios-hi-29BT,6,10000,20.97152,0.535,0.586,0.5670000000000001,0.581
1p46G-gemma-helios-hi-29BT,6,10500,22.020096,0.534,0.579,0.551,0.577
1p46G-gemma-helios-hi-29BT,6,11000,23.068672,0.537,0.5730000000000001,0.561,0.581
1p46G-gemma-helios-hi-29BT,6,11500,24.117248,0.536,0.578,0.562,0.586
1p46G-gemma-helios-hi-29BT,6,12000,25.165824,0.543,0.584,0.5690000000000001,0.583
1p46G-gemma-helios-hi-29BT,6,12500,26.2144,0.538,0.578,0.5660000000000001,0.597
1p46G-gemma-helios-hi-29BT,6,13000,27.262976,0.545,0.585,0.558,0.594
1p46G-gemma-helios-hi-29BT,6,13500,28.311552,0.543,0.578,0.56,0.595
1p46G-gemma-helios-hi-29BT,6,14000,29.360128,0.539,0.579,0.562,0.588
1p46G-gemma-helios-hi-29BT,6,1500,3.145728,0.518,0.542,0.535,0.548
1p46G-gemma-helios-hi-29BT,6,2000,4.194304,0.508,0.552,0.527,0.583
1p46G-gemma-helios-hi-29BT,6,2500,5.24288,0.521,0.555,0.535,0.5660000000000001
1p46G-gemma-helios-hi-29BT,6,3000,6.291456,0.512,0.561,0.538,0.591
1p46G-gemma-helios-hi-29BT,6,3500,7.340032,0.519,0.581,0.543,0.579
1p46G-gemma-helios-hi-29BT,6,4000,8.388608,0.524,0.578,0.5680000000000001,0.589
1p46G-gemma-helios-hi-29BT,6,4500,9.437184,0.524,0.58,0.557,0.592
1p46G-gemma-helios-hi-29BT,6,500,1.048576,0.498,0.53,0.514,0.532
1p46G-gemma-helios-hi-29BT,6,5000,10.48576,0.527,0.5670000000000001,0.554,0.583
1p46G-gemma-helios-hi-29BT,6,5500,11.534336,0.531,0.582,0.555,0.5720000000000001
1p46G-gemma-helios-hi-29BT,6,6000,12.582912,0.528,0.582,0.541,0.587
1p46G-gemma-helios-hi-29BT,6,6500,13.631488,0.531,0.578,0.557,0.6000000000000001
1p46G-gemma-helios-hi-29BT,6,7000,14.680064,0.532,0.582,0.552,0.589
1p46G-gemma-helios-hi-29BT,6,7500,15.72864,0.547,0.577,0.559,0.586
1p46G-gemma-helios-hi-29BT,6,8000,16.777216,0.535,0.58,0.551,0.5760000000000001
1p46G-gemma-helios-hi-29BT,6,8500,17.825792,0.538,0.589,0.561,0.6000000000000001
1p46G-gemma-helios-hi-29BT,6,9000,18.874368,0.542,0.5760000000000001,0.5660000000000001,0.585
1p46G-gemma-helios-hi-29BT,6,9500,19.922944,0.545,0.58,0.5650000000000001,0.578
1p46G-gemma-commoncrawl-hi-29BT,4,0,0.0,0.46900000000000003,0.55,0.502,0.518
1p46G-gemma-commoncrawl-hi-29BT,4,1000,2.097152,0.52,0.527,0.522,0.533
1p46G-gemma-commoncrawl-hi-29BT,4,10000,20.97152,0.543,0.5680000000000001,0.549,0.581
1p46G-gemma-commoncrawl-hi-29BT,4,10500,22.020096,0.54,0.559,0.545,0.579
1p46G-gemma-commoncrawl-hi-29BT,4,11000,23.068672,0.541,0.56,0.543,0.5750000000000001
1p46G-gemma-commoncrawl-hi-29BT,4,11500,24.117248,0.543,0.5640000000000001,0.549,0.5730000000000001
1p46G-gemma-commoncrawl-hi-29BT,4,12000,25.165824,0.546,0.5680000000000001,0.546,0.579
1p46G-gemma-commoncrawl-hi-29BT,4,12500,26.2144,0.546,0.5640000000000001,0.554,0.582
1p46G-gemma-commoncrawl-hi-29BT,4,13000,27.262976,0.549,0.5680000000000001,0.552,0.578
1p46G-gemma-commoncrawl-hi-29BT,4,13500,28.311552,0.55,0.5700000000000001,0.551,0.588
1p46G-gemma-commoncrawl-hi-29BT,4,14000,29.360128,0.545,0.5730000000000001,0.555,0.583
1p46G-gemma-commoncrawl-hi-29BT,4,1500,3.145728,0.518,0.534,0.524,0.556
1p46G-gemma-commoncrawl-hi-29BT,4,2000,4.194304,0.518,0.55,0.523,0.549
1p46G-gemma-commoncrawl-hi-29BT,4,2500,5.24288,0.516,0.554,0.532,0.557
1p46G-gemma-commoncrawl-hi-29BT,4,3000,6.291456,0.532,0.556,0.527,0.561
1p46G-gemma-commoncrawl-hi-29BT,4,3500,7.340032,0.536,0.548,0.531,0.582
1p46G-gemma-commoncrawl-hi-29BT,4,4000,8.388608,0.527,0.554,0.524,0.578
1p46G-gemma-commoncrawl-hi-29BT,4,4500,9.437184,0.534,0.554,0.532,0.579
1p46G-gemma-commoncrawl-hi-29BT,4,500,1.048576,0.508,0.522,0.501,0.543
1p46G-gemma-commoncrawl-hi-29BT,4,5000,10.48576,0.537,0.554,0.539,0.5680000000000001
1p46G-gemma-commoncrawl-hi-29BT,4,5500,11.534336,0.551,0.551,0.545,0.582
1p46G-gemma-commoncrawl-hi-29BT,4,6000,12.582912,0.535,0.56,0.536,0.5670000000000001
1p46G-gemma-commoncrawl-hi-29BT,4,6500,13.631488,0.544,0.5710000000000001,0.559,0.5680000000000001
1p46G-gemma-commoncrawl-hi-29BT,4,7000,14.680064,0.543,0.577,0.548,0.599
1p46G-gemma-commoncrawl-hi-29BT,4,7500,15.72864,0.545,0.5650000000000001,0.55,0.58
1p46G-gemma-commoncrawl-hi-29BT,4,8000,16.777216,0.536,0.551,0.543,0.5730000000000001
1p46G-gemma-commoncrawl-hi-29BT,4,8500,17.825792,0.542,0.5660000000000001,0.547,0.5660000000000001
1p46G-gemma-commoncrawl-hi-29BT,4,9000,18.874368,0.533,0.5630000000000001,0.536,0.582
1p46G-gemma-commoncrawl-hi-29BT,4,9500,19.922944,0.544,0.5720000000000001,0.553,0.586
baseline-hi-,42,0,0.0,0.5,0.5,0.5,0.5
1p46G-gemma-lynx-hi-29BT,6,0,0.0,0.47100000000000003,0.552,0.509,0.494
1p46G-gemma-lynx-hi-29BT,6,1000,2.097152,0.504,0.524,0.519,0.522
1p46G-gemma-lynx-hi-29BT,6,10000,20.97152,0.524,0.5660000000000001,0.533,0.578
1p46G-gemma-lynx-hi-29BT,6,10500,22.020096,0.52,0.562,0.538,0.582
