runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-commoncrawl-ru-29BT,3,0,0.0,0.0,3.50877e-05
1p46G-gemma-commoncrawl-ru-29BT,3,1000,2.097152,0.0,0.0004
1p46G-gemma-commoncrawl-ru-29BT,3,10000,20.97152,0.0,0.011651126900000001
1p46G-gemma-commoncrawl-ru-29BT,3,10500,22.020096,0.0,0.0094782098
1p46G-gemma-commoncrawl-ru-29BT,3,11000,23.068672,0.0,0.0141872022
1p46G-gemma-commoncrawl-ru-29BT,3,11500,24.117248,0.0,0.0120575718
1p46G-gemma-commoncrawl-ru-29BT,3,12000,25.165824,0.0,0.0127465709
1p46G-gemma-commoncrawl-ru-29BT,3,12500,26.2144,0.0,0.011711331200000001
1p46G-gemma-commoncrawl-ru-29BT,3,13000,27.262976,0.0,0.0107418865
1p46G-gemma-commoncrawl-ru-29BT,3,13500,28.311552,0.0,0.0109946652
1p46G-gemma-commoncrawl-ru-29BT,3,14000,29.360128,0.0,0.010059973100000001
1p46G-gemma-commoncrawl-ru-29BT,3,1500,3.145728,0.0,0.0012333333
1p46G-gemma-commoncrawl-ru-29BT,3,2000,4.194304,0.0,0.0033482317
1p46G-gemma-commoncrawl-ru-29BT,3,2500,5.24288,0.0,0.002228803
1p46G-gemma-commoncrawl-ru-29BT,3,3000,6.291456,0.0,0.0081056503
1p46G-gemma-commoncrawl-ru-29BT,3,3500,7.340032,0.0,0.0008739394
1p46G-gemma-commoncrawl-ru-29BT,3,4000,8.388608,0.0,0.005828710700000001
1p46G-gemma-commoncrawl-ru-29BT,3,4500,9.437184,0.0,0.0072799163000000005
1p46G-gemma-commoncrawl-ru-29BT,3,500,1.048576,0.0,0.0012333333
1p46G-gemma-commoncrawl-ru-29BT,3,5000,10.48576,0.0,0.012037053300000001
1p46G-gemma-commoncrawl-ru-29BT,3,5500,11.534336,0.0,0.011293561300000001
1p46G-gemma-commoncrawl-ru-29BT,3,6000,12.582912,0.0,0.0146019
1p46G-gemma-commoncrawl-ru-29BT,3,6500,13.631488,0.0,0.013083093700000001
1p46G-gemma-commoncrawl-ru-29BT,3,7000,14.680064,0.0,0.013540173800000001
1p46G-gemma-commoncrawl-ru-29BT,3,7500,15.72864,0.0,0.0114242391
1p46G-gemma-commoncrawl-ru-29BT,3,8000,16.777216,0.0,0.0098944098
1p46G-gemma-commoncrawl-ru-29BT,3,8500,17.825792,0.0,0.0099816048
1p46G-gemma-commoncrawl-ru-29BT,3,9000,18.874368,0.0,0.013283111
1p46G-gemma-commoncrawl-ru-29BT,3,9500,19.922944,0.0,0.0146442308
1p46G-gemma-commoncrawl-ru-29BT,4,0,0.0,0.0,0.0
1p46G-gemma-commoncrawl-ru-29BT,4,1000,2.097152,0.0,0.001216815
1p46G-gemma-commoncrawl-ru-29BT,4,10000,20.97152,0.0,0.0057959772
1p46G-gemma-commoncrawl-ru-29BT,4,10500,22.020096,0.0,0.005029586
1p46G-gemma-commoncrawl-ru-29BT,4,11000,23.068672,0.0,0.0037306354
1p46G-gemma-commoncrawl-ru-29BT,4,11500,24.117248,0.0,0.0083865382
1p46G-gemma-commoncrawl-ru-29BT,4,12000,25.165824,0.0,0.0069996396
1p46G-gemma-commoncrawl-ru-29BT,4,12500,26.2144,0.0,0.0077527643
1p46G-gemma-commoncrawl-ru-29BT,4,13000,27.262976,0.0,0.0051251491
1p46G-gemma-commoncrawl-ru-29BT,4,13500,28.311552,0.0,0.005707935700000001
1p46G-gemma-commoncrawl-ru-29BT,4,14000,29.360128,0.0,0.0037602298
1p46G-gemma-commoncrawl-ru-29BT,4,1500,3.145728,0.0,0.0028258075000000002
1p46G-gemma-commoncrawl-ru-29BT,4,2000,4.194304,0.0,0.0039854396000000005
1p46G-gemma-commoncrawl-ru-29BT,4,2500,5.24288,0.0,0.0022723792000000002
1p46G-gemma-commoncrawl-ru-29BT,4,3000,6.291456,0.0,0.0018125472000000001
1p46G-gemma-commoncrawl-ru-29BT,4,3500,7.340032,0.0,0.0025199144
1p46G-gemma-commoncrawl-ru-29BT,4,4000,8.388608,0.0,0.00483478
1p46G-gemma-commoncrawl-ru-29BT,4,4500,9.437184,0.0,0.0028869598
1p46G-gemma-commoncrawl-ru-29BT,4,500,1.048576,0.0,0.001745493
1p46G-gemma-commoncrawl-ru-29BT,4,5000,10.48576,0.0,0.006124413
1p46G-gemma-commoncrawl-ru-29BT,4,5500,11.534336,0.0,0.0028571647
1p46G-gemma-commoncrawl-ru-29BT,4,6000,12.582912,0.0,0.0034100874
1p46G-gemma-commoncrawl-ru-29BT,4,6500,13.631488,0.0,0.0064299278000000005
1p46G-gemma-commoncrawl-ru-29BT,4,7000,14.680064,0.0,0.009885508000000001
1p46G-gemma-commoncrawl-ru-29BT,4,7500,15.72864,0.0,0.009520913
1p46G-gemma-commoncrawl-ru-29BT,4,8000,16.777216,0.0,0.0072611321000000005
1p46G-gemma-commoncrawl-ru-29BT,4,8500,17.825792,0.0,0.0081998876
1p46G-gemma-commoncrawl-ru-29BT,4,9000,18.874368,0.0,0.0027551033
1p46G-gemma-commoncrawl-ru-29BT,4,9500,19.922944,0.0,0.0066211947
1p46G-gemma-mc4-ru-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-mc4-ru-29BT,6,1000,2.097152,0.0,0.0009166667
1p46G-gemma-mc4-ru-29BT,6,10000,20.97152,0.0,0.0114519261
1p46G-gemma-mc4-ru-29BT,6,10500,22.020096,0.0,0.0100473503
1p46G-gemma-mc4-ru-29BT,6,11000,23.068672,0.0,0.0089617961
1p46G-gemma-mc4-ru-29BT,6,11500,24.117248,0.0,0.0126829743
1p46G-gemma-mc4-ru-29BT,6,12000,25.165824,0.0,0.0130060673
1p46G-gemma-mc4-ru-29BT,6,12500,26.2144,0.0,0.012075255600000001
1p46G-gemma-mc4-ru-29BT,6,13000,27.262976,0.0,0.010980399
1p46G-gemma-mc4-ru-29BT,6,13500,28.311552,0.0,0.011169005000000001
1p46G-gemma-mc4-ru-29BT,6,14000,29.360128,0.0,0.0101513196
1p46G-gemma-mc4-ru-29BT,6,1500,3.145728,0.0,0.0038746405
1p46G-gemma-mc4-ru-29BT,6,2000,4.194304,0.0,0.0092468731
1p46G-gemma-mc4-ru-29BT,6,2500,5.24288,0.0,0.0026902410000000003
1p46G-gemma-mc4-ru-29BT,6,3000,6.291456,0.0,0.0112290348
1p46G-gemma-mc4-ru-29BT,6,3500,7.340032,0.0,0.0101176892
1p46G-gemma-mc4-ru-29BT,6,4000,8.388608,0.0,0.0084448348
1p46G-gemma-mc4-ru-29BT,6,4500,9.437184,0.0,0.009193438
1p46G-gemma-mc4-ru-29BT,6,500,1.048576,0.0,0.0014808717000000002
1p46G-gemma-mc4-ru-29BT,6,5000,10.48576,0.0,0.008415047200000001
1p46G-gemma-mc4-ru-29BT,6,5500,11.534336,0.0,0.0128985868
1p46G-gemma-mc4-ru-29BT,6,6000,12.582912,0.0,0.0094386913
1p46G-gemma-mc4-ru-29BT,6,6500,13.631488,0.0,0.0087018913
1p46G-gemma-mc4-ru-29BT,6,7000,14.680064,0.0,0.0082824662
1p46G-gemma-mc4-ru-29BT,6,7500,15.72864,0.0,0.0131983949
1p46G-gemma-mc4-ru-29BT,6,8000,16.777216,0.0,0.0141002173
1p46G-gemma-mc4-ru-29BT,6,8500,17.825792,0.0,0.0099253877
1p46G-gemma-mc4-ru-29BT,6,9000,18.874368,0.0,0.0083551383
1p46G-gemma-mc4-ru-29BT,6,9500,19.922944,0.0,0.011617902000000001
1p46G-gemma-culturax-ru-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-culturax-ru-29BT,6,1000,2.097152,0.0,0.0012509385
1p46G-gemma-culturax-ru-29BT,6,10000,20.97152,0.0,0.013132290900000001
1p46G-gemma-culturax-ru-29BT,6,10500,22.020096,0.0,0.014828645100000001
1p46G-gemma-culturax-ru-29BT,6,11000,23.068672,0.0,0.0120120251
1p46G-gemma-culturax-ru-29BT,6,11500,24.117248,0.0,0.0134948615
1p46G-gemma-culturax-ru-29BT,6,12000,25.165824,0.0,0.014613108000000001
1p46G-gemma-culturax-ru-29BT,6,12500,26.2144,0.0,0.013836717
1p46G-gemma-culturax-ru-29BT,6,13000,27.262976,0.0,0.013479983800000001
1p46G-gemma-culturax-ru-29BT,6,13500,28.311552,0.0,0.0148661839
1p46G-gemma-culturax-ru-29BT,6,14000,29.360128,0.0,0.0139756972
1p46G-gemma-culturax-ru-29BT,6,1500,3.145728,0.0,0.0039331326
1p46G-gemma-culturax-ru-29BT,6,2000,4.194304,0.0,0.010743850400000001
1p46G-gemma-culturax-ru-29BT,6,2500,5.24288,0.0,0.0039591386
1p46G-gemma-culturax-ru-29BT,6,3000,6.291456,0.0,0.011832655800000001
1p46G-gemma-culturax-ru-29BT,6,3500,7.340032,0.0,0.0104908041
1p46G-gemma-culturax-ru-29BT,6,4000,8.388608,0.0,0.0097299002
1p46G-gemma-culturax-ru-29BT,6,4500,9.437184,0.0,0.0116359189
1p46G-gemma-culturax-ru-29BT,6,500,1.048576,0.0,0.0
1p46G-gemma-culturax-ru-29BT,6,5000,10.48576,0.0,0.010000573
1p46G-gemma-culturax-ru-29BT,6,5500,11.534336,0.0,0.012071027500000001
1p46G-gemma-culturax-ru-29BT,6,6000,12.582912,0.0,0.0111549987
1p46G-gemma-culturax-ru-29BT,6,6500,13.631488,0.0,0.0097404771
1p46G-gemma-culturax-ru-29BT,6,7000,14.680064,0.0,0.012683838000000001
1p46G-gemma-culturax-ru-29BT,6,7500,15.72864,0.0,0.0130321202
1p46G-gemma-culturax-ru-29BT,6,8000,16.777216,0.0,0.012487628700000001
1p46G-gemma-culturax-ru-29BT,6,8500,17.825792,0.0,0.0135507491
1p46G-gemma-culturax-ru-29BT,6,9000,18.874368,0.0,0.0153354665
1p46G-gemma-culturax-ru-29BT,6,9500,19.922944,0.0,0.015557402100000001
1p46G-gemma-cc-100-ru-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-cc-100-ru-29BT,6,1000,2.097152,0.0,0.007393630700000001
1p46G-gemma-cc-100-ru-29BT,6,10000,20.97152,0.0,0.0125849059
1p46G-gemma-cc-100-ru-29BT,6,10500,22.020096,0.0,0.014292214000000001
1p46G-gemma-cc-100-ru-29BT,6,11000,23.068672,0.0,0.0129179581
1p46G-gemma-cc-100-ru-29BT,6,11500,24.117248,0.0,0.013066504500000001
1p46G-gemma-cc-100-ru-29BT,6,12000,25.165824,0.0,0.012881174300000001
1p46G-gemma-cc-100-ru-29BT,6,12500,26.2144,0.0,0.013718363800000001
1p46G-gemma-cc-100-ru-29BT,6,13000,27.262976,0.0,0.013404814800000001
1p46G-gemma-cc-100-ru-29BT,6,13500,28.311552,0.0,0.013342882
1p46G-gemma-cc-100-ru-29BT,6,14000,29.360128,0.0,0.0141090953
1p46G-gemma-cc-100-ru-29BT,6,1500,3.145728,0.0,0.008675609
1p46G-gemma-cc-100-ru-29BT,6,2000,4.194304,0.0,0.0100543375
1p46G-gemma-cc-100-ru-29BT,6,2500,5.24288,0.0,0.0107201321
1p46G-gemma-cc-100-ru-29BT,6,3000,6.291456,0.0,0.0125845466
1p46G-gemma-cc-100-ru-29BT,6,3500,7.340032,0.0,0.013470436700000001
1p46G-gemma-cc-100-ru-29BT,6,4000,8.388608,0.0,0.0119545903
1p46G-gemma-cc-100-ru-29BT,6,4500,9.437184,0.0,0.0119861236
1p46G-gemma-cc-100-ru-29BT,6,500,1.048576,0.0,0.0032258859000000003
1p46G-gemma-cc-100-ru-29BT,6,5000,10.48576,0.0,0.0133314117
1p46G-gemma-cc-100-ru-29BT,6,5500,11.534336,0.0,0.0118853078
1p46G-gemma-cc-100-ru-29BT,6,6000,12.582912,0.0,0.011183552000000001
1p46G-gemma-cc-100-ru-29BT,6,6500,13.631488,0.0,0.0116038318
1p46G-gemma-cc-100-ru-29BT,6,7000,14.680064,0.0,0.011721164800000001
1p46G-gemma-cc-100-ru-29BT,6,7500,15.72864,0.0,0.011405682200000001
1p46G-gemma-cc-100-ru-29BT,6,8000,16.777216,0.0,0.0127914307
1p46G-gemma-cc-100-ru-29BT,6,8500,17.825792,0.0,0.0132042974
1p46G-gemma-cc-100-ru-29BT,6,9000,18.874368,0.0,0.011279075900000001
1p46G-gemma-cc-100-ru-29BT,6,9500,19.922944,0.0,0.0118178602
baseline-ru-,42,0,0.0,0.0,0.0
1p46G-gemma-hplt-ru-29BT,6,0,0.0,0.0,0.0
1p46G-gemma-hplt-ru-29BT,6,1000,2.097152,0.0,0.0004
1p46G-gemma-hplt-ru-29BT,6,10000,20.97152,0.0,0.0030796808000000003
1p46G-gemma-hplt-ru-29BT,6,10500,22.020096,0.0,0.0088515085
1p46G-gemma-hplt-ru-29BT,6,11000,23.068672,0.0,0.0012700736
1p46G-gemma-hplt-ru-29BT,6,11500,24.117248,0.0,0.0009271953
1p46G-gemma-hplt-ru-29BT,6,12000,25.165824,0.0,0.0068988886
