runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.3029411765,0.2617647059,0.2573529412,0.2970588235
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.3029411765,0.1632352941,0.26470588240000004,0.2088235294
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.3235294118,0.1882352941,0.2073529412,0.22058823530000002
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.3308823529,0.1985294118,0.23529411760000002,0.2720588235
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.3308823529,0.2058823529,0.25294117650000003,0.23823529410000002
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.3294117647,0.1941176471,0.23970588240000001,0.22058823530000002
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.325,0.1911764706,0.2470588235,0.2735294118
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.3367647059,0.2,0.25,0.2558823529
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.3279411765,0.19264705880000002,0.2191176471,0.2338235294
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.33235294120000003,0.2102941176,0.2338235294,0.2455882353
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.3279411765,0.1882352941,0.2514705882,0.2411764706
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.325,0.2,0.25,0.22352941180000002
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.3294117647,0.2,0.23823529410000002,0.1941176471
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.3397058824,0.19264705880000002,0.25,0.1911764706
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.325,0.1720588235,0.2,0.2426470588
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.3235294118,0.17794117650000002,0.2014705882,0.22941176470000002
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.3426470588,0.1911764706,0.22352941180000002,0.2338235294
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.33235294120000003,0.1955882353,0.21764705880000002,0.22647058820000002
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.31617647060000004,0.18088235290000002,0.2779411765,0.21176470590000002
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.3279411765,0.1941176471,0.2132352941,0.23529411760000002
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.33823529410000003,0.2088235294,0.25882352940000003,0.2779411765
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.3308823529,0.1852941176,0.21764705880000002,0.2838235294
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.3308823529,0.1955882353,0.2558823529,0.3029411765
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.3426470588,0.2073529412,0.2735294118,0.23970588240000001
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.3279411765,0.2058823529,0.2573529412,0.2794117647
