runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.182,0.28200000000000003,0.272,0.257
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.19,0.293,0.28300000000000003,0.325
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.244,0.35100000000000003,0.34700000000000003,0.39
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.245,0.34800000000000003,0.34400000000000003,0.398
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.244,0.35100000000000003,0.34400000000000003,0.398
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.23,0.355,0.334,0.393
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.23800000000000002,0.368,0.342,0.403
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.242,0.36,0.341,0.392
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.24,0.368,0.339,0.398
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.251,0.361,0.342,0.406
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.253,0.367,0.339,0.404
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.199,0.302,0.30000000000000004,0.365
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.20800000000000002,0.314,0.28200000000000003,0.34500000000000003
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.209,0.323,0.297,0.354
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.226,0.336,0.323,0.34400000000000003
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.223,0.331,0.295,0.368
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.221,0.323,0.31,0.367
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.225,0.34500000000000003,0.324,0.372
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.171,0.28200000000000003,0.253,0.339
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.245,0.333,0.333,0.4
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.222,0.321,0.32,0.376
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.232,0.327,0.333,0.361
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.23800000000000002,0.338,0.333,0.40700000000000003
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.23800000000000002,0.331,0.33,0.376
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.232,0.342,0.341,0.4
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.227,0.352,0.34500000000000003,0.41300000000000003
