runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.18260869570000002,0.2347826087,0.22608695650000002,0.22608695650000002
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.2347826087,0.2695652174,0.3217391304,0.2782608696
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.3826086957,0.3043478261,0.40869565220000004,0.4347826087
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.3826086957,0.2869565217,0.3652173913,0.44347826090000003
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.3826086957,0.2869565217,0.3652173913,0.44347826090000003
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.4,0.3043478261,0.3913043478,0.4608695652
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.40869565220000004,0.2869565217,0.3652173913,0.4173913043
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.4,0.3043478261,0.3826086957,0.4782608696
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.4,0.29565217390000004,0.3913043478,0.44347826090000003
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.4,0.3130434783,0.4,0.4347826087
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.3826086957,0.29565217390000004,0.40869565220000004,0.4347826087
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.2869565217,0.24347826090000002,0.33043478260000003,0.3826086957
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.2782608696,0.29565217390000004,0.347826087,0.33043478260000003
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.3130434783,0.2173913043,0.3043478261,0.3913043478
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.3652173913,0.2782608696,0.3217391304,0.4
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.3826086957,0.3043478261,0.3652173913,0.3826086957
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.3739130435,0.3130434783,0.3652173913,0.40869565220000004
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.3826086957,0.347826087,0.3652173913,0.3652173913
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.2608695652,0.2608695652,0.252173913,0.33043478260000003
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.3391304348,0.3130434783,0.3391304348,0.4
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.33043478260000003,0.3043478261,0.3565217391,0.3652173913
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.3913043478,0.3391304348,0.4,0.3739130435
