runname,seed,steps,tokens,prefix_match,f1
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.00035523980000000003,0.0
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.0115944706,0.0010510609
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.0178439543,0.0294547592
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.0216124984,0.0299809104
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.0215620075,0.029926103500000002
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.0176344486,0.030287924600000002
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.0197658873,0.031236671900000002
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.022120112600000002,0.030027569400000002
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.0199249021,0.0297882577
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.0208763588,0.0305896657
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.020521119,0.0315147826
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.0108268596,0.0010941534
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.0115944706,0.011642797
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.0128887153,0.0015554643
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.012571587300000001,0.0129614563
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.0154135056,0.013673149800000001
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.0148868717,0.0127020482
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.0147601573,0.0166777379
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.0112392308,0.0005574522
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.013167804100000001,0.0138728879
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.0103573572,0.0126407012
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.016225868600000002,0.0191979315
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.016872576400000002,0.019795220500000002
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.0143858979,0.019002146100000002
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.0122354396,0.0200313142
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.012228799200000001,0.0275291579
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.014309747000000001,0.0261096871
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.0162573399,0.0234886361
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.018604924800000002,0.0276987821
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.00035523980000000003,0.0
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.0075278906,0.0009979011
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.012926827,0.0220294582
