runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.214,0.23500000000000001,0.255,0.263
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.17400000000000002,0.24,0.23500000000000001,0.222
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.20400000000000001,0.227,0.228,0.263
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.20400000000000001,0.221,0.233,0.252
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.20700000000000002,0.23800000000000002,0.242,0.25
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.21,0.232,0.234,0.254
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.199,0.228,0.23500000000000001,0.23900000000000002
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.211,0.233,0.23600000000000002,0.257
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.203,0.233,0.23900000000000002,0.26
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.201,0.231,0.244,0.263
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.198,0.23800000000000002,0.241,0.245
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.185,0.211,0.219,0.223
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.177,0.217,0.215,0.23800000000000002
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.183,0.229,0.223,0.227
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.18,0.227,0.23800000000000002,0.23900000000000002
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.186,0.217,0.23900000000000002,0.253
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.177,0.233,0.216,0.242
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.20400000000000001,0.232,0.228,0.24
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.182,0.23900000000000002,0.228,0.232
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.191,0.23900000000000002,0.233,0.24
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.176,0.231,0.226,0.23800000000000002
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.191,0.225,0.234,0.245
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.202,0.23700000000000002,0.229,0.273
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.194,0.234,0.219,0.25
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.194,0.224,0.23600000000000002,0.253
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.199,0.223,0.232,0.254
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.196,0.217,0.221,0.251
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.199,0.215,0.23800000000000002,0.248
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.197,0.223,0.23600000000000002,0.258
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.214,0.23500000000000001,0.254,0.262
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.183,0.227,0.218,0.221
