runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-ru-29BT,6,0,0.0,0.263,0.272,0.251,0.241
1p46G-gemma-orion-ru-29BT,6,1000,2.097152,0.279,0.27,0.263,0.28600000000000003
1p46G-gemma-orion-ru-29BT,6,10000,20.97152,0.314,0.34,0.333,0.311
1p46G-gemma-orion-ru-29BT,6,10500,22.020096,0.314,0.336,0.324,0.319
1p46G-gemma-orion-ru-29BT,6,11000,23.068672,0.322,0.33,0.326,0.308
1p46G-gemma-orion-ru-29BT,6,11500,24.117248,0.316,0.341,0.33,0.315
1p46G-gemma-orion-ru-29BT,6,12000,25.165824,0.32,0.336,0.333,0.304
1p46G-gemma-orion-ru-29BT,6,12500,26.2144,0.319,0.335,0.329,0.311
1p46G-gemma-orion-ru-29BT,6,13000,27.262976,0.316,0.34600000000000003,0.325,0.305
1p46G-gemma-orion-ru-29BT,6,13500,28.311552,0.316,0.343,0.332,0.31
1p46G-gemma-orion-ru-29BT,6,14000,29.360128,0.316,0.34600000000000003,0.322,0.32
1p46G-gemma-orion-ru-29BT,6,1500,3.145728,0.28,0.277,0.292,0.28500000000000003
1p46G-gemma-orion-ru-29BT,6,2000,4.194304,0.28200000000000003,0.296,0.28,0.271
1p46G-gemma-orion-ru-29BT,6,2500,5.24288,0.29,0.289,0.29,0.295
1p46G-gemma-orion-ru-29BT,6,3000,6.291456,0.29,0.303,0.302,0.296
1p46G-gemma-orion-ru-29BT,6,3500,7.340032,0.299,0.305,0.305,0.323
1p46G-gemma-orion-ru-29BT,6,4000,8.388608,0.302,0.309,0.293,0.295
1p46G-gemma-orion-ru-29BT,6,4500,9.437184,0.301,0.313,0.297,0.28600000000000003
1p46G-gemma-orion-ru-29BT,6,500,1.048576,0.275,0.279,0.25,0.28
1p46G-gemma-orion-ru-29BT,6,5000,10.48576,0.302,0.326,0.313,0.303
1p46G-gemma-orion-ru-29BT,6,5500,11.534336,0.318,0.327,0.302,0.304
1p46G-gemma-orion-ru-29BT,6,6000,12.582912,0.309,0.314,0.316,0.28500000000000003
1p46G-gemma-orion-ru-29BT,6,6500,13.631488,0.313,0.316,0.304,0.301
1p46G-gemma-orion-ru-29BT,6,7000,14.680064,0.317,0.327,0.314,0.292
1p46G-gemma-orion-ru-29BT,6,7500,15.72864,0.312,0.328,0.321,0.301
1p46G-gemma-orion-ru-29BT,6,8000,16.777216,0.318,0.342,0.322,0.299
1p46G-gemma-orion-ru-29BT,6,8500,17.825792,0.317,0.336,0.322,0.299
1p46G-gemma-orion-ru-29BT,6,9000,18.874368,0.307,0.336,0.327,0.299
1p46G-gemma-orion-ru-29BT,6,9500,19.922944,0.306,0.339,0.325,0.303
1p46G-gemma-helios-ru-29BT,6,0,0.0,0.263,0.272,0.25,0.242
1p46G-gemma-helios-ru-29BT,6,1000,2.097152,0.281,0.277,0.274,0.295
1p46G-gemma-helios-ru-29BT,6,10000,20.97152,0.33,0.356,0.355,0.333
1p46G-gemma-helios-ru-29BT,6,10500,22.020096,0.33,0.37,0.356,0.334
1p46G-gemma-helios-ru-29BT,6,11000,23.068672,0.328,0.361,0.361,0.327
1p46G-gemma-helios-ru-29BT,6,11500,24.117248,0.327,0.367,0.355,0.341
1p46G-gemma-helios-ru-29BT,6,12000,25.165824,0.331,0.362,0.356,0.328
1p46G-gemma-helios-ru-29BT,6,12500,26.2144,0.332,0.357,0.363,0.328
1p46G-gemma-helios-ru-29BT,6,13000,27.262976,0.334,0.365,0.365,0.338
1p46G-gemma-helios-ru-29BT,6,13500,28.311552,0.328,0.365,0.357,0.335
1p46G-gemma-helios-ru-29BT,6,14000,29.360128,0.334,0.37,0.362,0.337
1p46G-gemma-helios-ru-29BT,6,1500,3.145728,0.29,0.295,0.278,0.278
1p46G-gemma-helios-ru-29BT,6,2000,4.194304,0.294,0.298,0.302,0.293
1p46G-gemma-helios-ru-29BT,6,2500,5.24288,0.30000000000000004,0.304,0.29,0.28700000000000003
1p46G-gemma-helios-ru-29BT,6,3000,6.291456,0.30000000000000004,0.311,0.298,0.301
1p46G-gemma-helios-ru-29BT,6,3500,7.340032,0.302,0.316,0.304,0.307
1p46G-gemma-helios-ru-29BT,6,4000,8.388608,0.309,0.328,0.313,0.301
1p46G-gemma-helios-ru-29BT,6,4500,9.437184,0.311,0.339,0.323,0.295
1p46G-gemma-helios-ru-29BT,6,500,1.048576,0.259,0.252,0.23800000000000002,0.256
1p46G-gemma-helios-ru-29BT,6,5000,10.48576,0.309,0.34500000000000003,0.326,0.318
1p46G-gemma-helios-ru-29BT,6,5500,11.534336,0.315,0.336,0.32,0.305
1p46G-gemma-helios-ru-29BT,6,6000,12.582912,0.319,0.34400000000000003,0.33,0.32
1p46G-gemma-helios-ru-29BT,6,6500,13.631488,0.321,0.343,0.331,0.327
1p46G-gemma-helios-ru-29BT,6,7000,14.680064,0.321,0.34,0.339,0.329
1p46G-gemma-helios-ru-29BT,6,7500,15.72864,0.322,0.34400000000000003,0.34700000000000003,0.331
1p46G-gemma-helios-ru-29BT,6,8000,16.777216,0.323,0.36,0.354,0.329
1p46G-gemma-helios-ru-29BT,6,8500,17.825792,0.329,0.358,0.352,0.34400000000000003
1p46G-gemma-helios-ru-29BT,6,9000,18.874368,0.323,0.35000000000000003,0.353,0.33
1p46G-gemma-helios-ru-29BT,6,9500,19.922944,0.333,0.362,0.355,0.331
1p46G-gemma-commoncrawl-ru-29BT,3,0,0.0,0.27,0.261,0.249,0.23600000000000002
1p46G-gemma-commoncrawl-ru-29BT,3,1000,2.097152,0.278,0.28300000000000003,0.263,0.289
1p46G-gemma-commoncrawl-ru-29BT,3,10000,20.97152,0.312,0.343,0.329,0.30000000000000004
1p46G-gemma-commoncrawl-ru-29BT,3,10500,22.020096,0.307,0.337,0.318,0.292
1p46G-gemma-commoncrawl-ru-29BT,3,11000,23.068672,0.315,0.342,0.329,0.295
1p46G-gemma-commoncrawl-ru-29BT,3,11500,24.117248,0.311,0.34400000000000003,0.323,0.30000000000000004
1p46G-gemma-commoncrawl-ru-29BT,3,12000,25.165824,0.309,0.34400000000000003,0.327,0.303
1p46G-gemma-commoncrawl-ru-29BT,3,12500,26.2144,0.316,0.35000000000000003,0.329,0.304
1p46G-gemma-commoncrawl-ru-29BT,3,13000,27.262976,0.313,0.342,0.329,0.304
1p46G-gemma-commoncrawl-ru-29BT,3,13500,28.311552,0.313,0.34400000000000003,0.334,0.298
1p46G-gemma-commoncrawl-ru-29BT,3,14000,29.360128,0.315,0.352,0.33,0.304
1p46G-gemma-commoncrawl-ru-29BT,3,1500,3.145728,0.289,0.293,0.29,0.291
1p46G-gemma-commoncrawl-ru-29BT,3,2000,4.194304,0.28600000000000003,0.296,0.289,0.291
1p46G-gemma-commoncrawl-ru-29BT,3,2500,5.24288,0.304,0.296,0.301,0.308
1p46G-gemma-commoncrawl-ru-29BT,3,3000,6.291456,0.297,0.295,0.296,0.314
1p46G-gemma-commoncrawl-ru-29BT,3,3500,7.340032,0.301,0.32,0.28800000000000003,0.298
1p46G-gemma-commoncrawl-ru-29BT,3,4000,8.388608,0.30000000000000004,0.314,0.303,0.302
